5_pct,95_pct,accelerator,batch_size,device,max,mean,median,min,model,std
0.01321721076965332,0.016430139541625977,0.0,1.0,herron_cpu,0.01782679557800293,0.014067824524227937,0.01351785659790039,0.013055801391601562,resnet18,0.0010771815804350646
0.0078029632568359375,0.008513450622558594,0.0,1.0,herron_cpu,0.010909557342529295,0.0081406300610835,0.008126258850097656,0.007662534713745117,alexnet,0.00035525869063473235
0.02078843116760254,0.02670001983642578,0.0,1.0,herron_cpu,0.029663801193237305,0.02516258353053933,0.02573204040527344,0.020516633987426758,squeezenet,0.0019096294043033184
0.05393648147583008,0.057905912399291985,0.0,1.0,herron_cpu,0.06596732139587402,0.05540678052618952,0.05503010749816895,0.053305625915527344,vgg16,0.0016613437989259755
0.13451600074768064,0.14413046836853027,0.0,1.0,herron_cpu,0.1471869945526123,0.13729877991251427,0.1360459327697754,0.1340198516845703,densenet,0.003004308765397304
0.05742454528808594,0.0589754581451416,0.0,1.0,herron_cpu,0.061137199401855476,0.05791887670460314,0.05782651901245117,0.05091524124145508,inception,0.0009699500966507787
0.05092620849609375,0.07195925712585449,0.0,1.0,herron_cpu,0.07370591163635254,0.06006723347276744,0.06296849250793457,0.04959392547607422,googlenet,0.007726260431260502
0.013750314712524414,0.015764236450195312,0.0,1.0,herron_cpu,0.020874500274658203,0.01428215574510027,0.013967275619506836,0.013414144515991213,shufflenet,0.0011913306025233767
0.12659931182861328,0.1806957721710205,0.0,1.0,herron_cpu,0.1858463287353516,0.1386125418219236,0.12838435173034668,0.12604665756225586,mobilenet_v2,0.01910067302705204
0.08730459213256836,0.10256671905517578,0.0,1.0,herron_cpu,0.11767101287841795,0.09002254268910627,0.08797359466552734,0.08713388442993164,mobilenet_v3_large,0.005067568841483969
0.047144412994384766,0.07824850082397461,0.0,1.0,herron_cpu,0.08164858818054199,0.06461371997795483,0.07188630104064941,0.04689717292785645,mobilenet_v3_small,0.01243829434013249
0.07829141616821289,0.10520792007446288,0.0,1.0,herron_cpu,0.11377382278442386,0.08225292262464466,0.07903528213500978,0.07812309265136719,resnext50_32x4d,0.008033697881191446
0.10314393043518066,0.12680506706237793,0.0,1.0,herron_cpu,0.1297168731689453,0.11693277689489988,0.1222536563873291,0.10242986679077147,wide_resnet50_2,0.009147788936874663
0.14996647834777832,0.2144606113433838,0.0,1.0,herron_cpu,0.2429666519165039,0.1613025169561405,0.15287566184997559,0.14962005615234375,mnasnet,0.020162027180953602
