model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
feedforward,1.0,1.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46484375,476.46484375,0.0001646188000449,0.0,0.0,0.0
feedforward,1.0,2.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0001614566994248,0.0,0.0,0.0
feedforward,1.0,4.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.000163541350048,0.0,0.0,0.0
feedforward,1.0,8.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0001633282503462,0.0,0.0,0.0
feedforward,1.0,16.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.000167129500187,0.0,0.0,0.0
feedforward,1.0,32.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0001676364001468,0.0,0.0,0.0
feedforward,1.0,64.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0001743920998706,0.0,0.0,0.0
feedforward,1.0,256.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0002670751004188,0.0,0.0,0.0
feedforward,1.0,512.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0005023300000175,0.0,0.0,0.0
feedforward,1.0,1024.0,8.0,cpu,0.0,0.0,0.0,,relu,476.46875,476.46875,0.0013906268497521,0.0,0.0,0.0
feedforward,1.0,2048.0,8.0,cpu,0.0,0.0,0.0,,relu,492.34765625,492.34765625,0.0059957111494441,0.0,0.0,0.0
feedforward,1.0,3072.0,8.0,cpu,0.0,0.0,0.0,,relu,386.94921875,386.94921875,0.0122134231496602,0.0,0.0,0.0
feedforward,1.0,4096.0,8.0,cpu,0.0,0.0,0.0,,relu,472.359375,472.359375,0.0213394657999742,0.0,0.0,0.0
feedforward,1.0,1.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001672837999649,0.0,0.0,0.0
feedforward,1.0,2.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001651888000196,0.0,0.0,0.0
feedforward,1.0,4.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001620190501853,0.0,0.0,0.0
feedforward,1.0,8.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001683195994701,0.0,0.0,0.0
feedforward,1.0,16.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001665043499087,0.0,0.0,0.0
feedforward,1.0,32.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001709935495455,0.0,0.0,0.0
feedforward,1.0,64.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0001891060499474,0.0,0.0,0.0
feedforward,1.0,256.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0005151040502823,0.0,0.0,0.0
feedforward,1.0,512.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0008312552003189,0.0,0.0,0.0
feedforward,1.0,1024.0,16.0,cpu,0.0,0.0,0.0,,relu,440.46875,440.46875,0.0025848888493783,0.0,0.0,0.0
feedforward,1.0,2048.0,16.0,cpu,0.0,0.0,0.0,,relu,467.796875,467.796875,0.0113315488997614,0.0,0.0,0.0
feedforward,1.0,3072.0,16.0,cpu,0.0,0.0,0.0,,relu,518.36328125,518.36328125,0.0237472015498497,0.0,0.0,0.0
feedforward,1.0,4096.0,16.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0420269344504049,0.0,0.0,0.0
feedforward,1.0,1.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0001665497497015,0.0,0.0,0.0
feedforward,1.0,2.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0001656112501223,0.0,0.0,0.0
feedforward,1.0,4.0,32.0,cpu,0.0,0.0,0.0,,relu,440.36328125,440.36328125,0.0001661923000938,0.0,0.0,0.0
