accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,seq_len,total_params,trainable_params,use_torchscript
0.0,relu,2148.96484375,1.0,cpu,,2048.0,0.011421313948812895,16777216.0,2148.96484375,feedforward,0.0,4.0,4196352.0,0.0,0.0
0.0,relu,2184.96875,1.0,cpu,,3072.0,0.022906592200160957,37748736.0,2184.96875,feedforward,0.0,4.0,9440256.0,0.0,0.0
0.0,relu,2248.97265625,1.0,cpu,,4096.0,0.07270777494995855,67108864.0,2248.97265625,feedforward,0.0,4.0,16781312.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,1.0,0.0001673874503467232,8.0,2048.95703125,feedforward,0.0,8.0,2.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,2.0,0.00017570779891684651,32.0,2048.95703125,feedforward,0.0,8.0,6.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,4.0,0.00017136925016529857,128.0,2048.95703125,feedforward,0.0,8.0,20.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,8.0,0.00016169204900506884,512.0,2048.95703125,feedforward,0.0,8.0,72.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,16.0,0.00016332489904016256,2048.0,2048.95703125,feedforward,0.0,8.0,272.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,32.0,0.00018013239896390586,8192.0,2048.95703125,feedforward,0.0,8.0,1056.0,0.0,0.0
0.0,relu,2048.95703125,1.0,cpu,,64.0,0.00020080190151929855,32768.0,2048.95703125,feedforward,0.0,8.0,4160.0,0.0,0.0
0.0,relu,2051.0640625,1.0,cpu,,256.0,0.0013364613492740315,524288.0,2051.08203125,feedforward,0.0,8.0,65792.0,0.0,0.0
0.0,relu,2051.21953125,1.0,cpu,,512.0,0.0012599370005773381,2097152.0,2051.25390625,feedforward,0.0,8.0,262656.0,0.0,0.0
0.0,relu,2051.25390625,1.0,cpu,,1024.0,0.0037062813993543383,8388608.0,2051.25390625,feedforward,0.0,8.0,1049600.0,0.0,0.0
0.0,relu,2051.25390625,1.0,cpu,,2048.0,0.011327669600723312,33554432.0,2051.25390625,feedforward,0.0,8.0,4196352.0,0.0,0.0
0.0,relu,2087.2578125,1.0,cpu,,3072.0,0.024473540700273588,75497472.0,2087.2578125,feedforward,0.0,8.0,9440256.0,0.0,0.0
0.0,relu,2151.26171875,1.0,cpu,,4096.0,0.04957380769774318,134217728.0,2151.26171875,feedforward,0.0,8.0,16781312.0,0.0,0.0
0.0,relu,2151.12890625,1.0,cpu,,1.0,0.0001654498977586627,16.0,2151.26171875,feedforward,0.0,16.0,2.0,0.0,0.0
0.0,relu,2151.06640625,1.0,cpu,,2.0,0.00016554625181015582,64.0,2151.06640625,feedforward,0.0,16.0,6.0,0.0,0.0
0.0,relu,2051.05859375,1.0,cpu,,4.0,0.00015828574832994492,256.0,2051.05859375,feedforward,0.0,16.0,20.0,0.0,0.0
0.0,relu,2051.05859375,1.0,cpu,,8.0,0.0001913329993840307,1024.0,2051.05859375,feedforward,0.0,16.0,72.0,0.0,0.0
0.0,relu,2051.05859375,1.0,cpu,,16.0,0.00017362445069011299,4096.0,2051.05859375,feedforward,0.0,16.0,272.0,0.0,0.0
0.0,relu,2051.05859375,1.0,cpu,,32.0,0.00016990564763545992,16384.0,2051.05859375,feedforward,0.0,16.0,1056.0,0.0,0.0
0.0,relu,2051.05859375,1.0,cpu,,64.0,0.00020935665233992042,65536.0,2051.05859375,feedforward,0.0,16.0,4160.0,0.0,0.0
0.0,relu,2051.07421875,1.0,cpu,,256.0,0.00028355550020933153,1048576.0,2051.07421875,feedforward,0.0,16.0,65792.0,0.0,0.0
0.0,relu,2051.07421875,1.0,cpu,,512.0,0.0020211857015965513,4194304.0,2051.07421875,feedforward,0.0,16.0,262656.0,0.0,0.0
0.0,relu,2051.07421875,1.0,cpu,,1024.0,0.004428751050727442,16777216.0,2051.07421875,feedforward,0.0,16.0,1049600.0,0.0,0.0
0.0,relu,2051.07421875,1.0,cpu,,2048.0,0.01252954860101454,67108864.0,2051.07421875,feedforward,0.0,16.0,4196352.0,0.0,0.0
0.0,relu,2087.08984375,1.0,cpu,,3072.0,0.027225050301058217,150994944.0,2087.08984375,feedforward,0.0,16.0,9440256.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,4096.0,0.05210187714837957,268435456.0,2151.09375,feedforward,0.0,16.0,16781312.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,1.0,0.00016026755038183181,32.0,2151.09375,feedforward,0.0,32.0,2.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,2.0,0.00016106179973576215,128.0,2151.078125,feedforward,0.0,32.0,6.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,4.0,0.00017026244895532728,512.0,2151.078125,feedforward,0.0,32.0,20.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,8.0,0.00016378845029976218,2048.0,2151.078125,feedforward,0.0,32.0,72.0,0.0,0.0
0.0,relu,2051.0703125,1.0,cpu,,16.0,0.0001658509485423565,8192.0,2051.0703125,feedforward,0.0,32.0,272.0,0.0,0.0
0.0,relu,2051.0703125,1.0,cpu,,32.0,0.00019121064979117362,32768.0,2051.0703125,feedforward,0.0,32.0,1056.0,0.0,0.0
0.0,relu,2051.0703125,1.0,cpu,,64.0,0.0002448935498250649,131072.0,2051.0703125,feedforward,0.0,32.0,4160.0,0.0,0.0
0.0,relu,2051.084375,1.0,cpu,,256.0,0.0012677079008426516,2097152.0,2051.0859375,feedforward,0.0,32.0,65792.0,0.0,0.0
0.0,relu,2051.0859375,1.0,cpu,,512.0,0.0027697754005203017,8388608.0,2051.0859375,feedforward,0.0,32.0,262656.0,0.0,0.0
0.0,relu,2051.0859375,1.0,cpu,,1024.0,0.004318757500732318,33554432.0,2051.0859375,feedforward,0.0,32.0,1049600.0,0.0,0.0
0.0,relu,2051.0859375,1.0,cpu,,2048.0,0.014320510198012925,134217728.0,2051.0859375,feedforward,0.0,32.0,4196352.0,0.0,0.0
0.0,relu,2087.08984375,1.0,cpu,,3072.0,0.028396158150280824,301989888.0,2087.08984375,feedforward,0.0,32.0,9440256.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,4096.0,0.058528074150672176,536870912.0,2151.09375,feedforward,0.0,32.0,16781312.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,1.0,0.00015974669950082898,64.0,2151.09375,feedforward,0.0,64.0,2.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,2.0,0.00016567389830015602,256.0,2151.078125,feedforward,0.0,64.0,6.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,4.0,0.00017247085052076732,1024.0,2151.078125,feedforward,0.0,64.0,20.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,8.0,0.00015678310010116547,4096.0,2151.078125,feedforward,0.0,64.0,72.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,16.0,0.00017181194853037595,16384.0,2151.078125,feedforward,0.0,64.0,272.0,0.0,0.0
0.0,relu,2151.078125,1.0,cpu,,32.0,0.0002212682506069541,65536.0,2151.078125,feedforward,0.0,64.0,1056.0,0.0,0.0
0.0,relu,2051.0703125,1.0,cpu,,64.0,0.00029253734974190595,262144.0,2051.0703125,feedforward,0.0,64.0,4160.0,0.0,0.0
0.0,relu,2051.09375,1.0,cpu,,256.0,0.003915815148502588,4194304.0,2051.09375,feedforward,0.0,64.0,65792.0,0.0,0.0
0.0,relu,2051.1,1.0,cpu,,512.0,0.003490515847806819,16777216.0,2051.1015625,feedforward,0.0,64.0,262656.0,0.0,0.0
0.0,relu,2051.1015625,1.0,cpu,,1024.0,0.006476020350237377,67108864.0,2051.1015625,feedforward,0.0,64.0,1049600.0,0.0,0.0
0.0,relu,2051.1015625,1.0,cpu,,2048.0,0.023182626898051242,268435456.0,2051.1015625,feedforward,0.0,64.0,4196352.0,0.0,0.0
0.0,relu,2087.10546875,1.0,cpu,,3072.0,0.04762609709869139,603979776.0,2087.10546875,feedforward,0.0,64.0,9440256.0,0.0,0.0
0.0,relu,2151.109375,1.0,cpu,,4096.0,0.09255241195205599,1073741824.0,2151.109375,feedforward,0.0,64.0,16781312.0,0.0,0.0
0.0,relu,2151.109375,1.0,cpu,,1.0,0.00016339255089405924,128.0,2151.109375,feedforward,0.0,128.0,2.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,2.0,0.00018320274830330163,512.0,2151.09375,feedforward,0.0,128.0,6.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,4.0,0.00018326779827475547,2048.0,2151.09375,feedforward,0.0,128.0,20.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,8.0,0.00018959864974021912,8192.0,2151.09375,feedforward,0.0,128.0,72.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,16.0,0.00021677865006495268,32768.0,2151.09375,feedforward,0.0,128.0,272.0,0.0,0.0
0.0,relu,2151.09375,1.0,cpu,,32.0,0.0002469274011673406,131072.0,2151.09375,feedforward,0.0,128.0,1056.0,0.0,0.0
0.0,relu,2151.1140625,1.0,cpu,,64.0,0.00019381740130484105,524288.0,2151.1171875,feedforward,0.0,128.0,4160.0,0.0,0.0
0.0,relu,2151.125,1.0,cpu,,256.0,0.005121774951112457,8388608.0,2151.125,feedforward,0.0,128.0,65792.0,0.0,0.0
0.0,relu,2051.1296875,1.0,cpu,,512.0,0.003284086249186657,33554432.0,2051.1328125,feedforward,0.0,128.0,262656.0,0.0,0.0
0.0,relu,2051.1328125,1.0,cpu,,1024.0,0.012399390901555308,134217728.0,2051.1328125,feedforward,0.0,128.0,1049600.0,0.0,0.0
0.0,relu,2051.1328125,1.0,cpu,,2048.0,0.04045105804980267,536870912.0,2051.1328125,feedforward,0.0,128.0,4196352.0,0.0,0.0
0.0,relu,2087.13671875,1.0,cpu,,3072.0,0.08511465105111711,1207959552.0,2087.13671875,feedforward,0.0,128.0,9440256.0,0.0,0.0
0.0,relu,2151.140625,1.0,cpu,,4096.0,0.1535144819499692,2147483648.0,2151.140625,feedforward,0.0,128.0,16781312.0,0.0,0.0
0.0,relu,222.5234375,1.0,cpu,0.0,1.0,0.0002795840991893783,5.0,222.5234375,rnn,0.0,1.0,4.0,0.0,0.0
0.0,relu,2013.5859375,1.0,cpu,0.0,2.0,0.00047274784883484245,14.0,2013.5859375,rnn,0.0,1.0,12.0,0.0,0.0
0.0,relu,2013.625,1.0,cpu,0.0,4.0,0.000473583850543946,44.0,2013.625,rnn,0.0,1.0,40.0,0.0,0.0
