model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
feedforward,1.0,1.0,8.0,cpu,0.0,0.0,0.0,,relu,355.29296875,355.29296875,0.0006936922494787,0.0,0.0,0.0
feedforward,1.0,2.0,8.0,cpu,0.0,0.0,0.0,,relu,355.29296875,355.29296875,0.0006574614497367,0.0,0.0,0.0
feedforward,1.0,4.0,8.0,cpu,0.0,0.0,0.0,,relu,355.296875,355.296875,0.0006520152994198,0.0,0.0,0.0
feedforward,1.0,8.0,8.0,cpu,0.0,0.0,0.0,,relu,355.296875,355.296875,0.0006332841498078,0.0,0.0,0.0
feedforward,1.0,16.0,8.0,cpu,0.0,0.0,0.0,,relu,355.296875,355.296875,0.0006364655506331,0.0,0.0,0.0
feedforward,1.0,32.0,8.0,cpu,0.0,0.0,0.0,,relu,355.349609375,355.40234375,0.000494104399695,0.0,0.0,0.0
feedforward,1.0,64.0,8.0,cpu,0.0,0.0,0.0,,relu,355.40234375,355.40234375,0.0005095726490253,0.0,0.0,0.0
feedforward,1.0,256.0,8.0,cpu,0.0,0.0,0.0,,relu,355.5,355.5,0.0005902645993046,0.0,0.0,0.0
feedforward,1.0,512.0,8.0,cpu,0.0,0.0,0.0,,relu,355.50390625,355.50390625,0.0009570548019837,0.0,0.0,0.0
feedforward,1.0,1024.0,8.0,cpu,0.0,0.0,0.0,,relu,255.4921875,255.4921875,0.0023214424989419,0.0,0.0,0.0
feedforward,1.0,2048.0,8.0,cpu,0.0,0.0,0.0,,relu,270.78125,270.78125,0.0074408590502571,0.0,0.0,0.0
feedforward,1.0,3072.0,8.0,cpu,0.0,0.0,0.0,,relu,315.81640625,315.81640625,0.0169381378480466,0.0,0.0,0.0
feedforward,1.0,4096.0,8.0,cpu,0.0,0.0,0.0,,relu,402.81328125,418.94921875,0.0308743796980707,0.0,0.0,0.0
feedforward,1.0,1.0,16.0,cpu,0.0,0.0,0.0,,relu,371.29296875,371.29296875,0.0006733620481099,0.0,0.0,0.0
feedforward,1.0,2.0,16.0,cpu,0.0,0.0,0.0,,relu,371.29296875,371.29296875,0.0006704408500809,0.0,0.0,0.0
feedforward,1.0,4.0,16.0,cpu,0.0,0.0,0.0,,relu,371.48828125,371.48828125,0.0007090659986715,0.0,0.0,0.0
feedforward,1.0,8.0,16.0,cpu,0.0,0.0,0.0,,relu,371.48828125,371.48828125,0.0005441729008452,0.0,0.0,0.0
feedforward,1.0,16.0,16.0,cpu,0.0,0.0,0.0,,relu,371.48828125,371.48828125,0.00058735999919,0.0,0.0,0.0
feedforward,1.0,32.0,16.0,cpu,0.0,0.0,0.0,,relu,371.48828125,371.48828125,0.0005540328507777,0.0,0.0,0.0
feedforward,1.0,64.0,16.0,cpu,0.0,0.0,0.0,,relu,371.48828125,371.48828125,0.0005646669480483,0.0,0.0,0.0
feedforward,1.0,256.0,16.0,cpu,0.0,0.0,0.0,,relu,371.5,371.5,0.0008717239979887,0.0,0.0,0.0
feedforward,1.0,512.0,16.0,cpu,0.0,0.0,0.0,,relu,371.5,371.5,0.0014448269008425,0.0,0.0,0.0
feedforward,1.0,1024.0,16.0,cpu,0.0,0.0,0.0,,relu,231.0,231.0,0.0040045342524535,0.0,0.0,0.0
feedforward,1.0,2048.0,16.0,cpu,0.0,0.0,0.0,,relu,267.0625,267.0625,0.0146344616980059,0.0,0.0,0.0
feedforward,1.0,3072.0,16.0,cpu,0.0,0.0,0.0,,relu,317.05859375,317.05859375,0.0356006760004675,0.0,0.0,0.0
feedforward,1.0,4096.0,16.0,cpu,0.0,0.0,0.0,,relu,395.68515625,411.00390625,0.0550486305495724,0.0,0.0,0.0
feedforward,1.0,1.0,32.0,cpu,0.0,0.0,0.0,,relu,363.359375,363.359375,0.000522003849619,0.0,0.0,0.0
feedforward,1.0,2.0,32.0,cpu,0.0,0.0,0.0,,relu,363.359375,363.359375,0.0006707204505801,0.0,0.0,0.0
feedforward,1.0,4.0,32.0,cpu,0.0,0.0,0.0,,relu,363.359375,363.359375,0.0005763629975263,0.0,0.0,0.0
feedforward,1.0,8.0,32.0,cpu,0.0,0.0,0.0,,relu,363.359375,363.359375,0.0005256306496448,0.0,0.0,0.0
