model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,16.0,cpu,False,False,False,0.0,relu,3617.5859375,3617.5859375,0.0018131602089852,35840.0,544.0,0.0,False,64.0
rnn,1.0,16.0,cpu,False,False,False,0.0,relu,3617.5859375,3617.5859375,0.0013347201514989,71680.0,544.0,0.0,False,128.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.5859375,3617.5859375,4.371926188468933e-05,2144.0,2112.0,0.0,False,1.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.5859375,3617.5859375,9.258361533284188e-05,4288.0,2112.0,0.0,False,2.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.5859375,3617.5859375,0.0001067915000021,8576.0,2112.0,0.0,False,4.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.5859375,3617.5859375,0.000243501830846,17152.0,2112.0,0.0,False,8.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.58984375,3617.58984375,0.0002944849897176,34304.0,2112.0,0.0,False,16.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.58984375,3617.58984375,0.0006576727610081,68608.0,2112.0,0.0,False,32.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.58984375,3617.58984375,0.0010617567691951,137216.0,2112.0,0.0,False,64.0
rnn,1.0,32.0,cpu,False,False,False,0.0,relu,3617.58984375,3617.58984375,0.0014870477374643,274432.0,2112.0,0.0,False,128.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3617.58984375,3617.58984375,0.0001248033717274,8384.0,8320.0,0.0,False,1.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3617.58984375,3617.58984375,0.0001501315739005,16768.0,8320.0,0.0,False,2.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3617.61328125,3617.61328125,0.0001425493042916,33536.0,8320.0,0.0,False,4.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3617.61328125,3617.61328125,0.0003832483198493,67072.0,8320.0,0.0,False,8.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3617.640625,3617.640625,0.0003550520166754,134144.0,8320.0,0.0,False,16.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3617.671875,3617.671875,0.0003409376367926,268288.0,8320.0,0.0,False,32.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3618.1328125,3618.1328125,0.0008595027029514,536576.0,8320.0,0.0,False,64.0
rnn,1.0,64.0,cpu,False,False,False,0.0,relu,3618.1328125,3618.1328125,0.0015510594472289,1073152.0,8320.0,0.0,False,128.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3618.2890625,3618.2890625,8.612019009888173e-05,131840.0,131584.0,0.0,False,1.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3618.54296875,3618.54296875,0.0001205578446388,263680.0,131584.0,0.0,False,2.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3619.5859375,3619.5859375,0.0001758288126438,527360.0,131584.0,0.0,False,4.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3620.3671875,3620.3671875,0.0002818717155605,1054720.0,131584.0,0.0,False,8.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3621.7753057065215,3621.77734375,0.0004408496897667,2109440.0,131584.0,0.0,False,16.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3621.8515625,3621.8515625,0.000978123769164,4218880.0,131584.0,0.0,False,32.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3621.87109375,3621.87109375,0.0015014643780887,8437760.0,131584.0,0.0,False,64.0
rnn,1.0,256.0,cpu,False,False,False,0.0,relu,3621.98046875,3621.98046875,0.0021654369775205,16875520.0,131584.0,0.0,False,128.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3623.753472222222,3623.7734375,0.0001802141312509,525824.0,525312.0,0.0,False,1.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3624.12109375,3624.12109375,0.0002089750021696,1051648.0,525312.0,0.0,False,2.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3624.12109375,3624.12109375,0.0004470019601285,2103296.0,525312.0,0.0,False,4.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3624.12109375,3624.12109375,0.0006115266121923,4206592.0,525312.0,0.0,False,8.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3626.0380859375,3626.12109375,0.0009349586907774,8413184.0,525312.0,0.0,False,16.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3628.98828125,3628.98828125,0.0021240016445517,16826368.0,525312.0,0.0,False,32.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3632.0078125,3632.0078125,0.0030514540616422,33652736.0,525312.0,0.0,False,64.0
rnn,1.0,512.0,cpu,False,False,False,0.0,relu,3634.19453125,3634.1953125,0.008061501244083,67305472.0,525312.0,0.0,False,128.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3649.1888020833335,3649.2734375,0.0005118884146213,2100224.0,2099200.0,0.0,False,1.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3661.32080078125,3661.33984375,0.0016255144961178,4200448.0,2099200.0,0.0,False,2.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3673.0221354166665,3673.2109375,0.0010365855880081,8400896.0,2099200.0,0.0,False,4.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3685.413504464286,3685.5859375,0.0045245200861245,16801792.0,2099200.0,0.0,False,8.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3698.540264423077,3698.5625,0.0040592751465737,33603584.0,2099200.0,0.0,False,16.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3636.12890625,3636.12890625,0.0067927598021924,67207168.0,2099200.0,0.0,False,32.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3647.287317154255,3647.3046875,0.0163550197146832,134414336.0,2099200.0,0.0,False,64.0
rnn,1.0,1024.0,cpu,False,False,False,0.0,relu,3663.359375,3663.359375,0.0254863823764026,268828672.0,2099200.0,0.0,False,128.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,3726.65625,3726.65625,0.002842524042353,8394752.0,8392704.0,0.0,False,1.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,3775.0572916666665,3775.1015625,0.0066128000151366,16789504.0,8392704.0,0.0,False,2.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,3822.1859375,3822.265625,0.0094909891486167,33579008.0,8392704.0,0.0,False,4.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,3869.98046875,3869.98046875,0.0173123605083674,67158016.0,8392704.0,0.0,False,8.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,3919.2819010416665,3919.3046875,0.0208615893032401,134316032.0,8392704.0,0.0,False,16.0
rnn,1.0,2048.0,cpu,False,False,False,0.0,relu,3967.25,3967.25,0.0339658584445714,268632064.0,8392704.0,0.0,False,32.0
