model,batch_size,hidden_dim,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,bidirectional,seq_len
rnn,1.0,16.0,cuda,True,False,False,0.0,relu,38114426880.0,38114426880.0,0.0006884998641908,35840.0,544.0,0.0,False,64.0
rnn,1.0,16.0,cuda,True,False,False,0.0,relu,38114426880.0,38114426880.0,0.0012945589609444,71680.0,544.0,0.0,False,128.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38114426880.0,38114426880.0,8.559683337807655e-05,2144.0,2112.0,0.0,False,1.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38114426880.0,38114426880.0,0.0001981302164494,4288.0,2112.0,0.0,False,2.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38145884160.0,38145884160.0,0.000128372432664,8576.0,2112.0,0.0,False,4.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38173147136.0,38173147136.0,0.0001788152381777,17152.0,2112.0,0.0,False,8.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38210895872.0,38210895872.0,0.0003275022841989,34304.0,2112.0,0.0,False,16.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0004051622468978,68608.0,2112.0,0.0,False,32.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0007164250127971,137216.0,2112.0,0.0,False,64.0
rnn,1.0,32.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0050179648678749,274432.0,2112.0,0.0,False,128.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001328233629465,8384.0,8320.0,0.0,False,1.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0001424583606421,16768.0,8320.0,0.0,False,2.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0002020592335611,33536.0,8320.0,0.0,False,4.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0003952854778617,67072.0,8320.0,0.0,False,8.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0006575864274054,134144.0,8320.0,0.0,False,16.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0007412462495267,268288.0,8320.0,0.0,False,32.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.0006695015355944,536576.0,8320.0,0.0,False,64.0
rnn,1.0,64.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,0.002934547746554,1073152.0,8320.0,0.0,False,128.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38215090176.0,38215090176.0,9.034131653606892e-05,131840.0,131584.0,0.0,False,1.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38217187328.0,38217187328.0,9.730090387165548e-05,263680.0,131584.0,0.0,False,2.0
rnn,1.0,256.0,cuda,True,False,False,0.0,relu,38217187328.0,38217187328.0,0.0001208531204611,527360.0,131584.0,0.0,False,4.0
