avg_memory,img_size,in_channel,input_size,kernel_size,latency,macs,max_memory,out_channel,stride,total_params,trainable_params
304.16015625,112,32,"torch.Size([1, 32, 112, 112])",1,0.000412377999600722,6623232,304.16015625,64,2,2112,0
316.3203125,224,32,"torch.Size([1, 32, 224, 224])",1,0.00195102595025674,26492928,316.3203125,64,2,2112,0
316.3203125,7,32,"torch.Size([1, 32, 7, 7])",1,3.14315497234929E-05,8448,316.3203125,64,5,2112,0
316.3203125,14,32,"torch.Size([1, 32, 14, 14])",1,3.30567003402393E-05,19008,316.3203125,64,5,2112,0
316.3359375,28,32,"torch.Size([1, 32, 28, 28])",1,9.17761499295011E-05,76032,316.3359375,64,5,2112,0
316.3515625,56,32,"torch.Size([1, 32, 56, 56])",1,0.000122836250375258,304128,316.3515625,64,5,2112,0
316.3671875,112,32,"torch.Size([1, 32, 112, 112])",1,0.000230331849888898,1117248,316.3671875,64,5,2112,0
316.3828125,224,32,"torch.Size([1, 32, 224, 224])",1,0.00100484175054589,4276800,316.3828125,64,5,2112,0
316.3828125,7,32,"torch.Size([1, 32, 7, 7])",3,6.01621002715547E-05,462400,316.3828125,64,1,18496,0
316.3828125,14,32,"torch.Size([1, 32, 14, 14])",3,0.000153352100460324,2663424,316.3828125,64,1,18496,0
316.4140625,28,32,"torch.Size([1, 32, 28, 28])",3,0.000429475300188642,12503296,316.4140625,64,1,18496,0
316.4296875,56,32,"torch.Size([1, 32, 56, 56])",3,0.00114802815005532,53934336,316.4296875,64,1,18496,0
316.453125,112,32,"torch.Size([1, 32, 112, 112])",3,0.00474191475004773,223801600,316.453125,64,1,18496,0
340.492647058824,224,32,"torch.Size([1, 32, 224, 224])",3,0.0195204580501013,911556864,340.53125,64,1,18496,0
322.375,7,32,"torch.Size([1, 32, 7, 7])",3,4.44027500634547E-05,166464,322.375,64,2,18496,0
322.375,14,32,"torch.Size([1, 32, 14, 14])",3,7.41222000215203E-05,665856,322.375,64,2,18496,0
322.3984375,28,32,"torch.Size([1, 32, 28, 28])",3,0.000151296400144929,3125824,322.3984375,64,2,18496,0
322.4140625,56,32,"torch.Size([1, 32, 56, 56])",3,0.000392321749677649,13483584,322.4140625,64,2,18496,0
322.4375,112,32,"torch.Size([1, 32, 112, 112])",3,0.00154162964972784,55950400,322.4375,64,2,18496,0
322.453125,224,32,"torch.Size([1, 32, 224, 224])",3,0.00570273310004268,227889216,322.453125,64,2,18496,0
322.453125,7,32,"torch.Size([1, 32, 7, 7])",3,2.94580997433513E-05,18496,322.453125,64,5,18496,0
322.453125,14,32,"torch.Size([1, 32, 14, 14])",3,5.67399503779598E-05,166464,322.453125,64,5,18496,0
322.4609375,28,32,"torch.Size([1, 32, 28, 28])",3,0.000116671349678654,665856,322.4609375,64,5,18496,0
322.484375,56,32,"torch.Size([1, 32, 56, 56])",3,0.000188907150004525,2238016,322.484375,64,5,18496,0
322.5078125,112,32,"torch.Size([1, 32, 112, 112])",3,0.00043077189984615,8952064,322.5078125,64,5,18496,0
322.515625,224,32,"torch.Size([1, 32, 224, 224])",3,0.00155336739990162,37454400,322.515625,64,5,18496,0
322.515625,7,32,"torch.Size([1, 32, 7, 7])",1,3.77229494915809E-05,206976,322.515625,128,1,4224,0
322.729166666667,14,32,"torch.Size([1, 32, 14, 14])",1,6.36695003777277E-05,827904,322.7421875,128,1,4224,0
322.7578125,28,32,"torch.Size([1, 32, 28, 28])",1,0.000139371900149854,3311616,322.7578125,128,1,4224,0
322.76953125,56,32,"torch.Size([1, 32, 56, 56])",1,0.000408766699547414,13246464,322.76953125,128,1,4224,0
331.823784722222,112,32,"torch.Size([1, 32, 112, 112])",1,0.00169799134964705,52985856,331.9140625,128,1,4224,0
379.46328125,224,32,"torch.Size([1, 32, 224, 224])",1,0.00762975254983758,211943424,398.80078125,128,1,4224,0
319.6796875,7,32,"torch.Size([1, 32, 7, 7])",1,3.22841995512135E-05,67584,319.6796875,128,2,4224,0
319.796875,14,32,"torch.Size([1, 32, 14, 14])",1,4.16466500610113E-05,206976,319.796875,128,2,4224,0
319.83203125,28,32,"torch.Size([1, 32, 28, 28])",1,0.000119349150190828,827904,319.83203125,128,2,4224,0
319.859375,56,32,"torch.Size([1, 32, 56, 56])",1,0.000220516949775629,3311616,319.859375,128,2,4224,0
319.88671875,112,32,"torch.Size([1, 32, 112, 112])",1,0.00057834899998852,13246464,319.88671875,128,2,4224,0
344.29296875,224,32,"torch.Size([1, 32, 224, 224])",1,0.00273667530054809,52985856,344.29296875,128,2,4224,0
344.29296875,7,32,"torch.Size([1, 32, 7, 7])",1,2.67224000708666E-05,16896,344.29296875,128,5,4224,0
344.29296875,14,32,"torch.Size([1, 32, 14, 14])",1,3.60073499905411E-05,38016,344.29296875,128,5,4224,0
344.30859375,28,32,"torch.Size([1, 32, 28, 28])",1,0.000102067350235302,152064,344.30859375,128,5,4224,0
344.32421875,56,32,"torch.Size([1, 32, 56, 56])",1,0.000157131000014488,608256,344.32421875,128,5,4224,0
344.33984375,112,32,"torch.Size([1, 32, 112, 112])",1,0.000288323000131641,2234496,344.33984375,128,5,4224,0
344.35546875,224,32,"torch.Size([1, 32, 224, 224])",1,0.00107323699994595,8553600,344.35546875,128,5,4224,0
344.36328125,7,32,"torch.Size([1, 32, 7, 7])",3,6.92522997269407E-05,924800,344.36328125,128,1,36992,0
344.6484375,14,32,"torch.Size([1, 32, 14, 14])",3,0.000180102400190663,5326848,344.6484375,128,1,36992,0
344.6796875,28,32,"torch.Size([1, 32, 28, 28])",3,0.000797269150643842,25006592,344.6796875,128,1,36992,0
344.69921875,56,32,"torch.Size([1, 32, 56, 56])",3,0.00221759924970684,107868672,344.69921875,128,1,36992,0
344.72265625,112,32,"torch.Size([1, 32, 112, 112])",3,0.00991148804969271,447603200,344.72265625,128,1,36992,0
