<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
2835873120.0,0.0,2048000.0,,0.0,relu,809.2249348958335,1.0,,224.0,0.12982255419774447,2856567712.0,809.2265625,inception,0.0,27161264.0,0.0,0.0,0.0,18593344.0,53248.0,,,0.0,
9443934560.0,0.0,2048000.0,,0.0,relu,879.109375,1.0,,384.0,0.3821991056000115,9505607072.0,879.63671875,inception,0.0,27161264.0,0.0,0.0,0.0,59417664.0,206848.0,,,0.0,
17519808864.0,0.0,2048000.0,,0.0,relu,906.6927083333336,1.0,,512.0,0.5395400523993885,17630999968.0,907.125,inception,0.0,27161264.0,0.0,0.0,0.0,108739648.0,403456.0,,,0.0,
1497352192.0,0.0,1024000.0,,0.0,relu,756.94140625,1.0,,224.0,0.07431831530120689,1511332032.0,757.02734375,googlenet,0.0,13004888.0,0.0,0.0,0.0,12904640.0,51200.0,,,0.0,
4400381952.0,0.0,1024000.0,,0.0,relu,790.4497767857142,1.0,,384.0,0.20328228669823148,4439478272.0,791.1015625,googlenet,0.0,13004888.0,0.0,0.0,0.0,37923840.0,148480.0,,,0.0,
7822901248.0,0.0,1024000.0,,0.0,relu,840.90078125,1.0,,512.0,0.42168094079825097,7891608576.0,846.68359375,googlenet,0.0,13004888.0,0.0,0.0,0.0,67420160.0,263168.0,,,0.0,
143883992.0,,1024000.0,,0.0,relu,668.703125,1.0,,224.0,0.020022522102226502,152708792.0,668.703125,shufflenet,0.0,2278604.0,0.0,0.0,0.0,7800800.0,,,0.0,0.0,
422842752.0,,1024000.0,,0.0,relu,690.3528645833335,1.0,,384.0,0.036366714499308735,446791552.0,695.140625,shufflenet,0.0,2278604.0,0.0,0.0,0.0,22924800.0,,,0.0,0.0,
751720448.0,,1024000.0,,0.0,relu,702.0546875,1.0,,512.0,0.055747360701207074,793499648.0,705.89453125,shufflenet,0.0,2278604.0,0.0,0.0,0.0,40755200.0,,,0.0,0.0,
299494272.0,0.0,1280000.0,,0.0,relu,681.125,1.0,,224.0,0.0173496889998205,327486720.0,684.83203125,mobilenet_v2,0.0,3504872.0,0.0,0.0,0.0,26712448.0,,,0.0,,
880146432.0,0.0,1280000.0,,0.0,relu,731.031640625,1.0,,384.0,0.0530591999005992,959928320.0,748.21484375,mobilenet_v2,0.0,3504872.0,0.0,0.0,0.0,78501888.0,,,0.0,,
1564704768.0,0.0,1280000.0,,0.0,relu,768.0387620192308,1.0,,512.0,0.1522502195002744,1705543680.0,770.84375,mobilenet_v2,0.0,3504872.0,0.0,0.0,0.0,139558912.0,,,0.0,,
4228431872.0,,2048000.0,,0.0,relu,786.0454545454545,1.0,,224.0,0.13831202760047745,4288184320.0,789.1953125,resnext50_32x4d,0.0,25028904.0,0.0,0.0,0.0,57602048.0,102400.0,,0.0,0.0,
12426412032.0,,2048000.0,,0.0,relu,928.7765625,1.0,,384.0,0.3875587877992075,12598036480.0,947.3671875,resnext50_32x4d,0.0,25028904.0,0.0,0.0,0.0,169279488.0,296960.0,,0.0,0.0,
22091399168.0,,2048000.0,,0.0,relu,1078.376674107143,1.0,,512.0,0.729115023900522,22394914816.0,1115.35546875,resnext50_32x4d,0.0,25028904.0,0.0,0.0,0.0,300941312.0,526336.0,,0.0,0.0,
11395973120.0,,2048000.0,,0.0,relu,959.7996323529413,1.0,,224.0,0.33901771969976835,11455725568.0,990.0390625,wide_resnet50_2,0.0,68883240.0,0.0,0.0,0.0,57602048.0,102400.0,,0.0,0.0,
33490206720.0,,2048000.0,,0.0,relu,1270.7533482142858,1.0,,384.0,0.8497163441992598,33661831168.0,1287.23828125,wide_resnet50_2,0.0,68883240.0,0.0,0.0,0.0,169279488.0,296960.0,,0.0,0.0,
59538145280.0,,2048000.0,,0.0,relu,1584.915798611111,1.0,,512.0,1.4933850674977294,59841660928.0,1616.59765625,wide_resnet50_2,0.0,68883240.0,0.0,0.0,0.0,300941312.0,526336.0,,0.0,0.0,
313135872.0,0.0,1280000.0,,0.0,relu,678.4140625,1.0,,224.0,0.014985596601036377,336242432.0,679.66015625,mnasnet,0.0,4383312.0,0.0,0.0,0.0,21826560.0,,,0.0,,
920236032.0,0.0,1280000.0,,0.0,relu,721.11865234375,1.0,,384.0,0.05182651749928482,985659392.0,732.4296875,mnasnet,0.0,4383312.0,0.0,0.0,0.0,64143360.0,,,0.0,,
1635975168.0,0.0,1280000.0,,0.0,relu,746.103515625,1.0,,512.0,0.0970510977000231,1751287808.0,762.09765625,mnasnet,0.0,4383312.0,0.0,0.0,0.0,114032640.0,,,0.0,,
