model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,1.0,2048.0,256.0,herron_cpu,0.0,0.0,0.0,0.0,,relu,0.01707247169688344,3646.7291666666665,3647.3359375,1073741824.0,4196352.0,0.0
feedforward,1.0,2048.0,256.0,herron_cpu,0.0,0.0,0.0,0.0,,relu,0.047362862550653514,3701.36328125,3701.39453125,3221225472.0,12589056.0,0.0
feedforward,1.0,2048.0,256.0,herron_cpu,0.0,0.0,0.0,0.0,,relu,0.07186557929962874,3775.382378472222,3775.39453125,5368709120.0,20981760.0,0.0
feedforward,1.0,2048.0,256.0,herron_cpu,0.0,0.0,0.0,0.0,,relu,0.10328066535294056,3886.1109375,3887.19140625,7516192768.0,29374464.0,0.0
feedforward,1.0,2048.0,256.0,herron_cpu,0.0,0.0,0.0,0.0,,relu,0.15964193204417826,4062.2486979166665,4063.20703125,11811160064.0,46159872.0,0.0
feedforward,1.0,2048.0,256.0,herron_cpu,0.0,0.0,0.0,0.0,,relu,0.2159042214974761,4157.39453125,4157.39453125,16106127360.0,62945280.0,0.0
