model,batch_size,hidden_dim,seq_len,device,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,latency,avg_memory,max_memory,macs,total_params,trainable_params
feedforward,1.0,2048.0,256.0,cuda,1.0,0.0,0.0,0.0,,relu,0.00023566610179841517,14815068160.0,14815068160.0,1073741824.0,4196352.0,0.0
feedforward,1.0,2048.0,256.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0006956676486879587,14869594112.0,14869594112.0,3221225472.0,12589056.0,0.0
feedforward,1.0,2048.0,256.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0011101336567662656,14953480192.0,14953480192.0,5368709120.0,20981760.0,0.0
feedforward,1.0,2048.0,256.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0014235769980587066,15070920704.0,15070920704.0,7516192768.0,29374464.0,0.0
feedforward,1.0,2048.0,256.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0022833388997241856,15255470080.0,15255470080.0,11811160064.0,46159872.0,0.0
feedforward,1.0,2048.0,256.0,cuda,1.0,0.0,0.0,0.0,,relu,0.0030908814980648456,15234498560.0,15234498560.0,16106127360.0,62945280.0,0.0
