macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,latency,avg_memory,max_memory,batch_size,input_size,model_config,device_config,model,platform,device,device_idx,num_threads,iters,use_cuda,use_channels_last,use_fp16,use_jit,use_tensorrt,use_ipex,use_dquant,results_dir,exp_name,act_fn,dropout,randomized_text,requires_grad,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
21756761984.0,21443708800.0,,,,403.0,245.0,,,,54139356.0,54139356.0,6.195157766342164e-07,14156562432.0,14156562432.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
43513523968.0,42887417600.0,,,,403.0,245.0,,,,54139356.0,54139356.0,6.247311830520629e-07,14244642816.0,14244642816.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
87027047936.0,85774835200.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.163252353668213e-07,14519369728.0,14519369728.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
174054095872.0,171549670400.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.13717532157898e-07,14854914048.0,14854914048.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
348108191744.0,343099340800.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.204230546951294e-07,15729426432.0,15729426432.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
696216383488.0,686198681600.0,,,,403.0,245.0,,,,54139356.0,54139356.0,5.245208740234375e-07,16662659072.0,16662659072.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
536192992.0,501187680.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.243586540222168e-07,13749714944.0,13749714944.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
1072385984.0,1002375360.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.295740604400635e-07,13760200704.0,13760200704.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
2144771968.0,2004750720.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.962567567825318e-07,13804240896.0,13804240896.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,,,,,
4289543936.0,4009501440.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.120651960372925e-07,13883932672.0,13883932672.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
8579087872.0,8019002880.0,,,,172.0,64.0,,,,5416680.0,5416680.0,6.355345249176025e-07,14066384896.0,14066384896.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,,,,,
17158175744.0,16038005760.0,,,,172.0,64.0,,,,5416680.0,5416680.0,5.11854887008667e-07,14429192192.0,14429192192.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,,,,,
34316351488.0,32076011520.0,,,,172.0,64.0,,,,5416680.0,5416680.0,5.189329385757447e-07,15148515328.0,15148515328.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,,,,,
68632702976.0,64152023040.0,,,,172.0,64.0,,,,5416680.0,5416680.0,5.271285772323608e-07,16587161600.0,16587161600.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,efficientnet_lite,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,,,,,
3002076544.0,3001948544.0,,,,87.0,45.0,,,,21142920.0,21142920.0,6.206333637237549e-07,13812629504.0,13812629504.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,128000.0,,,41.0,0.0,,,,,,,,
6004153088.0,6003897088.0,,,,87.0,45.0,,,,21142920.0,21142920.0,6.753951311111451e-07,13886029824.0,13886029824.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,256000.0,,,41.0,0.0,,,,,,,,
12008306176.0,12007794176.0,,,,87.0,45.0,,,,21142920.0,21142920.0,6.914138793945312e-07,13909098496.0,13909098496.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,512000.0,,,41.0,0.0,,,,,,,,
24016612352.0,24015588352.0,,,,87.0,45.0,,,,21142920.0,21142920.0,5.066394805908203e-07,13923778560.0,13923778560.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,1024000.0,,,41.0,0.0,,,,,,,,
48033224704.0,48031176704.0,,,,87.0,45.0,,,,21142920.0,21142920.0,6.020069122314453e-07,14152368128.0,14152368128.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,2048000.0,,,41.0,0.0,,,,,,,,
96066449408.0,96062353408.0,,,,87.0,45.0,,,,21142920.0,21142920.0,6.22868537902832e-07,14492106752.0,14492106752.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,4096000.0,,,41.0,0.0,,,,,,,,
192132898816.0,192124706816.0,,,,87.0,45.0,,,,21142920.0,21142920.0,5.088746547698974e-07,15060434944.0,15060434944.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,8192000.0,,,41.0,0.0,,,,,,,,
384265797632.0,384249413632.0,,,,87.0,45.0,,,,21142920.0,21142920.0,5.532056093215942e-07,16194994176.0,16194994176.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,gernet,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,,,1.0,16384000.0,,,41.0,0.0,,,,,,,,
1824033792.0,1813561344.0,,,512000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,1.99154019355774e-06,13789560832.0,13789560832.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,,,,,
3648067584.0,3627122688.0,,,1024000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,6.05359673500061e-07,13837795328.0,13837795328.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,,,,,
7296135168.0,7254245376.0,,,2048000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,6.202608346939087e-07,13902807040.0,13902807040.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,,,,,
14592270336.0,14508490752.0,,,4096000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,5.099922418594361e-07,13980401664.0,13980401664.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,,,,,
29184540672.0,29016981504.0,,,8192000.0,52.0,20.0,,,1.0,11689512.0,11689512.0,5.051493644714355e-07,14085259264.0,14085259264.0,"[1, 2, 4, 8, 16, 32, 64, 128]",[224],config/models/vision.yaml,config/devices/cuda.yaml,resnet18,herron_gpu,cuda,0.0,1.0,10.0,False,False,False,True,False,False,False,experiments/pretrained,pretrained-torchscript,relu,,True,False,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,,,,,
