<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs
20.0,19869696.0,20.0,3627122688.0,1.0,51200.0,1442840576.0,2.0,224.0,9.423121809959411e-07,3648067584.0,1442840576.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,1024000.0,1.0,0.0,,
20.0,39739392.0,20.0,7254245376.0,1.0,102400.0,1491075072.0,4.0,224.0,9.82731580734253e-07,7296135168.0,1491075072.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,2048000.0,1.0,0.0,,
20.0,79478784.0,20.0,14508490752.0,1.0,204800.0,1530920960.0,8.0,224.0,9.428709745407104e-07,14592270336.0,1530920960.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,4096000.0,1.0,0.0,,
20.0,158957568.0,20.0,29016981504.0,1.0,409600.0,1644167168.0,16.0,224.0,9.63173806667328e-07,29184540672.0,1644167168.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,8192000.0,1.0,0.0,,
20.0,317915136.0,20.0,58033963008.0,1.0,819200.0,1765801984.0,32.0,224.0,3.097392618656158e-06,58369081344.0,1765801984.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,16384000.0,1.0,0.0,,
20.0,635830272.0,20.0,116067926016.0,1.0,1638400.0,1983905792.0,64.0,224.0,8.918344974517822e-07,116738162688.0,1983905792.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,32768000.0,1.0,0.0,,
20.0,1271660544.0,20.0,232135852032.0,1.0,3276800.0,2426404864.0,128.0,224.0,1.0935589671134951e-06,233476325376.0,2426404864.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,65536000.0,1.0,0.0,,
,,5.0,655566528.0,1.0,18432.0,1769996288.0,1.0,224.0,1.0760501027107242e-06,714206912.0,1769996288.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,58621952.0,3.0,0.0,2.0,0.0
,,5.0,1311133056.0,1.0,36864.0,2011168768.0,2.0,224.0,1.0199844837188721e-06,1428413824.0,2011168768.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,117243904.0,3.0,0.0,2.0,0.0
,,5.0,2622266112.0,1.0,73728.0,2267021312.0,4.0,224.0,1.152604818344116e-06,2856827648.0,2267021312.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,234487808.0,3.0,0.0,2.0,0.0
,,5.0,5244532224.0,1.0,147456.0,2527068160.0,8.0,224.0,1.0404735803604126e-06,5713655296.0,2527068160.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,468975616.0,3.0,0.0,2.0,0.0
,,5.0,10489064448.0,1.0,294912.0,2883584000.0,16.0,224.0,1.0073184967041015e-06,11427310592.0,2883584000.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,937951232.0,3.0,0.0,2.0,0.0
,,5.0,20978128896.0,1.0,589824.0,3160408064.0,32.0,224.0,1.0272487998008728e-06,22854621184.0,3160408064.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,1875902464.0,3.0,0.0,2.0,0.0
,,5.0,41956257792.0,1.0,1179648.0,3558866944.0,64.0,224.0,1.0499730706214908e-06,45709242368.0,3558866944.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,3751804928.0,3.0,0.0,2.0,0.0
,,5.0,83912515584.0,1.0,2359296.0,4051697664.0,128.0,224.0,9.968876838684085e-07,91418484736.0,4051697664.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,7503609856.0,3.0,0.0,2.0,0.0
,,26.0,818924576.0,1.0,170000.0,1262485504.0,1.0,224.0,9.000301361083984e-07,819094576.0,1262485504.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,1637849152.0,1.0,340000.0,1270874112.0,2.0,224.0,9.547919034957886e-07,1638189152.0,1270874112.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,3275698304.0,1.0,680000.0,1296039936.0,4.0,224.0,8.804723620414734e-07,3276378304.0,1296039936.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,6551396608.0,1.0,1360000.0,1312817152.0,8.0,224.0,9.249895811080931e-07,6552756608.0,1312817152.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,13102793216.0,1.0,2720000.0,1363148800.0,16.0,224.0,8.732080459594727e-07,13105513216.0,1363148800.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,26205586432.0,1.0,5440000.0,1480589312.0,32.0,224.0,8.540228009223937e-07,26211026432.0,1480589312.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,52411172864.0,1.0,10880000.0,1690304512.0,64.0,224.0,9.045004844665528e-07,52422052864.0,1690304512.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,26.0,104822345728.0,1.0,21760000.0,2107637760.0,128.0,224.0,9.695068001747131e-07,104844105728.0,2107637760.0,squeezenet,57.0,1248424.0,0.0,,,26.0,0.0,,,3.0,0.0,1.0,0.0
,,13.0,15346630656.0,1.0,50176.0,2447376384.0,1.0,224.0,1.0017305612564086e-06,15470314496.0,2447376384.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,123633664.0,5.0,0.0,2.0,0.0
,,13.0,30693261312.0,1.0,100352.0,3034578944.0,2.0,224.0,1.0633841156959533e-06,30940628992.0,3034578944.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,247267328.0,5.0,0.0,2.0,0.0
,,13.0,61386522624.0,1.0,200704.0,3665821696.0,4.0,224.0,1.0360032320022584e-06,61881257984.0,3665821696.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,494534656.0,5.0,0.0,2.0,0.0
,,13.0,122773045248.0,1.0,401408.0,4328521728.0,8.0,224.0,1.043081283569336e-06,123762515968.0,4328521728.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,989069312.0,5.0,0.0,2.0,0.0
,,13.0,245546090496.0,1.0,802816.0,5129633792.0,16.0,224.0,1.0341405868530274e-06,247525031936.0,5129633792.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,1978138624.0,5.0,0.0,2.0,0.0
,,13.0,491092180992.0,1.0,1605632.0,7056916480.0,32.0,224.0,1.0462477803230286e-06,495050063872.0,7056916480.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,3956277248.0,5.0,0.0,2.0,0.0
,,13.0,982184361984.0,1.0,3211264.0,8264876032.0,64.0,224.0,1.0406598448753358e-06,990100127744.0,8264876032.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,7912554496.0,5.0,0.0,2.0,0.0
,,13.0,1473276542976.0,1.0,4816896.0,9498001408.0,96.0,224.0,1.1356547474861146e-06,1485150191616.0,9498001408.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,11868831744.0,5.0,0.0,2.0,0.0
,,13.0,1964368723968.0,1.0,6422528.0,10714349568.0,128.0,224.0,1.1848285794258118e-06,1980200255488.0,10714349568.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,15825108992.0,5.0,0.0,2.0,0.0
,,13.0,2946553085952.0,1.0,9633792.0,13107200000.0,192.0,224.0,1.085922122001648e-06,2970300383232.0,13107200000.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,23737663488.0,5.0,0.0,2.0,0.0
,,13.0,3928737447936.0,1.0,12845056.0,15602810880.0,256.0,224.0,1.1317431926727295e-06,3960400510976.0,15602810880.0,vgg16,39.0,138357544.0,0.0,,,15.0,0.0,3.0,31650217984.0,5.0,0.0,2.0,0.0
