latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0006962947547435,1744568320.0,1744568320.0,1428413824.0,1311133056.0,,0.0,0.0,36864.0,117243904.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,2.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.000732871517539,1763442688.0,1763442688.0,2856827648.0,2622266112.0,,0.0,0.0,73728.0,234487808.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,4.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.00068877376616,1784414208.0,1784414208.0,5713655296.0,5244532224.0,,0.0,0.0,147456.0,468975616.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,8.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0006819736212491,1784414208.0,1784414208.0,11427310592.0,10489064448.0,,0.0,0.0,294912.0,937951232.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,16.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0006515767425298,1943797760.0,1943797760.0,22854621184.0,20978128896.0,,0.0,0.0,589824.0,1875902464.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,32.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0006857253611087,1943797760.0,1943797760.0,45709242368.0,41956257792.0,,0.0,0.0,1179648.0,3751804928.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,64.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0015458151698112,2635857920.0,2635857920.0,91418484736.0,83912515584.0,,0.0,0.0,2359296.0,7503609856.0,21.0,5.0,,7.0,3.0,1.0,3.0,61100840.0,0.0,alexnet,128.0,224.0,True,False,False,False,,relu,2.0,0.0,,,,,,,,,,
0.0044371921569108,1654390784.0,1654390784.0,4366946304.0,115605504.0,,,,,4247500800.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,1.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,3840000.0,,,,,,,,
0.0060932297259569,2054946816.0,2054946816.0,8733892608.0,231211008.0,,,,,8495001600.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,2.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,7680000.0,,,,,,,,
0.0061206020414829,2455502848.0,2455502848.0,17467785216.0,462422016.0,,,,,16990003200.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,4.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,15360000.0,,,,,,,,
0.0067746955901384,2455502848.0,2455502848.0,34935570432.0,924844032.0,,,,,33980006400.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,8.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,30720000.0,,,,,,,,
0.013061885908246,2497445888.0,2497445888.0,69871140864.0,1849688064.0,,,,,67960012800.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,16.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,61440000.0,,,,,,,,
0.0263671863824129,2497445888.0,2497445888.0,139742281728.0,3699376128.0,,,,,135920025600.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,32.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,122880000.0,,,,,,,,
0.0498533990234136,2648440832.0,2648440832.0,279484563456.0,7398752256.0,,,,,271840051200.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,64.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,245760000.0,,,,,,,,
0.09770442917943,3214671872.0,3214671872.0,558969126912.0,14797504512.0,,,,,543680102400.0,112.0,1.0,,,,,49.0,88224232.0,0.0,vit32,128.0,224.0,True,False,False,False,,relu,37.0,0.0,25.0,491520000.0,,,,,,,,
0.0188048999756574,1511784448.0,1511784448.0,5439190496.0,5360927200.0,78199296.0,,,64000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,1.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0200304273515939,1719402496.0,1719402496.0,10878380992.0,10721854400.0,156398592.0,,,128000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,2.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0208152756094932,1719402496.0,1719402496.0,21756761984.0,21443708800.0,312797184.0,,,256000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,4.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0206095457077026,1807482880.0,1807482880.0,43513523968.0,42887417600.0,625594368.0,,,512000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,8.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.03373669013381,2124152832.0,2124152832.0,87027047936.0,85774835200.0,1251188736.0,,,1024000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,16.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0621160224080085,2459697152.0,2459697152.0,174054095872.0,171549670400.0,2502377472.0,,,2048000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,32.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.1219558011740446,3334209536.0,3334209536.0,348108191744.0,343099340800.0,5004754944.0,,,4096000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,64.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.2301359482109546,4267442176.0,4267442176.0,696216383488.0,686198681600.0,10009509888.0,,,8192000.0,,403.0,245.0,157.0,,,1.0,,54139356.0,0.0,efficientnet,128.0,224.0,True,False,False,False,,relu,,,,,,,,,,,,
0.0047741152346134,1312555008.0,1312555008.0,536192992.0,501187680.0,34941312.0,,,64000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,1.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0048727553337812,1346109440.0,1346109440.0,1072385984.0,1002375360.0,69882624.0,,,128000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,2.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
0.0052917167544364,1367080960.0,1367080960.0,2144771968.0,2004750720.0,139765248.0,,,256000.0,,172.0,64.0,64.0,,,1.0,,5416680.0,0.0,efficientnet_lite,4.0,224.0,True,False,False,False,,relu,,,,,43.0,0.0,,,,,,
