<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_format,input_size,latency,macs,max_memory,model,num_layers,requires_grad,total_params,trainable_params,use_dquant,use_torchscript
0.0,1.0,0.0,relu,266.88671875,1.0,,bsh,"(1, 1, 1)",2.0697999934782275e-05,1.0,266.88671875,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,4.0,0.0,relu,267.9765625,1.0,,bsh,"(1, 1, 2)",1.737749989842996e-05,4.0,267.9765625,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,16.0,0.0,relu,268.03125,1.0,,bsh,"(1, 1, 4)",2.055690019915346e-05,16.0,268.03125,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,64.0,0.0,relu,268.05859375,1.0,,bsh,"(1, 1, 8)",2.0943200070178136e-05,64.0,268.05859375,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,256.0,0.0,relu,268.0859375,1.0,,bsh,"(1, 1, 16)",1.9683700156747363e-05,256.0,268.0859375,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,1024.0,0.0,relu,268.09765625,1.0,,bsh,"(1, 1, 32)",2.059540020127315e-05,1024.0,268.09765625,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,4096.0,0.0,relu,268.11328125,1.0,,bsh,"(1, 1, 64)",2.072810020763427e-05,4096.0,268.11328125,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,65536.0,0.0,relu,268.5625,1.0,,bsh,"(1, 1, 256)",2.39226999838138e-05,65536.0,268.5625,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
0.0,262144.0,0.0,relu,269.58984375,1.0,,bsh,"(1, 1, 512)",3.915699999197386e-05,262144.0,269.58984375,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,1048576.0,0.0,relu,273.7265625,1.0,,bsh,"(1, 1, 1024)",0.00010353840007155668,1048576.0,273.7265625,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,4194304.0,0.0,relu,289.79296875,1.0,,bsh,"(1, 1, 2048)",0.0008445727002253989,4194304.0,289.79296875,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,9437184.0,0.0,relu,305.7890625,1.0,,bsh,"(1, 1, 3072)",0.0019923626001400407,9437184.0,305.7890625,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,16777216.0,0.0,relu,369.79296875,1.0,,bsh,"(1, 1, 4096)",0.003450764899753267,16777216.0,369.79296875,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,2.0,0.0,relu,369.796875,1.0,,bsh,"(1, 2, 1)",2.92646000161767e-05,2.0,369.796875,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,8.0,0.0,relu,369.8515625,1.0,,bsh,"(1, 2, 2)",2.1043599917902612e-05,8.0,369.8515625,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,32.0,0.0,relu,369.91796875,1.0,,bsh,"(1, 2, 4)",1.8725599875324406e-05,32.0,369.91796875,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,128.0,0.0,relu,369.921875,1.0,,bsh,"(1, 2, 8)",2.1189499966567384e-05,128.0,369.921875,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,512.0,0.0,relu,369.921875,1.0,,bsh,"(1, 2, 16)",2.145159996871371e-05,512.0,369.921875,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,2048.0,0.0,relu,269.9140625,1.0,,bsh,"(1, 2, 32)",2.1725500118918717e-05,2048.0,269.9140625,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,8192.0,0.0,relu,269.9140625,1.0,,bsh,"(1, 2, 64)",1.987549985642545e-05,8192.0,269.9140625,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,131072.0,0.0,relu,269.9778645833333,1.0,,bsh,"(1, 2, 256)",3.51479000528343e-05,131072.0,269.98828125,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
0.0,524288.0,0.0,relu,270.9453125,1.0,,bsh,"(1, 2, 512)",9.675609981059096e-05,524288.0,270.9453125,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,2097152.0,0.0,relu,274.9453125,1.0,,bsh,"(1, 2, 1024)",0.0003492892999929609,2097152.0,274.9453125,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,8388608.0,0.0,relu,290.99609375,1.0,,bsh,"(1, 2, 2048)",0.0023042177999741398,8388608.0,291.01171875,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,18874368.0,0.0,relu,327.21875,1.0,,bsh,"(1, 2, 3072)",0.004931229299836559,18874368.0,327.21875,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,33554432.0,0.0,relu,355.31987847222223,1.0,,bsh,"(1, 2, 4096)",0.008558869400076219,33554432.0,355.33203125,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,4.0,0.0,relu,355.33203125,1.0,,bsh,"(1, 4, 1)",2.4712800222914665e-05,4.0,355.33203125,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,16.0,0.0,relu,355.33203125,1.0,,bsh,"(1, 4, 2)",2.0109500110265798e-05,16.0,355.33203125,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,64.0,0.0,relu,355.33203125,1.0,,bsh,"(1, 4, 4)",1.9289800184196794e-05,64.0,355.33203125,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,256.0,0.0,relu,355.33203125,1.0,,bsh,"(1, 4, 8)",1.9714700101758353e-05,256.0,355.33203125,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,1024.0,0.0,relu,355.33203125,1.0,,bsh,"(1, 4, 16)",2.1714899776270614e-05,1024.0,355.33203125,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,4096.0,0.0,relu,355.33984375,1.0,,bsh,"(1, 4, 32)",1.9081400023424066e-05,4096.0,355.33984375,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
0.0,16384.0,0.0,relu,291.3359375,1.0,,bsh,"(1, 4, 64)",2.0142599896644243e-05,16384.0,291.3359375,feedforward,1.0,0.0,4160.0,0.0,0.0,0.0
0.0,262144.0,0.0,relu,291.3359375,1.0,,bsh,"(1, 4, 256)",3.503749976516701e-05,262144.0,291.3359375,feedforward,1.0,0.0,65792.0,0.0,0.0,0.0
0.0,1048576.0,0.0,relu,291.3359375,1.0,,bsh,"(1, 4, 512)",0.00010015359985118266,1048576.0,291.3359375,feedforward,1.0,0.0,262656.0,0.0,0.0,0.0
0.0,4194304.0,0.0,relu,291.3359375,1.0,,bsh,"(1, 4, 1024)",0.00031271679981728087,4194304.0,291.3359375,feedforward,1.0,0.0,1049600.0,0.0,0.0,0.0
0.0,16777216.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 4, 2048)",0.002185838299919851,16777216.0,307.3359375,feedforward,1.0,0.0,4196352.0,0.0,0.0,0.0
0.0,37748736.0,0.0,relu,343.33984375,1.0,,bsh,"(1, 4, 3072)",0.004410816899689962,37748736.0,343.33984375,feedforward,1.0,0.0,9440256.0,0.0,0.0,0.0
0.0,67108864.0,0.0,relu,407.34375,1.0,,bsh,"(1, 4, 4096)",0.008551104499929352,67108864.0,407.34375,feedforward,1.0,0.0,16781312.0,0.0,0.0,0.0
0.0,8.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 8, 1)",1.8528899818193168e-05,8.0,307.3359375,feedforward,1.0,0.0,2.0,0.0,0.0,0.0
0.0,32.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 8, 2)",2.1622399799525738e-05,32.0,307.3359375,feedforward,1.0,0.0,6.0,0.0,0.0,0.0
0.0,128.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 8, 4)",2.1511099839699453e-05,128.0,307.3359375,feedforward,1.0,0.0,20.0,0.0,0.0,0.0
0.0,512.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 8, 8)",2.1372300034272483e-05,512.0,307.3359375,feedforward,1.0,0.0,72.0,0.0,0.0,0.0
0.0,2048.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 8, 16)",1.8810300025506878e-05,2048.0,307.3359375,feedforward,1.0,0.0,272.0,0.0,0.0,0.0
0.0,8192.0,0.0,relu,307.3359375,1.0,,bsh,"(1, 8, 32)",1.9316800171509384e-05,8192.0,307.3359375,feedforward,1.0,0.0,1056.0,0.0,0.0,0.0
