accelerator,avg_memory,batch_size,device,latency,max_memory,model,requires_grad,sequence_length,use_torchscript
0.0,472.88671875,1.0,laptop_cpu,0.07433806839999306,472.88671875,albert,0.0,8.0,1.0
0.0,519.4190848214286,1.0,laptop_cpu,0.10710627955004384,519.5078125,albert,0.0,16.0,1.0
0.0,600.8701171875,1.0,laptop_cpu,0.1394880168000782,600.97265625,albert,0.0,32.0,1.0
0.0,675.3753551136364,1.0,laptop_cpu,0.24057084585001576,676.46484375,albert,0.0,64.0,1.0
0.0,972.3921875,1.0,laptop_cpu,0.4325191806499788,975.59765625,albert,0.0,128.0,1.0
0.0,1906.1171875,1.0,laptop_cpu,0.833645963950039,1915.1171875,albert,0.0,256.0,1.0
0.0,3306.3707386363635,1.0,laptop_cpu,1.8011632086499958,3334.640625,albert,0.0,512.0,1.0
0.0,535.351953125,1.0,laptop_cpu,0.015557991700006825,535.44140625,mobile_bert,0.0,1.0,1.0
0.0,654.2879971590909,1.0,laptop_cpu,0.022048611250011164,654.2890625,mobile_bert,0.0,2.0,1.0
0.0,765.0962357954545,1.0,laptop_cpu,0.02301539740001317,765.09765625,mobile_bert,0.0,4.0,1.0
0.0,875.34765625,1.0,laptop_cpu,0.02588992540004256,875.34765625,mobile_bert,0.0,8.0,1.0
0.0,985.2098721590908,1.0,laptop_cpu,0.030285616849960208,985.21484375,mobile_bert,0.0,16.0,1.0
0.0,1109.734375,1.0,laptop_cpu,0.042509103449992834,1109.734375,mobile_bert,0.0,32.0,1.0
0.0,1247.8984375,1.0,laptop_cpu,0.0629444727000191,1248.015625,mobile_bert,0.0,64.0,1.0
0.0,1403.66015625,1.0,laptop_cpu,0.10992387930000404,1403.97265625,mobile_bert,0.0,128.0,1.0
0.0,1686.085286458333,1.0,laptop_cpu,0.21738610315005644,1686.35546875,mobile_bert,0.0,256.0,1.0
0.0,2394.810697115385,1.0,laptop_cpu,0.4982040896000399,2407.296875,mobile_bert,0.0,512.0,1.0
0.0,577.28515625,1.0,laptop_cpu,0.01835396460000993,577.28515625,squeeze_bert,0.0,1.0,1.0
0.0,589.3815104166666,1.0,laptop_cpu,0.024697319750066525,589.49609375,squeeze_bert,0.0,2.0,1.0
0.0,632.0,1.0,laptop_cpu,0.025100671050040546,632.0,squeeze_bert,0.0,4.0,1.0
0.0,662.05625,1.0,laptop_cpu,0.026321826299954408,662.31640625,squeeze_bert,0.0,8.0,1.0
0.0,696.3828125,1.0,laptop_cpu,0.029608616449968393,696.3828125,squeeze_bert,0.0,16.0,1.0
0.0,736.40625,1.0,laptop_cpu,0.04670884585002568,736.4609375,squeeze_bert,0.0,32.0,1.0
0.0,799.46171875,1.0,laptop_cpu,0.08507805029994416,799.703125,squeeze_bert,0.0,64.0,1.0
0.0,890.3703125,1.0,laptop_cpu,0.17893674504994123,890.41796875,squeeze_bert,0.0,128.0,1.0
0.0,1103.640625,1.0,laptop_cpu,0.36844381374994556,1103.6484375,squeeze_bert,0.0,256.0,1.0
0.0,1696.8515625,1.0,laptop_cpu,0.9196839329500108,1696.8515625,squeeze_bert,0.0,512.0,1.0
