<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs
35.0,0.0,52.0,6838386688.0,52.0,76670533632.0,1.0,0.0,1.0,327680000.0,3986685952.0,256.0,224.0,0.024219258499942952,83836600320.0,3986685952.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,10257580032.0,52.0,115005800448.0,1.0,0.0,1.0,491520000.0,4968153088.0,384.0,224.0,0.03623285749999923,125754900480.0,4968153088.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
35.0,0.0,52.0,13676773376.0,52.0,153341067264.0,1.0,0.0,1.0,655360000.0,6180306944.0,512.0,224.0,0.04819592390049365,167673200640.0,6180306944.0,mobilenet_v2,141.0,3504872.0,0.0,,,,
17.0,0.0,53.0,57602048.0,53.0,4228431872.0,,,1.0,2048000.0,2061500416.0,1.0,224.0,0.0014739240999915636,4288184320.0,2061500416.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,102400.0,1.0,0.0
17.0,0.0,53.0,115204096.0,53.0,8456863744.0,,,1.0,4096000.0,2183135232.0,2.0,224.0,0.0020372830003907447,8576368640.0,2183135232.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,204800.0,1.0,0.0
17.0,0.0,53.0,230408192.0,53.0,16913727488.0,,,1.0,8192000.0,2292187136.0,4.0,224.0,0.0033350254001561553,17152737280.0,2292187136.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,409600.0,1.0,0.0
17.0,0.0,53.0,460816384.0,53.0,33827454976.0,,,1.0,16384000.0,2447376384.0,8.0,224.0,0.005403268300142372,34305474560.0,2447376384.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,819200.0,1.0,0.0
17.0,0.0,53.0,921632768.0,53.0,67654909952.0,,,1.0,32768000.0,2604662784.0,16.0,224.0,0.009319702599896118,68610949120.0,2604662784.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,1638400.0,1.0,0.0
17.0,0.0,53.0,1843265536.0,53.0,135309819904.0,,,1.0,65536000.0,2845835264.0,32.0,224.0,0.016691790999902874,137221898240.0,2845835264.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,3276800.0,1.0,0.0
17.0,0.0,53.0,3686531072.0,53.0,270619639808.0,,,1.0,131072000.0,3235905536.0,64.0,224.0,0.03138113699969836,274443796480.0,3235905536.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,6553600.0,1.0,0.0
