<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_conv_macs_macs,avg_linear_macs_macs,avg_memory,batch_size,input_size,latency,macs,max_macs,max_macs_macs,max_memory,max_params,max_params_macs,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
1.0,3699376128.0,37.0,0.0,49.0,135920025600.0,25.0,122880000.0,0.0,0.0,2364538880.0,32.0,224.0,0.010752391442656516,139742281728.0,3774873600.0,3774873600.0,2364538880.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,4624220160.0,37.0,0.0,49.0,169900032000.0,25.0,153600000.0,0.0,0.0,2427453440.0,40.0,224.0,0.010690694116055966,174677852160.0,4718592000.0,4718592000.0,2427453440.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,5549064192.0,37.0,0.0,49.0,203880038400.0,25.0,184320000.0,0.0,0.0,2427453440.0,48.0,224.0,0.010881396010518074,209613422592.0,5662310400.0,5662310400.0,2427453440.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,6473908224.0,37.0,0.0,49.0,237860044800.0,25.0,215040000.0,0.0,0.0,2532311040.0,56.0,224.0,0.012090371735394002,244548993024.0,6606028800.0,6606028800.0,2532311040.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,7398752256.0,37.0,0.0,49.0,271840051200.0,25.0,245760000.0,0.0,0.0,2532311040.0,64.0,224.0,0.012686314061284064,279484563456.0,7549747200.0,7549747200.0,2532311040.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,11098128384.0,37.0,0.0,49.0,407760076800.0,25.0,368640000.0,0.0,0.0,2647654400.0,96.0,224.0,0.019839663989841938,419226845184.0,11324620800.0,11324620800.0,2647654400.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
1.0,14797504512.0,37.0,0.0,49.0,543680102400.0,25.0,491520000.0,0.0,0.0,2767192064.0,128.0,224.0,0.02470463290810585,558969126912.0,15099494400.0,15099494400.0,2767192064.0,2362368.0,2362368.0,vit32,112.0,88224232.0,0.0,,,,,,,,,,,,,,,,
245.0,5360927200.0,,,,,,,0.0,0.0,1437597696.0,1.0,224.0,0.044756940007209776,5439190496.0,260112384.0,260112384.0,1437597696.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,78199296.0,1.0,64000.0,,,,,,,,,,,,
245.0,10721854400.0,,,,,,,0.0,0.0,1561329664.0,2.0,224.0,0.03974154833704233,10878380992.0,520224768.0,520224768.0,1561329664.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,156398592.0,1.0,128000.0,,,,,,,,,,,,
245.0,21443708800.0,,,,,,,0.0,0.0,1561329664.0,4.0,224.0,0.038944321870803836,21756761984.0,1040449536.0,1040449536.0,1561329664.0,1572864.0,1572864.0,efficientnet,403.0,54139356.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
