latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0015093140304088,1767636992.0,1767636992.0,3707400128.0,3648711360.0,,0.0,0.0,66816.0,58621952.0,61100840.0,0.0,alexnet,1.0,512.0,True,False,False,False,,relu,0.0,,,,,
0.0007209174335002,1767636992.0,1767636992.0,1428413824.0,1311133056.0,,0.0,0.0,36864.0,117243904.0,61100840.0,0.0,alexnet,2.0,224.0,True,False,False,False,,relu,0.0,,,,,
0.0007048591971397,1767636992.0,1767636992.0,4155993984.0,4038669696.0,,0.0,0.0,80384.0,117243904.0,61100840.0,0.0,alexnet,2.0,384.0,True,False,False,False,,relu,0.0,,,,,
0.0007416948676109,1780219904.0,1780219904.0,7414800256.0,7297422720.0,,0.0,0.0,133632.0,117243904.0,61100840.0,0.0,alexnet,2.0,512.0,True,False,False,False,,relu,0.0,,,,,
0.0007613610476255,1780219904.0,1780219904.0,2856827648.0,2622266112.0,,0.0,0.0,73728.0,234487808.0,61100840.0,0.0,alexnet,4.0,224.0,True,False,False,False,,relu,0.0,,,,,
0.0007431585341691,1780219904.0,1780219904.0,8311987968.0,8077339392.0,,0.0,0.0,160768.0,234487808.0,61100840.0,0.0,alexnet,4.0,384.0,True,False,False,False,,relu,0.0,,,,,
0.0007398221641778,1780219904.0,1780219904.0,14829600512.0,14594845440.0,,0.0,0.0,267264.0,234487808.0,61100840.0,0.0,alexnet,4.0,512.0,True,False,False,False,,relu,0.0,,,,,
0.0007124546915292,1780219904.0,1780219904.0,5713655296.0,5244532224.0,,0.0,0.0,147456.0,468975616.0,61100840.0,0.0,alexnet,8.0,224.0,True,False,False,False,,relu,0.0,,,,,
0.0007618427276611,1780219904.0,1780219904.0,16623975936.0,16154678784.0,,0.0,0.0,321536.0,468975616.0,61100840.0,0.0,alexnet,8.0,384.0,True,False,False,False,,relu,0.0,,,,,
0.000711353123188,1956380672.0,1956380672.0,29659201024.0,29189690880.0,,0.0,0.0,534528.0,468975616.0,61100840.0,0.0,alexnet,8.0,512.0,True,False,False,False,,relu,0.0,,,,,
0.0044699180871248,1654390784.0,1654390784.0,4366946304.0,115605504.0,,,,,4247500800.0,88224232.0,0.0,vit32,1.0,224.0,True,False,False,False,,relu,0.0,3840000.0,,,,
0.0057853318750858,2054946816.0,2054946816.0,12667167744.0,339738624.0,,,,,12316293120.0,88297192.0,0.0,vit32,1.0,384.0,True,False,False,False,,relu,0.0,11136000.0,,,,
0.0058068592101335,2455502848.0,2455502848.0,22452691968.0,603979776.0,,,,,21828974592.0,88383208.0,0.0,vit32,1.0,512.0,True,False,False,False,,relu,0.0,19737600.0,,,,
0.0061696581542491,2455502848.0,2455502848.0,8733892608.0,231211008.0,,,,,8495001600.0,88224232.0,0.0,vit32,2.0,224.0,True,False,False,False,,relu,0.0,7680000.0,,,,
