<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,accelerator,act_fn,avg_memory,batch_size,dropout,input_size,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_dquant,use_torchscript,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
2945756160.0,,,,0.0,relu,798.953125,2.0,,384.0,0.2104159728012746,3151496704.0,823.38671875,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,205369344.0,371200.0,0.0,,,
5236899840.0,,,,0.0,relu,852.203125,2.0,,512.0,0.4621646897983737,5602658816.0,920.76953125,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,365101056.0,657920.0,0.0,,,
2004750720.0,,,,0.0,relu,840.43359375,4.0,,224.0,0.11326039459963795,2144771968.0,840.43359375,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,139765248.0,256000.0,0.0,,,
5891512320.0,,,,0.0,relu,932.3385416666664,4.0,,384.0,0.4277746946987463,6302993408.0,979.484375,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,410738688.0,742400.0,0.0,,,
10473799680.0,,,,0.0,relu,966.7484375,4.0,,512.0,0.9502099110977724,11205317632.0,1115.640625,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,730202112.0,1315840.0,0.0,,,
4009501440.0,,,,0.0,relu,959.44921875,8.0,,224.0,0.21323549289954827,4289543936.0,983.43359375,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,279530496.0,512000.0,0.0,,,
11783024640.0,,,,0.0,relu,983.3299005681821,8.0,,384.0,1.0866914877988163,12605986816.0,1156.27734375,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,821477376.0,1484800.0,0.0,,,
20947599360.0,,,,0.0,relu,1180.5946691176468,8.0,,512.0,2.0213757952995364,22410635264.0,1476.0234375,efficientnet_lite,0.0,5416680.0,0.0,0.0,0.0,1460404224.0,2631680.0,0.0,,,
3001948544.0,,,,0.0,relu,766.6969866071429,1.0,,224.0,0.08374627100129146,3002076544.0,767.2421875,gernet,0.0,21142920.0,0.0,0.0,0.0,,128000.0,,0.0,,
8822052864.0,,,,0.0,relu,868.605712890625,1.0,,384.0,0.2115643044002354,8822424064.0,872.1875,gernet,0.0,21142920.0,0.0,0.0,0.0,,371200.0,,0.0,,
15683649536.0,,,,0.0,relu,913.4451264880953,1.0,,512.0,0.4103011643979698,15684307456.0,915.55859375,gernet,0.0,21142920.0,0.0,0.0,0.0,,657920.0,,0.0,,
6003897088.0,,,,0.0,relu,931.185546875,2.0,,224.0,0.16016094200022052,6004153088.0,931.19140625,gernet,0.0,21142920.0,0.0,0.0,0.0,,256000.0,,0.0,,
17644105728.0,,,,0.0,relu,1000.76015625,2.0,,384.0,0.4363818684010766,17644848128.0,1004.453125,gernet,0.0,21142920.0,0.0,0.0,0.0,,742400.0,,0.0,,
31367299072.0,,,,0.0,relu,1060.7271205357142,2.0,,512.0,0.7976164911990054,31368614912.0,1092.5546875,gernet,0.0,21142920.0,0.0,0.0,0.0,,1315840.0,,0.0,,
12007794176.0,,,,0.0,relu,1079.55390625,4.0,,224.0,0.3491410896007437,12008306176.0,1079.71875,gernet,0.0,21142920.0,0.0,0.0,0.0,,512000.0,,0.0,,
35288211456.0,,,,0.0,relu,1237.701171875,4.0,,384.0,1.0906921135989252,35289696256.0,1306.2421875,gernet,0.0,21142920.0,0.0,0.0,0.0,,1484800.0,,0.0,,
62734598144.0,,,,0.0,relu,1293.212611607143,4.0,,512.0,1.7518073374987582,62737229824.0,1358.75390625,gernet,0.0,21142920.0,0.0,0.0,0.0,,2631680.0,,0.0,,
24015588352.0,,,,0.0,relu,1303.1099330357142,8.0,,224.0,0.6863748380012111,24016612352.0,1303.30859375,gernet,0.0,21142920.0,0.0,0.0,0.0,,1024000.0,,0.0,,
