<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs
59.0,3303587840.0,59.0,383322161152.0,3.0,0.0,5.0,262144000.0,1.0,13107200.0,13.0,0.0,2616197120.0,256.0,224.0,0.02529130447655916,386901000192.0,2616197120.0,googlenet,140.0,13004888.0,0.0,,
59.0,4955381760.0,59.0,574983241728.0,3.0,0.0,5.0,393216000.0,1.0,19660800.0,13.0,0.0,2897215488.0,384.0,224.0,0.03482290208339691,580351500288.0,2897215488.0,googlenet,140.0,13004888.0,0.0,,
59.0,6607175680.0,59.0,766644322304.0,3.0,0.0,5.0,524288000.0,1.0,26214400.0,13.0,0.0,4019191808.0,512.0,224.0,0.058769713900983324,773802000384.0,4019191808.0,googlenet,140.0,13004888.0,0.0,,
52.0,26712448.0,52.0,299494272.0,1.0,0.0,1.0,1280000.0,,,,,1389363200.0,1.0,224.0,0.0014687959104776385,327486720.0,1389363200.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,53424896.0,52.0,598988544.0,1.0,0.0,1.0,2560000.0,,,,,1397751808.0,2.0,224.0,0.0013685151934623714,654973440.0,1397751808.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,106849792.0,52.0,1197977088.0,1.0,0.0,1.0,5120000.0,,,,,1408237568.0,4.0,224.0,0.0020728640258312232,1309946880.0,1408237568.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,213699584.0,52.0,2395954176.0,1.0,0.0,1.0,10240000.0,,,,,1427111936.0,8.0,224.0,0.0014524711295962336,2619893760.0,1427111936.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,427399168.0,52.0,4791908352.0,1.0,0.0,1.0,20480000.0,,,,,1458569216.0,16.0,224.0,0.0016898175701498984,5239787520.0,1458569216.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,854798336.0,52.0,9583816704.0,1.0,0.0,1.0,40960000.0,,,,,1540358144.0,32.0,224.0,0.0022310521453619003,10479575040.0,1540358144.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
52.0,1709596672.0,52.0,19167633408.0,1.0,0.0,1.0,81920000.0,,,,,1657798656.0,64.0,224.0,0.004119593277573585,20959150080.0,1657798656.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0
