device,model,accelerator,requires_grad,batch_size,img_size,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_cpu,googlenet,0.0,0.0,1.0,224.0,1154.8984375,1153.537109375,0.0,6624904.0,1504879712.0,0.0535541371500585
herron_cpu,googlenet,0.0,0.0,1.0,384.0,3674.65234375,3669.2255859375,0.0,6624904.0,4420516352.0,0.1407585002016276
herron_cpu,googlenet,0.0,0.0,1.0,448.0,3709.77734375,3707.327734375,0.0,6624904.0,6016443776.0,0.1894597392529249
herron_cpu,googlenet,0.0,0.0,1.0,512.0,3739.51171875,3739.328125,0.0,6624904.0,7857898496.0,0.2550434526521712
herron_cpu,shufflenet,0.0,0.0,1.0,224.0,1115.609375,1115.4171875,0.0,2278604.0,148808392.0,0.0112050334515515
herron_cpu,shufflenet,0.0,0.0,1.0,384.0,3619.7890625,3619.5875,0.0,2278604.0,435329152.0,0.0250647916516754
herron_cpu,shufflenet,0.0,0.0,1.0,448.0,3635.75,3633.6477864583335,0.0,2278604.0,592161568.0,0.0327001313504297
herron_cpu,shufflenet,0.0,0.0,1.0,512.0,3649.22265625,3648.651227678572,0.0,2278604.0,773122048.0,0.0478648776537738
herron_cpu,mobilenet_v2,0.0,0.0,1.0,224.0,1132.05859375,1131.73515625,0.0,3504872.0,314130496.0,0.0139201665006112
herron_cpu,mobilenet_v2,0.0,0.0,1.0,384.0,3660.97265625,3658.336495535714,0.0,3504872.0,920677376.0,0.0370876183966174
herron_cpu,mobilenet_v2,0.0,0.0,1.0,448.0,3681.2109375,3655.758370535714,0.0,3504872.0,1252681984.0,0.0512657104525715
herron_cpu,mobilenet_v2,0.0,0.0,1.0,512.0,3709.91015625,3676.265625,0.0,3504872.0,1635764224.0,0.0899171436496544
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,224.0,1229.7109375,1222.54296875,0.0,25028904.0,4259383296.0,0.0777323558460921
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,384.0,3791.43359375,3782.187855113637,0.0,25028904.0,12513396736.0,0.2001730915508233
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,448.0,3834.30859375,3818.895089285714,0.0,25028904.0,17031383040.0,0.2683864751539658
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,512.0,3904.5625,3904.444227430556,0.0,25028904.0,22244444160.0,0.3835381247976329
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,224.0,1427.3671875,1396.143359375,0.0,68883240.0,11426924544.0,0.2053031063464004
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,384.0,3982.49609375,3947.832868303572,0.0,68883240.0,33577191424.0,0.4694837238988839
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,448.0,4010.6640625,4010.3667279411766,0.0,68883240.0,45701548032.0,0.5916976348496974
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,512.0,4062.359375,4050.50390625,0.0,68883240.0,59691190272.0,0.7894038508995436
herron_cpu,mnasnet,0.0,0.0,1.0,224.0,1130.44140625,1130.15,0.0,4383312.0,325329152.0,0.013813235552515835
herron_cpu,mnasnet,0.0,0.0,1.0,384.0,3648.390625,3645.767578125,0.0,4383312.0,953587712.0,0.03717533344752155
herron_cpu,mnasnet,0.0,0.0,1.0,448.0,3690.265625,3682.134765625,0.0,4383312.0,1297476608.0,0.0456582635466475
herron_cpu,mnasnet,0.0,0.0,1.0,512.0,3718.2734375,3710.6315104166665,0.0,4383312.0,1694271488.0,0.07095582580077461
