<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,act_fn,avg_memory,batch_size,device,device_config,device_idx,dropout,exp_name,input_size,iters,latency,macs,max_memory,model,model_config,num_threads,platform,randomized_text,requires_grad,results_dir,total_nn_calls,total_params,trainable_params,use_channels_last,use_cuda,use_dquant,use_fp16,use_ipex,use_jit,use_tensorrt,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
245.0,21443708800.0,,,,,,,relu,2401239040.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.558614015579224e-07,21756761984.0,2401239040.0,efficientnet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,relu,2566914048.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,6.891787052154541e-07,43513523968.0,2566914048.0,efficientnet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,relu,2646605824.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.130205631256105e-07,87027047936.0,2646605824.0,efficientnet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,relu,2881486848.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.359310984611513e-07,174054095872.0,2881486848.0,efficientnet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,relu,3655335936.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.510185241699219e-07,348108191744.0,3655335936.0,efficientnet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,relu,4506779648.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.310882210731506e-07,696216383488.0,4506779648.0,efficientnet,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,relu,1736441856.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.310882210731506e-07,536192992.0,1736441856.0,efficientnet_lite,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,relu,1746927616.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,6.880611181259154e-07,1072385984.0,1746927616.0,efficientnet_lite,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
64.0,2004750720.0,,,,,,,relu,1790967808.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.418915629386902e-07,2144771968.0,1790967808.0,efficientnet_lite,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,,,,,
64.0,4009501440.0,,,,,,,relu,1870659584.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,6.960704922676085e-07,4289543936.0,1870659584.0,efficientnet_lite,config/models/vision.yaml,1.0,3090,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
