latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_nn_calls,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.linear.Linear'>_calls,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
0.0068576898425817,1339817984.0,1339817984.0,4289543936.0,4009501440.0,,,,172.0,64.0,,,,5416680.0,0.0,efficientnet_lite,8.0,224.0,True,False,False,False,,relu,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
0.0068035364151,1425801216.0,1425801216.0,8579087872.0,8019002880.0,,,,172.0,64.0,,,,5416680.0,0.0,efficientnet_lite,16.0,224.0,True,False,False,False,,relu,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,,,,,
0.0081132296472787,1612447744.0,1612447744.0,17158175744.0,16038005760.0,,,,172.0,64.0,,,,5416680.0,0.0,efficientnet_lite,32.0,224.0,True,False,False,False,,relu,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,,,,,
0.0139515548944473,1975255040.0,1975255040.0,34316351488.0,32076011520.0,,,,172.0,64.0,,,,5416680.0,0.0,efficientnet_lite,64.0,224.0,True,False,False,False,,relu,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,,,,,
0.0281334940344095,2696675328.0,2696675328.0,68632702976.0,64152023040.0,,,,172.0,64.0,,,,5416680.0,0.0,efficientnet_lite,128.0,224.0,True,False,False,False,,relu,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,,,,,
0.0062126275151968,1352400896.0,1352400896.0,3002076544.0,3001948544.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,1.0,224.0,True,False,False,False,,relu,,,1.0,128000.0,,,41.0,0.0,,,,,,,,
0.0065762113779783,1404829696.0,1404829696.0,6004153088.0,6003897088.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,2.0,224.0,True,False,False,False,,relu,,,1.0,256000.0,,,41.0,0.0,,,,,,,,
0.0064688973128795,1404829696.0,1404829696.0,12008306176.0,12007794176.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,4.0,224.0,True,False,False,False,,relu,,,1.0,512000.0,,,41.0,0.0,,,,,,,,
0.0062701564282178,1404829696.0,1404829696.0,24016612352.0,24015588352.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,8.0,224.0,True,False,False,False,,relu,,,1.0,1024000.0,,,41.0,0.0,,,,,,,,
0.0063451077789068,1509687296.0,1509687296.0,48033224704.0,48031176704.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,16.0,224.0,True,False,False,False,,relu,,,1.0,2048000.0,,,41.0,0.0,,,,,,,,
0.0074176862835884,1643905024.0,1643905024.0,96066449408.0,96062353408.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,32.0,224.0,True,False,False,False,,relu,,,1.0,4096000.0,,,41.0,0.0,,,,,,,,
0.0145432956516742,1906049024.0,1906049024.0,192132898816.0,192124706816.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,64.0,224.0,True,False,False,False,,relu,,,1.0,8192000.0,,,41.0,0.0,,,,,,,,
0.0282273806631565,2424045568.0,2424045568.0,384265797632.0,384249413632.0,,,,87.0,45.0,,,,21142920.0,0.0,gernet,128.0,224.0,True,False,False,False,,relu,,,1.0,16384000.0,,,41.0,0.0,,,,,,,,
0.0027528531849384,1323040768.0,1323040768.0,1824033792.0,1813561344.0,,,512000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,1.0,224.0,True,False,False,False,,relu,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,,,,,
0.0028027575463056,1348206592.0,1348206592.0,3648067584.0,3627122688.0,,,1024000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,2.0,224.0,True,False,False,False,,relu,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,,,,,
0.0028002671897411,1371275264.0,1371275264.0,7296135168.0,7254245376.0,,,2048000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,4.0,224.0,True,False,False,False,,relu,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,,,,,
0.002844750881195,1385955328.0,1385955328.0,14592270336.0,14508490752.0,,,4096000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,8.0,224.0,True,False,False,False,,relu,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,,,,,
0.0028017181903123,1440481280.0,1440481280.0,29184540672.0,29016981504.0,,,8192000.0,52.0,20.0,,,1.0,11689512.0,0.0,resnet18,16.0,224.0,True,False,False,False,,relu,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,,,,,
