model,batch,latency,macs,dtype
mobilenet_v2,64.0,0.012052907608449459,20959150080.0,fp16
wide_resnet50_2,1.0,0.0029555086418986323,11455725568.0,fp16
wide_resnet50_2,2.0,0.003617756366729736,22911451136.0,fp16
wide_resnet50_2,3.0,0.003909292370080948,34367176704.0,fp16
wide_resnet50_2,4.0,0.004602630734443665,45822902272.0,fp16
wide_resnet50_2,6.0,0.006136201396584511,68734353408.0,fp16
wide_resnet50_2,8.0,0.009117213226854801,91645804544.0,fp16
wide_resnet50_2,16.0,0.01494549036026001,183291609088.0,fp16
wide_resnet50_2,32.0,0.045757395178079606,366583218176.0,fp16
wide_resnet50_2,64.0,0.10811815068125724,733166436352.0,fp16
mnasnet,1.0,0.0012471343576908112,336242432.0,fp16
mnasnet,2.0,0.0013556189090013504,672484864.0,fp16
mnasnet,3.0,0.0013694531470537187,1008727296.0,fp16
mnasnet,4.0,0.001353546790778637,1344969728.0,fp16
mnasnet,6.0,0.001652233749628067,2017454592.0,fp16
mnasnet,8.0,0.0018475567549467086,2689939456.0,fp16
mnasnet,16.0,0.003205860257148743,5379878912.0,fp16
mnasnet,32.0,0.005571039319038391,10759757824.0,fp16
mnasnet,64.0,0.010937692895531655,21519515648.0,fp16
squeezenet,1.0,0.0009552339836955071,819094576.0,fp32
squeezenet,2.0,0.0010794220119714737,1638189152.0,fp32
squeezenet,3.0,0.0011455027759075165,2457283728.0,fp32
squeezenet,4.0,0.0013774373754858972,3276378304.0,fp32
squeezenet,6.0,0.0018059854954481124,4914567456.0,fp32
squeezenet,8.0,0.002421072535216808,6552756608.0,fp32
squeezenet,16.0,0.004057130329310894,13105513216.0,fp32
squeezenet,32.0,0.007695343419909477,26211026432.0,fp32
squeezenet,64.0,0.014593048244714737,52422052864.0,fp32
vit32,1.0,0.0031055016815662384,4366946304.0,fp32
vit32,2.0,0.0035311520844697954,8733892608.0,fp32
vit32,3.0,0.0042058989405632016,13100838912.0,fp32
vit32,4.0,0.005241330154240132,17467785216.0,fp32
vit32,6.0,0.006615767069160938,26201677824.0,fp32
vit32,8.0,0.008665792681276797,34935570432.0,fp32
vit32,16.0,0.016250694878399374,69871140864.0,fp32
vit32,32.0,0.030473526492714884,139742281728.0,fp32
vit32,64.0,0.06114644389599562,279484563456.0,fp32
efficientnet,1.0,0.010684126652777196,5439190496.0,fp32
efficientnet,2.0,0.011716789416968822,10878380992.0,fp32
efficientnet,3.0,0.013613844066858291,16317571488.0,fp32
efficientnet,4.0,0.01515498038381338,21756761984.0,fp32
efficientnet,6.0,0.019614472687244415,32635142976.0,fp32
efficientnet,8.0,0.02357709176838398,43513523968.0,fp32
efficientnet,16.0,0.04158878587186336,87027047936.0,fp32
efficientnet,32.0,0.0746234294399619,174054095872.0,fp32
efficientnet,64.0,0.1456469329819083,348108191744.0,fp32
efficientnet_lite,1.0,0.0014857379719614983,536192992.0,fp32
efficientnet_lite,2.0,0.001895802840590477,1072385984.0,fp32
efficientnet_lite,3.0,0.002347891181707382,1608578976.0,fp32
efficientnet_lite,4.0,0.002929040715098381,2144771968.0,fp32
efficientnet_lite,6.0,0.0038696950301527976,3217157952.0,fp32
efficientnet_lite,8.0,0.0048056145757436755,4289543936.0,fp32
efficientnet_lite,16.0,0.009034890942275524,8579087872.0,fp32
efficientnet_lite,32.0,0.01670261062681675,17158175744.0,fp32
efficientnet_lite,64.0,0.03184957388788462,34316351488.0,fp32
gernet,1.0,0.0019682248309254645,3002076544.0,fp32
gernet,2.0,0.0023550034314394,6004153088.0,fp32
gernet,3.0,0.0029871923848986625,9006229632.0,fp32
gernet,4.0,0.0034762069582939146,12008306176.0,fp32
gernet,6.0,0.004787808321416378,18012459264.0,fp32
gernet,8.0,0.005534932315349579,24016612352.0,fp32
gernet,16.0,0.008727301470935344,48033224704.0,fp32
gernet,32.0,0.01643319208174944,96066449408.0,fp32
gernet,64.0,0.032433508783578875,192132898816.0,fp32
resnet18,1.0,0.0011876505240797997,1824033792.0,fp32
resnet18,2.0,0.0013723646104335785,3648067584.0,fp32
resnet18,3.0,0.001771678365767002,5472101376.0,fp32
resnet18,4.0,0.0018736783042550087,7296135168.0,fp32
resnet18,6.0,0.0026632900163531302,10944202752.0,fp32
resnet18,8.0,0.0030960530787706377,14592270336.0,fp32
resnet18,16.0,0.005095120407640934,29184540672.0,fp32
resnet18,32.0,0.010411988981068133,58369081344.0,fp32
resnet18,64.0,0.019386635832488536,116738162688.0,fp32
resnet50,1.0,0.002803739570081234,4133742592.0,fp32
resnet50,2.0,0.0034455686062574388,8267485184.0,fp32
resnet50,3.0,0.004541490077972412,12401227776.0,fp32
resnet50,4.0,0.004410352818667889,16534970368.0,fp32
resnet50,6.0,0.006693345978856086,24802455552.0,fp32
resnet50,8.0,0.007439163103699684,33069940736.0,fp32
resnet50,16.0,0.012837126590311528,66139881472.0,fp32
resnet50,32.0,0.025015529021620752,132279762944.0,fp32
resnet50,64.0,0.047938376404345034,264559525888.0,fp32
resnet101,1.0,0.0052618422731757165,7866435584.0,fp32
resnet101,2.0,0.0067373266443610195,15732871168.0,fp32
resnet101,3.0,0.007851589918136597,23599306752.0,fp32
resnet101,4.0,0.008186117820441723,31465742336.0,fp32
resnet101,6.0,0.012888848073780537,47198613504.0,fp32
resnet101,8.0,0.013140033036470412,62931484672.0,fp32
resnet101,16.0,0.02224837739020586,125862969344.0,fp32
resnet101,32.0,0.044571197628974914,251725938688.0,fp32
resnet101,64.0,0.08625759813934565,503451877376.0,fp32
resnet152,1.0,0.007561958655714989,11603945472.0,fp32
resnet152,2.0,0.009684605039656163,23207890944.0,fp32
resnet152,3.0,0.012773299813270569,34811836416.0,fp32
resnet152,4.0,0.012281634286046028,46415781888.0,fp32
resnet152,6.0,0.018438500091433524,69623672832.0,fp32
resnet152,8.0,0.018825247511267663,92831563776.0,fp32
resnet152,16.0,0.031648477204144,185663127552.0,fp32
resnet152,32.0,0.06430976763367653,371326255104.0,fp32
resnet152,64.0,0.12569683782756327,742652510208.0,fp32
alexnet,1.0,0.0008543533459305764,714206912.0,fp32
alexnet,2.0,0.0011175396293401718,1428413824.0,fp32
alexnet,3.0,0.0011730338633060455,2142620736.0,fp32
alexnet,4.0,0.0012590987607836723,2856827648.0,fp32
alexnet,6.0,0.0014686530455946922,4285241472.0,fp32
alexnet,8.0,0.001536860391497612,5713655296.0,fp32
alexnet,16.0,0.0020046088844537734,11427310592.0,fp32
alexnet,32.0,0.004264824204146862,22854621184.0,fp32
alexnet,64.0,0.008410107716917992,45709242368.0,fp32
squeezenet,1.0,0.0007024566829204559,819094576.0,fp32
squeezenet,2.0,0.0009405907988548279,1638189152.0,fp32
squeezenet,3.0,0.0011757876724004745,2457283728.0,fp32
squeezenet,4.0,0.0014498404040932656,3276378304.0,fp32
squeezenet,6.0,0.001892937906086445,4914567456.0,fp32
squeezenet,8.0,0.0024600235745310785,6552756608.0,fp32
squeezenet,16.0,0.004272674359381199,13105513216.0,fp32
squeezenet,32.0,0.00811868816614151,26211026432.0,fp32
squeezenet,64.0,0.015310813821852207,52422052864.0,fp32
vgg16,1.0,0.003394446074962616,15470314496.0,fp32
vgg16,2.0,0.005709519647061825,30940628992.0,fp32
vgg16,3.0,0.007869949117302894,46410943488.0,fp32
vgg16,4.0,0.009670608825981617,61881257984.0,fp32
vgg16,6.0,0.013423497378826142,92821886976.0,fp32
vgg16,8.0,0.017348842173814775,123762515968.0,fp32
vgg16,16.0,0.03264586418867111,247525031936.0,fp32
vgg16,32.0,0.06320927858352661,495050063872.0,fp32
vgg16,64.0,0.1264262855798006,990100127744.0,fp32
densenet,1.0,0.01048403661698103,7845841056.0,fp32
densenet,2.0,0.012761434018611907,15691682112.0,fp32
densenet,3.0,0.014218056239187718,23537523168.0,fp32
densenet,4.0,0.01673611592501402,31383364224.0,fp32
densenet,6.0,0.02211067099124193,47075046336.0,fp32
densenet,8.0,0.02660321369767189,62766728448.0,fp32
densenet,16.0,0.04422823704779148,125533456896.0,fp32
densenet,32.0,0.07960837580263615,251066913792.0,fp32
densenet,64.0,0.15345888525247575,502133827584.0,fp32
inception,1.0,0.005164981596171856,2856567712.0,fp32
inception,2.0,0.00556454747915268,5713135424.0,fp32
inception,3.0,0.006108709089457989,8569703136.0,fp32
inception,4.0,0.006649881452322006,11426270848.0,fp32
inception,6.0,0.007778366394340992,17139406272.0,fp32
inception,8.0,0.009123039841651916,22852541696.0,fp32
inception,16.0,0.01405625618994236,45705083392.0,fp32
inception,32.0,0.023896767385303976,91410166784.0,fp32
inception,64.0,0.040457931831479076,182820333568.0,fp32
googlenet,1.0,0.0018968791887164116,1511332032.0,fp32
googlenet,2.0,0.0021017411351203917,3022664064.0,fp32
googlenet,3.0,0.002515910603106022,4533996096.0,fp32
googlenet,4.0,0.0027365552634000777,6045328128.0,fp32
googlenet,6.0,0.003428515270352364,9067992192.0,fp32
googlenet,8.0,0.004116300977766513,12090656256.0,fp32
googlenet,16.0,0.0065076322108507155,24181312512.0,fp32
googlenet,32.0,0.011256588883697986,48362625024.0,fp32
googlenet,64.0,0.0212037168815732,96725250048.0,fp32
mobilenet_v2,1.0,0.0009485847875475884,327486720.0,fp32
mobilenet_v2,2.0,0.0010316624119877816,654973440.0,fp32
mobilenet_v2,3.0,0.0012183483690023423,982460160.0,fp32
mobilenet_v2,4.0,0.0014201389625668527,1309946880.0,fp32
mobilenet_v2,6.0,0.0018297842144966126,1964920320.0,fp32
mobilenet_v2,8.0,0.0022101229056715964,2619893760.0,fp32
mobilenet_v2,16.0,0.003910734578967095,5239787520.0,fp32
mobilenet_v2,32.0,0.006875623948872089,10479575040.0,fp32
mobilenet_v2,64.0,0.013539029806852341,20959150080.0,fp32
wide_resnet50_2,1.0,0.006390431150794029,11455725568.0,fp32
wide_resnet50_2,2.0,0.007959740199148656,22911451136.0,fp32
wide_resnet50_2,3.0,0.01106369584798813,34367176704.0,fp32
wide_resnet50_2,4.0,0.01166323896497488,45822902272.0,fp32
wide_resnet50_2,6.0,0.01711024109274149,68734353408.0,fp32
wide_resnet50_2,8.0,0.019329891800880433,91645804544.0,fp32
wide_resnet50_2,16.0,0.03305916383862496,183291609088.0,fp32
wide_resnet50_2,32.0,0.061525071263313295,366583218176.0,fp32
wide_resnet50_2,64.0,0.11676785297691822,733166436352.0,fp32
mnasnet,1.0,0.000990165024995804,336242432.0,fp32
mnasnet,2.0,0.0011169794946908952,672484864.0,fp32
mnasnet,3.0,0.0012517607212066651,1008727296.0,fp32
mnasnet,4.0,0.00147367425262928,1344969728.0,fp32
mnasnet,6.0,0.0018557129427790643,2017454592.0,fp32
mnasnet,8.0,0.002251138761639595,2689939456.0,fp32
mnasnet,16.0,0.003877080865204334,5379878912.0,fp32
mnasnet,32.0,0.006715062744915485,10759757824.0,fp32
mnasnet,64.0,0.012777417339384556,21519515648.0,fp32
