batch_size,latency,model
1.0,0.0034280771017074583,vit32
2.0,0.003110184893012047,vit32
3.0,0.0035608620941638947,vit32
4.0,0.003302723616361618,vit32
6.0,0.003508344739675522,vit32
8.0,0.004126537665724754,vit32
16.0,0.007279462590813637,vit32
32.0,0.012835608199238777,vit32
64.0,0.024207540974020957,vit32
