<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
25.0,0.0,109.0,43487133696.0,25.0,39321600.0,1803288576.0,1.0,128.0,0.02097665723413229,43526455296.0,1803288576.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,86974267392.0,25.0,78643200.0,2111569920.0,2.0,128.0,0.023756977915763856,87052910592.0,2111569920.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,173948534784.0,25.0,157286400.0,2451308544.0,4.0,128.0,0.02452817475423217,174105821184.0,2451308544.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,347897069568.0,25.0,314572800.0,2606497792.0,8.0,128.0,0.04592037796974182,348211642368.0,2606497792.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,695794139136.0,25.0,629145600.0,3013345280.0,16.0,128.0,0.08885581018403173,696423284736.0,3013345280.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,1391588278272.0,25.0,1258291200.0,4026269696.0,32.0,128.0,0.1723356841132045,1392846569472.0,4026269696.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,2783176556544.0,25.0,2516582400.0,5643173888.0,64.0,128.0,0.3404744734056294,2785693138944.0,5643173888.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,5566353113088.0,25.0,5033164800.0,8872787968.0,128.0,128.0,0.6920709556899964,5571386277888.0,8872787968.0,longformer,159.0,148659456.0,0.0,,,,
49.0,0.0,361.0,2592079872.0,,,1184628736.0,1.0,128.0,0.02719671251252293,2592079872.0,1184628736.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,5184159744.0,,,1230766080.0,2.0,128.0,0.028406102396547794,5184159744.0,1230766080.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,10368319488.0,,,1230766080.0,4.0,128.0,0.029969374649226662,10368319488.0,1230766080.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,20736638976.0,,,1232863232.0,8.0,128.0,0.02668612478300929,20736638976.0,1232863232.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,41473277952.0,,,1274806272.0,16.0,128.0,0.029599991254508493,41473277952.0,1274806272.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,82946555904.0,,,1327235072.0,32.0,128.0,0.03013804033398628,82946555904.0,1327235072.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,165893111808.0,,,1515978752.0,64.0,128.0,0.03080678721889853,165893111808.0,1515978752.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,331786223616.0,,,1857814528.0,128.0,128.0,0.03049746043980122,331786223616.0,1857814528.0,mobile_bert,410.0,24581888.0,0.0,,,,
37.0,0.0,1.0,589824.0,1.0,393216.0,1958477824.0,1.0,128.0,0.02244843412190676,3405428736.0,1958477824.0,squeeze_bert,123.0,51094272.0,0.0,12.0,7059456.0,72.0,3397386240.0
37.0,0.0,1.0,1179648.0,1.0,786432.0,2061238272.0,2.0,128.0,0.022865406516939402,6810857472.0,2061238272.0,squeeze_bert,123.0,51094272.0,0.0,12.0,14118912.0,72.0,6794772480.0
37.0,0.0,1.0,2359296.0,1.0,1572864.0,2163998720.0,4.0,128.0,0.02362199071794748,13621714944.0,2163998720.0,squeeze_bert,123.0,51094272.0,0.0,12.0,28237824.0,72.0,13589544960.0
37.0,0.0,1.0,4718592.0,1.0,3145728.0,2163998720.0,8.0,128.0,0.02266256036236882,27243429888.0,2163998720.0,squeeze_bert,123.0,51094272.0,0.0,12.0,56475648.0,72.0,27179089920.0
37.0,0.0,1.0,9437184.0,1.0,6291456.0,2212233216.0,16.0,128.0,0.02449439950287342,54486859776.0,2212233216.0,squeeze_bert,123.0,51094272.0,0.0,12.0,112951296.0,72.0,54358179840.0
37.0,0.0,1.0,18874368.0,1.0,12582912.0,2329673728.0,32.0,128.0,0.022581555135548114,108973719552.0,2329673728.0,squeeze_bert,123.0,51094272.0,0.0,12.0,225902592.0,72.0,108716359680.0
37.0,0.0,1.0,37748736.0,1.0,25165824.0,2621177856.0,64.0,128.0,0.03466348871588707,217947439104.0,2621177856.0,squeeze_bert,123.0,51094272.0,0.0,12.0,451805184.0,72.0,217432719360.0
37.0,0.0,1.0,75497472.0,1.0,50331648.0,3241934848.0,128.0,128.0,0.06497417576611042,435894878208.0,3241934848.0,squeeze_bert,123.0,51094272.0,0.0,12.0,903610368.0,72.0,434865438720.0
