accelerator,avg_memory,batch_size,device,img_size,macs,max_memory,mean,model,requires_grad,total_params,trainable_params
1.0,2597.177455357143,1.0,jetson_gpu,384.0,435329152.0,2597.1796875,0.047820526950090425,shufflenet,0.0,2278604.0,0.0
1.0,2597.45458984375,1.0,jetson_gpu,448.0,592161568.0,2597.45703125,0.05501073509985872,shufflenet,0.0,2278604.0,0.0
1.0,2581.32421875,1.0,jetson_gpu,512.0,773122048.0,2588.03125,0.06342611434993159,shufflenet,0.0,2278604.0,0.0
1.0,2113.059988839286,1.0,jetson_gpu,224.0,314130496.0,2606.0546875,0.03651233285017952,mobilenet_v2,0.0,3504872.0,0.0
1.0,2595.234375,1.0,jetson_gpu,384.0,920677376.0,2595.234375,0.06073352950006665,mobilenet_v2,0.0,3504872.0,0.0
1.0,2584.7083333333335,1.0,jetson_gpu,448.0,1252681984.0,2588.953125,0.08165022550019785,mobilenet_v2,0.0,3504872.0,0.0
1.0,2575.77265625,1.0,jetson_gpu,512.0,1635764224.0,2583.95703125,0.10435687730023346,mobilenet_v2,0.0,3504872.0,0.0
1.0,2056.983315677966,1.0,jetson_gpu,224.0,4259383296.0,2310.390625,0.1585087321502215,resnext50_32x4d,0.0,25028904.0,0.0
1.0,2290.115234375,1.0,jetson_gpu,384.0,12513396736.0,2307.984375,0.37232847894993026,resnext50_32x4d,0.0,25028904.0,0.0
1.0,2253.4765625,1.0,jetson_gpu,448.0,17031383040.0,2253.4765625,0.5102791911998793,resnext50_32x4d,0.0,25028904.0,0.0
1.0,2247.28125,1.0,jetson_gpu,512.0,22244444160.0,2247.28125,0.6434150075001526,resnext50_32x4d,0.0,25028904.0,0.0
1.0,2000.4148685515872,1.0,jetson_gpu,224.0,11426924544.0,2164.25,0.200663242200244,wide_resnet50_2,0.0,68883240.0,0.0
1.0,2112.1395951704544,1.0,jetson_gpu,224.0,325329152.0,2641.80859375,0.03437492880002537,mnasnet,0.0,4383312.0,0.0
1.0,2638.70703125,1.0,jetson_gpu,384.0,953587712.0,2638.70703125,0.06263962925004307,mnasnet,0.0,4383312.0,0.0
1.0,2638.8515625,1.0,jetson_gpu,448.0,1297476608.0,2638.8515625,0.08473559505000594,mnasnet,0.0,4383312.0,0.0
1.0,2629.49267578125,1.0,jetson_gpu,512.0,1694271488.0,2638.94140625,0.10764668914998765,mnasnet,0.0,4383312.0,0.0
