device,model,accelerator,requires_grad,use_torchscript,batch_size,sequence_length,avg_memory,max_memory,mean,macs,total_params,trainable_params
rpi4_neon_cpu,funnel_transformer,0.0,0.0,0.0,1.0,512.0,1345.4196346507354,1397.4296875,6.818429321699659,33067892736.0,130973184.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,1.0,324.3234375,326.2265625,0.2281881428993074,85622784.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,2.0,285.51015625,285.6171875,0.2451269925993983,170655744.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,4.0,285.66640625,285.69140625,0.2840896665002219,340721664.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,8.0,285.7356770833333,285.7421875,0.3730071495010634,680853504.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,16.0,285.7734375,285.78125,0.4230919676992926,1361117184.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,32.0,286.72935267857144,287.56640625,0.5431498467994971,2721644544.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,64.0,291.18599759615387,291.92578125,0.902512176700111,5442699264.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,128.0,304.522265625,306.6484375,1.6245748807006748,10884808704.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,256.0,313.8068080357143,315.1953125,3.2778060652999557,21769027584.0,11683584.0,0.0
rpi4_neon_cpu,albert,0.0,0.0,0.0,1.0,512.0,340.25011003521126,359.77734375,7.0735662542007045,43537465344.0,11683584.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,1.0,1444.035700158228,1468.51171875,7.149718256300548,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,2.0,1096.9140625,1096.9140625,7.040237291599624,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,4.0,1047.578125,1047.578125,7.1027452925001855,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,8.0,1047.640625,1047.640625,7.0679855548005435,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,16.0,1047.66796875,1047.66796875,6.959106747400074,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,32.0,1047.671875,1047.671875,6.9252454945992215,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,64.0,1047.68359375,1047.68359375,7.138563108899689,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,128.0,1047.7421875,1047.7421875,7.101261854699987,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,256.0,1047.8046875,1047.8046875,7.158009201499226,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,longformer,0.0,0.0,0.0,1.0,512.0,1047.87109375,1047.87109375,7.379337538599794,43487133696.0,148659456.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,1.0,476.93359375,476.93359375,0.1424200391993508,20250624.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,2.0,480.46953125,480.51953125,0.1479705759003991,40501248.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,4.0,421.241796875,421.2421875,0.1582856376000563,81002496.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,8.0,421.26484375,421.27734375,0.175306027100305,162004992.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,16.0,421.3640625,421.3671875,0.1932460113006527,324009984.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,32.0,421.36953125,421.37109375,0.2271941324012004,648019968.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,64.0,421.40736607142856,421.41796875,0.3197181203009677,1296039936.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,128.0,421.5558363970589,421.57421875,0.5243675263991463,2592079872.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,256.0,421.7730823863636,421.79296875,1.0219066664998535,5184159744.0,24581888.0,0.0
rpi4_neon_cpu,mobile_bert,0.0,0.0,0.0,1.0,512.0,422.0453125,422.05859375,2.3437364029989114,10368319488.0,24581888.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,1.0,535.15796875,536.25,0.1282317242992576,27214848.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,2.0,540.3459821428571,540.6875,0.1462977047005552,53839872.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,4.0,540.8649553571429,540.90234375,0.165836021299765,107089920.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,8.0,540.9716796875,540.98046875,0.1885292382008629,213590016.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,16.0,541.0609375,541.078125,0.22436121869977796,426590208.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,32.0,541.6791294642857,542.04296875,0.3019875302998116,852590592.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,64.0,544.505859375,547.7265625,0.4819719902006909,1704591360.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,128.0,548.1599392361111,551.47265625,0.8748607940011425,3408592896.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,256.0,554.41650390625,561.7109375,2.0107590148007146,6816595968.0,51094272.0,0.0
rpi4_neon_cpu,squeeze_bert,0.0,0.0,0.0,1.0,512.0,579.4543167372881,609.3125,4.87263431570027,13632602112.0,51094272.0,0.0
