<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,act_fn,avg_memory,batch_size,device,device_config,device_idx,dropout,exp_name,input_size,iters,latency,macs,max_memory,model,model_config,num_threads,platform,randomized_text,requires_grad,results_dir,total_nn_calls,total_params,trainable_params,use_channels_last,use_cuda,use_dquant,use_fp16,use_ipex,use_jit,use_tensorrt,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
245.0,21443708800.0,,,,,,,relu,1807745024.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,8.808448910713195e-07,21756761984.0,1807745024.0,efficientnet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,312797184.0,1.0,256000.0,,,,,,,,,,,,
245.0,42887417600.0,,,,,,,relu,2061500416.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.344409823417666e-07,43513523968.0,2061500416.0,efficientnet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,625594368.0,1.0,512000.0,,,,,,,,,,,,
245.0,85774835200.0,,,,,,,relu,2212495360.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.554888725280763e-07,87027047936.0,2212495360.0,efficientnet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,1251188736.0,1.0,1024000.0,,,,,,,,,,,,
245.0,171549670400.0,,,,,,,relu,2548039680.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.720664143562317e-07,174054095872.0,2548039680.0,efficientnet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,2502377472.0,1.0,2048000.0,,,,,,,,,,,,
245.0,343099340800.0,,,,,,,relu,3420454912.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.627531886100769e-07,348108191744.0,3420454912.0,efficientnet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,5004754944.0,1.0,4096000.0,,,,,,,,,,,,
245.0,686198681600.0,,,,,,,relu,4290772992.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.681548595428465e-07,696216383488.0,4290772992.0,efficientnet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,403.0,54139356.0,54139356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,10009509888.0,1.0,8192000.0,,,,,,,,,,,,
64.0,501187680.0,,,,,,,relu,1142947840.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.70390033721924e-07,536192992.0,1142947840.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,34941312.0,1.0,64000.0,43.0,0.0,,,,,,,,,,
64.0,1002375360.0,,,,,,,relu,1153433600.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.776543498039246e-07,1072385984.0,1153433600.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,69882624.0,1.0,128000.0,43.0,0.0,,,,,,,,,,
64.0,2004750720.0,,,,,,,relu,1195376640.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.737427949905395e-07,2144771968.0,1195376640.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,139765248.0,1.0,256000.0,43.0,0.0,,,,,,,,,,
64.0,4009501440.0,,,,,,,relu,1277165568.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.66851007938385e-07,4289543936.0,1277165568.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,279530496.0,1.0,512000.0,43.0,0.0,,,,,,,,,,
64.0,8019002880.0,,,,,,,relu,1470103552.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.957220077514648e-07,8579087872.0,1470103552.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,559060992.0,1.0,1024000.0,43.0,0.0,,,,,,,,,,
64.0,16038005760.0,,,,,,,relu,1835008000.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,8.575618267059326e-07,17158175744.0,1835008000.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1118121984.0,1.0,2048000.0,43.0,0.0,,,,,,,,,,
64.0,32076011520.0,,,,,,,relu,2554331136.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,1.0710209608078005e-06,34316351488.0,2554331136.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2236243968.0,1.0,4096000.0,43.0,0.0,,,,,,,,,,
64.0,64152023040.0,,,,,,,relu,3992977408.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,1.0862946510314942e-06,68632702976.0,3992977408.0,efficientnet_lite,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,172.0,5416680.0,5416680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,,,,,
45.0,3001948544.0,,,,,,,relu,1205862400.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.480382919311524e-07,3002076544.0,1205862400.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,128000.0,,,41.0,0.0,,,,,,,,
45.0,6003897088.0,,,,,,,relu,1279262720.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.53067433834076e-07,6004153088.0,1279262720.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,256000.0,,,41.0,0.0,,,,,,,,
45.0,12007794176.0,,,,,,,relu,1279262720.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.852911949157716e-07,12008306176.0,1279262720.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,512000.0,,,41.0,0.0,,,,,,,,
45.0,24015588352.0,,,,,,,relu,1354760192.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.713213562965395e-07,24016612352.0,1354760192.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1024000.0,,,41.0,0.0,,,,,,,,
45.0,48031176704.0,,,,,,,relu,1595932672.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,1.0376796126365662e-06,48033224704.0,1595932672.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,2048000.0,,,41.0,0.0,,,,,,,,
45.0,96062353408.0,,,,,,,relu,1935671296.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,1.2841075658798215e-06,96066449408.0,1935671296.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,4096000.0,,,41.0,0.0,,,,,,,,
45.0,192124706816.0,,,,,,,relu,2503999488.0,"[1, 2, 4, 8, 16, 32, 64, 128]",cuda,config/devices/cuda.yaml,0.0,,pretrained-fp16,[224],10.0,7.97957181930542e-07,192132898816.0,2503999488.0,gernet,config/models/vision.yaml,1.0,2080Ti,1.0,0.0,experiments/pretrained,87.0,21142920.0,21142920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,8192000.0,,,41.0,0.0,,,,,,,,
