latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn
3.687366843223572e-05,1272709120.0,1272709120.0,1.0,1.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 1, 1)",1.0,1.0,0.0,0.0,0.0,,relu
4.155561327934265e-05,1272709120.0,1272709120.0,4.0,4.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 1, 2)",1.0,1.0,0.0,0.0,0.0,,relu
4.1253864765167236e-05,1272709120.0,1272709120.0,16.0,16.0,0.0,20.0,0.0,feedforward,1.0,bsh,"(1, 1, 4)",1.0,1.0,0.0,0.0,0.0,,relu
4.1579827666282654e-05,1272709120.0,1272709120.0,64.0,64.0,0.0,72.0,0.0,feedforward,1.0,bsh,"(1, 1, 8)",1.0,1.0,0.0,0.0,0.0,,relu
4.3013319373130796e-05,1272709120.0,1272709120.0,256.0,256.0,0.0,272.0,0.0,feedforward,1.0,bsh,"(1, 1, 16)",1.0,1.0,0.0,0.0,0.0,,relu
3.679245710372925e-05,1272709120.0,1272709120.0,1024.0,1024.0,0.0,1056.0,0.0,feedforward,1.0,bsh,"(1, 1, 32)",1.0,1.0,0.0,0.0,0.0,,relu
3.539659082889557e-05,1272709120.0,1272709120.0,4096.0,4096.0,0.0,4160.0,0.0,feedforward,1.0,bsh,"(1, 1, 64)",1.0,1.0,0.0,0.0,0.0,,relu
3.5585835576057434e-05,1272709120.0,1272709120.0,65536.0,65536.0,0.0,65792.0,0.0,feedforward,1.0,bsh,"(1, 1, 256)",1.0,1.0,0.0,0.0,0.0,,relu
3.705359995365143e-05,1272709120.0,1272709120.0,262144.0,262144.0,0.0,262656.0,0.0,feedforward,1.0,bsh,"(1, 1, 512)",1.0,1.0,0.0,0.0,0.0,,relu
3.6747753620147704e-05,1293680640.0,1293680640.0,1048576.0,1048576.0,0.0,1049600.0,0.0,feedforward,1.0,bsh,"(1, 1, 1024)",1.0,1.0,0.0,0.0,0.0,,relu
5.415752530097961e-05,1293680640.0,1293680640.0,4194304.0,4194304.0,0.0,4196352.0,0.0,feedforward,1.0,bsh,"(1, 1, 2048)",1.0,1.0,0.0,0.0,0.0,,relu
5.336031317710876e-05,1331429376.0,1331429376.0,9437184.0,9437184.0,0.0,9440256.0,0.0,feedforward,1.0,bsh,"(1, 1, 3072)",1.0,1.0,0.0,0.0,0.0,,relu
5.2862614393234256e-05,1398538240.0,1398538240.0,16777216.0,16777216.0,0.0,16781312.0,0.0,feedforward,1.0,bsh,"(1, 1, 4096)",1.0,1.0,0.0,0.0,0.0,,relu
3.640279173851013e-05,1339817984.0,1339817984.0,2.0,2.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 2, 1)",1.0,1.0,0.0,0.0,0.0,,relu
3.6652758717536925e-05,1339817984.0,1339817984.0,8.0,8.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 2, 2)",1.0,1.0,0.0,0.0,0.0,,relu
3.657601773738861e-05,1339817984.0,1339817984.0,32.0,32.0,0.0,20.0,0.0,feedforward,1.0,bsh,"(1, 2, 4)",1.0,1.0,0.0,0.0,0.0,,relu
3.643333911895752e-05,1339817984.0,1339817984.0,128.0,128.0,0.0,72.0,0.0,feedforward,1.0,bsh,"(1, 2, 8)",1.0,1.0,0.0,0.0,0.0,,relu
3.6277994513511655e-05,1339817984.0,1339817984.0,512.0,512.0,0.0,272.0,0.0,feedforward,1.0,bsh,"(1, 2, 16)",1.0,1.0,0.0,0.0,0.0,,relu
3.657527267932892e-05,1272709120.0,1272709120.0,2048.0,2048.0,0.0,1056.0,0.0,feedforward,1.0,bsh,"(1, 2, 32)",1.0,1.0,0.0,0.0,0.0,,relu
3.6792829632759094e-05,1272709120.0,1272709120.0,8192.0,8192.0,0.0,4160.0,0.0,feedforward,1.0,bsh,"(1, 2, 64)",1.0,1.0,0.0,0.0,0.0,,relu
3.689900040626526e-05,1272709120.0,1272709120.0,131072.0,131072.0,0.0,65792.0,0.0,feedforward,1.0,bsh,"(1, 2, 256)",1.0,1.0,0.0,0.0,0.0,,relu
3.691576421260834e-05,1272709120.0,1272709120.0,524288.0,524288.0,0.0,262656.0,0.0,feedforward,1.0,bsh,"(1, 2, 512)",1.0,1.0,0.0,0.0,0.0,,relu
6.493553519248962e-05,1293680640.0,1293680640.0,2097152.0,2097152.0,0.0,1049600.0,0.0,feedforward,1.0,bsh,"(1, 2, 1024)",1.0,1.0,0.0,0.0,0.0,,relu
6.191134452819824e-05,1293680640.0,1293680640.0,8388608.0,8388608.0,0.0,4196352.0,0.0,feedforward,1.0,bsh,"(1, 2, 2048)",1.0,1.0,0.0,0.0,0.0,,relu
6.164349615573883e-05,1331429376.0,1331429376.0,18874368.0,18874368.0,0.0,9440256.0,0.0,feedforward,1.0,bsh,"(1, 2, 3072)",1.0,1.0,0.0,0.0,0.0,,relu
6.240792572498322e-05,1398538240.0,1398538240.0,33554432.0,33554432.0,0.0,16781312.0,0.0,feedforward,1.0,bsh,"(1, 2, 4096)",1.0,1.0,0.0,0.0,0.0,,relu
3.722459077835083e-05,1398538240.0,1398538240.0,4.0,4.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 4, 1)",1.0,1.0,0.0,0.0,0.0,,relu
3.660395741462707e-05,1398538240.0,1398538240.0,16.0,16.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 4, 2)",1.0,1.0,0.0,0.0,0.0,,relu
3.642067313194275e-05,1272709120.0,1272709120.0,64.0,64.0,0.0,20.0,0.0,feedforward,1.0,bsh,"(1, 4, 4)",1.0,1.0,0.0,0.0,0.0,,relu
