accelerator,avg_memory,batch_size,device,img_size,latency,max_memory,model,num_threads,requires_grad,use_torchscript
0.0,486.19661458333326,1.0,laptop_cpu,448.0,0.06230035230000795,496.05078125,shufflenet,1.0,0.0,1.0
0.0,551.109375,1.0,laptop_cpu,512.0,0.08884370835003211,551.109375,shufflenet,1.0,0.0,1.0
0.0,384.71484375,1.0,laptop_cpu,224.0,0.023842169299950908,384.71484375,mobilenet_v2,1.0,0.0,1.0
0.0,461.9116586538461,1.0,laptop_cpu,384.0,0.07803123234998566,481.59375,mobilenet_v2,1.0,0.0,1.0
0.0,555.11328125,1.0,laptop_cpu,448.0,0.08755962184995951,555.11328125,mobilenet_v2,1.0,0.0,1.0
0.0,653.175,1.0,laptop_cpu,512.0,0.12601645385002486,667.78125,mobilenet_v2,1.0,0.0,1.0
0.0,544.91171875,1.0,laptop_cpu,224.0,0.19504735159998746,549.890625,resnext50_32x4d,1.0,0.0,1.0
0.0,816.94140625,1.0,laptop_cpu,384.0,0.6081876949999241,816.94140625,resnext50_32x4d,1.0,0.0,1.0
0.0,980.1171875,1.0,laptop_cpu,448.0,0.7960005910000291,980.1171875,resnext50_32x4d,1.0,0.0,1.0
0.0,1209.515625,1.0,laptop_cpu,512.0,1.0140341257999352,1209.515625,resnext50_32x4d,1.0,0.0,1.0
0.0,764.16796875,1.0,laptop_cpu,224.0,0.501253386299959,768.92578125,wide_resnet50_2,1.0,0.0,1.0
0.0,1010.2977430555555,1.0,laptop_cpu,384.0,1.1937807092000186,1033.375,wide_resnet50_2,1.0,0.0,1.0
0.0,1305.491122159091,1.0,laptop_cpu,448.0,1.7053145104499892,1341.71484375,wide_resnet50_2,1.0,0.0,1.0
0.0,1653.224609375,1.0,laptop_cpu,512.0,2.110232512599941,1686.30859375,wide_resnet50_2,1.0,0.0,1.0
0.0,375.48046875,1.0,laptop_cpu,224.0,0.02216214290001517,375.48046875,mnasnet,1.0,0.0,1.0
0.0,452.317578125,1.0,laptop_cpu,384.0,0.07174892205002834,453.9609375,mnasnet,1.0,0.0,1.0
0.0,501.4375,1.0,laptop_cpu,448.0,0.0953631848000441,501.4375,mnasnet,1.0,0.0,1.0
0.0,606.721875,1.0,laptop_cpu,512.0,0.10529918860002,613.921875,mnasnet,1.0,0.0,1.0
