accelerator,avg_memory,batch_size,device,img_size,latency,max_memory,model,num_threads,requires_grad,use_torchscript
1.0,2689.66015625,1.0,jetson_gpu,512.0,0.10499275554975612,2689.66015625,mobilenet_v2,1.0,0.0,1.0
1.0,2647.1859375,1.0,jetson_gpu,224.0,0.157980240300094,2650.25390625,resnext50_32x4d,1.0,0.0,1.0
1.0,2649.47109375,1.0,jetson_gpu,384.0,0.3712905346503249,2653.05859375,resnext50_32x4d,1.0,0.0,1.0
1.0,2655.6296875,1.0,jetson_gpu,448.0,0.5092815085998155,2666.2734375,resnext50_32x4d,1.0,0.0,1.0
1.0,2657.1921875,1.0,jetson_gpu,512.0,0.6426850590498361,2661.23046875,resnext50_32x4d,1.0,0.0,1.0
1.0,2316.5640625,1.0,jetson_gpu,224.0,0.19943875364988345,2316.59375,wide_resnet50_2,1.0,0.0,1.0
1.0,2330.15703125,1.0,jetson_gpu,384.0,0.5721365071003675,2333.78515625,wide_resnet50_2,1.0,0.0,1.0
1.0,2332.29296875,1.0,jetson_gpu,448.0,0.7185514857999806,2348.39453125,wide_resnet50_2,1.0,0.0,1.0
1.0,2342.9515625,1.0,jetson_gpu,512.0,0.8561630709002201,2343.2421875,wide_resnet50_2,1.0,0.0,1.0
1.0,2664.1484375,1.0,jetson_gpu,224.0,0.028757931949803604,2664.1484375,mnasnet,1.0,0.0,1.0
1.0,2687.8953125,1.0,jetson_gpu,384.0,0.06243988380010705,2687.8984375,mnasnet,1.0,0.0,1.0
1.0,2709.671875,1.0,jetson_gpu,448.0,0.08459252059983555,2709.671875,mnasnet,1.0,0.0,1.0
1.0,2731.4765625,1.0,jetson_gpu,512.0,0.10731793945014942,2731.4765625,mnasnet,1.0,0.0,1.0
