<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
96.0,9519792128.0,96.0,1451967037440.0,1.0,0.0,2.0,1048576000.0,1.0,27262976.0,2.0,0.0,6582960128.0,512.0,224.0,0.1362421466037631,1462562668544.0,6582960128.0,inception,198.0,27161264.0,0.0,,,,,,,,
59.0,12904640.0,59.0,1497352192.0,3.0,0.0,5.0,1024000.0,1.0,51200.0,13.0,0.0,1149239296.0,1.0,224.0,0.00912630595266819,1511332032.0,1149239296.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,25809280.0,59.0,2994704384.0,3.0,0.0,5.0,2048000.0,1.0,102400.0,13.0,0.0,1184890880.0,2.0,224.0,0.007705321721732618,3022664064.0,1184890880.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,51618560.0,59.0,5989408768.0,3.0,0.0,5.0,4096000.0,1.0,204800.0,13.0,0.0,1216348160.0,4.0,224.0,0.008418413810431956,6045328128.0,1216348160.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,103237120.0,59.0,11978817536.0,3.0,0.0,5.0,8192000.0,1.0,409600.0,13.0,0.0,1275068416.0,8.0,224.0,0.008885722234845161,12090656256.0,1275068416.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,206474240.0,59.0,23957635072.0,3.0,0.0,5.0,16384000.0,1.0,819200.0,13.0,0.0,1329594368.0,16.0,224.0,0.008032085746526718,24181312512.0,1329594368.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,412948480.0,59.0,47915270144.0,3.0,0.0,5.0,32768000.0,1.0,1638400.0,13.0,0.0,1436549120.0,32.0,224.0,0.008668636344373227,48362625024.0,1436549120.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,825896960.0,59.0,95830540288.0,3.0,0.0,5.0,65536000.0,1.0,3276800.0,13.0,0.0,1746927616.0,64.0,224.0,0.013350826129317284,96725250048.0,1746927616.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,1238845440.0,59.0,143745810432.0,3.0,0.0,5.0,98304000.0,1.0,4915200.0,13.0,0.0,2071986176.0,96.0,224.0,0.01989087797701359,145087875072.0,2071986176.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,1651793920.0,59.0,191661080576.0,3.0,0.0,5.0,131072000.0,1.0,6553600.0,13.0,0.0,2696937472.0,128.0,224.0,0.02434138190001249,193450500096.0,2696937472.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,2477690880.0,59.0,287491620864.0,3.0,0.0,5.0,196608000.0,1.0,9830400.0,13.0,0.0,3623878656.0,192.0,224.0,0.03357606716454028,290175750144.0,3623878656.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,3303587840.0,59.0,383322161152.0,3.0,0.0,5.0,262144000.0,1.0,13107200.0,13.0,0.0,4861198336.0,256.0,224.0,0.04361973386257887,386901000192.0,4861198336.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,4955381760.0,59.0,574983241728.0,3.0,0.0,5.0,393216000.0,1.0,19660800.0,13.0,0.0,6712983552.0,384.0,224.0,0.06545834541320801,580351500288.0,6712983552.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
59.0,6607175680.0,59.0,766644322304.0,3.0,0.0,5.0,524288000.0,1.0,26214400.0,13.0,0.0,9181331456.0,512.0,224.0,0.08451699577271939,773802000384.0,9181331456.0,googlenet,140.0,13004888.0,0.0,,,,,,,,
56.0,7800800.0,56.0,143883992.0,,,1.0,1024000.0,,,1.0,0.0,1121976320.0,1.0,224.0,0.006313527747988701,152708792.0,1121976320.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,15601600.0,56.0,287767984.0,,,1.0,2048000.0,,,1.0,0.0,1124073472.0,2.0,224.0,0.00885766241699457,305417584.0,1124073472.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,31203200.0,56.0,575535968.0,,,1.0,4096000.0,,,1.0,0.0,1128267776.0,4.0,224.0,0.006732227094471454,610835168.0,1128267776.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,62406400.0,56.0,1151071936.0,,,1.0,8192000.0,,,1.0,0.0,1153433600.0,8.0,224.0,0.007243455946445466,1221670336.0,1153433600.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
