latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,in_channel,out_channel,kernel_size,stride,img_size
6.67233020067215e-05,1295777792.0,1295777792.0,331776.0,331776.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,14.0
3.912411630153656e-05,1274806272.0,1274806272.0,1557504.0,1557504.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,28.0
3.949776291847229e-05,1274806272.0,1274806272.0,6718464.0,6718464.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,56.0
3.950484097003937e-05,1295777792.0,1295777792.0,27878400.0,27878400.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,112.0
6.129443645477294e-05,1295777792.0,1295777792.0,113550336.0,113550336.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 224, 224])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,2.0,224.0
3.809407353401184e-05,1274806272.0,1274806272.0,9216.0,9216.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 7, 7])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,7.0
0.00011237673461437226,1274806272.0,1274806272.0,82944.0,82944.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 14, 14])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,14.0
3.936588764190674e-05,1274806272.0,1274806272.0,331776.0,331776.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 28, 28])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,28.0
3.913119435310364e-05,1274806272.0,1274806272.0,1115136.0,1115136.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 56, 56])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,56.0
3.946088254451752e-05,1295777792.0,1295777792.0,4460544.0,4460544.0,9248.0,0.0,conv2d,1.0,bchw,"torch.Size([1, 32, 112, 112])",1.0,1.0,0.0,0.0,0.0,,relu,32.0,32.0,3.0,5.0,112.0
