latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,input_size,in_channel,out_channel,kernel_size,stride,img_size
4.372633993625641e-05,1274806272.0,1274806272.0,401408.0,401408.0,2112.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,64.0,1.0,1.0,14.0
4.0347874164581296e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,2112.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,64.0,1.0,1.0,28.0
4.2924657464027405e-05,1274806272.0,1274806272.0,6422528.0,6422528.0,2112.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,64.0,1.0,1.0,56.0
6.143376231193542e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,2112.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,64.0,1.0,1.0,112.0
5.9999898076057435e-05,1295777792.0,1295777792.0,102760448.0,102760448.0,2112.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,64.0,1.0,1.0,224.0
4.035234451293945e-05,1274806272.0,1274806272.0,32768.0,32768.0,2112.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,64.0,1.0,2.0,7.0
4.3750181794166566e-05,1274806272.0,1274806272.0,100352.0,100352.0,2112.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,64.0,1.0,2.0,14.0
4.105940461158752e-05,1274806272.0,1274806272.0,401408.0,401408.0,2112.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,64.0,1.0,2.0,28.0
4.938878118991852e-05,1274806272.0,1274806272.0,1605632.0,1605632.0,2112.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,64.0,1.0,2.0,56.0
0.0001004151999950409,1295777792.0,1295777792.0,6422528.0,6422528.0,2112.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,64.0,1.0,2.0,112.0
5.990490317344666e-05,1295777792.0,1295777792.0,25690112.0,25690112.0,2112.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,64.0,1.0,2.0,224.0
4.086233675479889e-05,1274806272.0,1274806272.0,8192.0,8192.0,2112.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,64.0,1.0,5.0,7.0
4.3711438775062564e-05,1274806272.0,1274806272.0,18432.0,18432.0,2112.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,64.0,1.0,5.0,14.0
4.269666969776153e-05,1274806272.0,1274806272.0,73728.0,73728.0,2112.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,64.0,1.0,5.0,28.0
4.049763083457947e-05,1274806272.0,1274806272.0,294912.0,294912.0,2112.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,64.0,1.0,5.0,56.0
6.130263209342956e-05,1295777792.0,1295777792.0,1083392.0,1083392.0,2112.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,64.0,1.0,5.0,112.0
5.9145689010620114e-05,1295777792.0,1295777792.0,4147200.0,4147200.0,2112.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,64.0,1.0,5.0,224.0
4.0633976459503175e-05,1274806272.0,1274806272.0,460800.0,460800.0,18496.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,64.0,3.0,1.0,7.0
