device,model,accelerator,requires_grad,use_torchscript,num_threads,batch_size,img_size,avg_memory,max_memory,latency
herron_gpu,shufflenet,1.0,0.0,1.0,1.0,1.0,448.0,2506883072.0,2506883072.0,0.0037368885474279
herron_gpu,shufflenet,1.0,0.0,1.0,1.0,1.0,512.0,2506883072.0,2506883072.0,0.0038342832995112
herron_gpu,mobilenet_v2,1.0,0.0,1.0,1.0,1.0,224.0,2490105856.0,2490105856.0,0.002864374697674
herron_gpu,mobilenet_v2,1.0,0.0,1.0,1.0,1.0,384.0,2540437504.0,2540437504.0,0.003098174452316
herron_gpu,mobilenet_v2,1.0,0.0,1.0,1.0,1.0,448.0,2584477696.0,2584477696.0,0.003018828202039
herron_gpu,mobilenet_v2,1.0,0.0,1.0,1.0,1.0,512.0,2634809344.0,2634809344.0,0.003726553049637
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,1.0,1.0,224.0,2597060608.0,2597060608.0,0.0033467252505943
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,1.0,1.0,384.0,2657878016.0,2657878016.0,0.0096750587515998
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,1.0,1.0,448.0,2657878016.0,2657878016.0,0.0085295120021328
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,1.0,1.0,512.0,2657878016.0,2657878016.0,0.0126907905447296
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,1.0,1.0,224.0,2985033728.0,2985033728.0,0.0066293868003413
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,1.0,1.0,384.0,2985033728.0,2985033728.0,0.0088851976499427
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,1.0,1.0,448.0,2985033728.0,2985033728.0,0.011132354097208
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,1.0,1.0,512.0,2985033728.0,2985033728.0,0.0120693287521135
herron_gpu,mnasnet,1.0,0.0,1.0,1.0,1.0,224.0,2494300160.0,2494300160.0,0.002993510046508163
herron_gpu,mnasnet,1.0,0.0,1.0,1.0,1.0,384.0,2515271680.0,2515271680.0,0.0029384150460828097
herron_gpu,mnasnet,1.0,0.0,1.0,1.0,1.0,448.0,2536243200.0,2536243200.0,0.0028925513033755124
herron_gpu,mnasnet,1.0,0.0,1.0,1.0,1.0,512.0,2536243200.0,2536243200.0,0.002760500501608476
