<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs
64.0,17889951744.0,64.0,256608092160.0,1.0,32768000.0,4005560320.0,512.0,224.0,0.033821352599989044,274530811904.0,4005560320.0,efficientnet_lite,172.0,5416680.0,0.0,43.0,0.0,,,,,,,,
,,45.0,3001948544.0,1.0,128000.0,1975517184.0,1.0,224.0,0.0013124103999871295,3002076544.0,1975517184.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,6003897088.0,1.0,256000.0,2030043136.0,2.0,224.0,0.0012185735999082682,6004153088.0,2030043136.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,12007794176.0,1.0,512000.0,2063597568.0,4.0,224.0,0.0010965607001708123,12008306176.0,2063597568.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,24015588352.0,1.0,1024000.0,2126512128.0,8.0,224.0,0.001182125599734718,24016612352.0,2126512128.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,48031176704.0,1.0,2048000.0,2197815296.0,16.0,224.0,0.00142034929995134,48033224704.0,2197815296.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,96062353408.0,1.0,4096000.0,2287992832.0,32.0,224.0,0.002514630000223406,96066449408.0,2287992832.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,192124706816.0,1.0,8192000.0,2420113408.0,64.0,224.0,0.004572850499971537,192132898816.0,2420113408.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,288187060224.0,1.0,12288000.0,2560622592.0,96.0,224.0,0.006656468100118218,288199348224.0,2560622592.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,384249413632.0,1.0,16384000.0,2707423232.0,128.0,224.0,0.008635342200068407,384265797632.0,2707423232.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,576374120448.0,1.0,24576000.0,2933915648.0,192.0,224.0,0.01293072740008938,576398696448.0,2933915648.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,768498827264.0,1.0,32768000.0,3179282432.0,256.0,224.0,0.016945612899871777,768531595264.0,3179282432.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,1152748240896.0,1.0,49152000.0,3544186880.0,384.0,224.0,0.02487235000007786,1152797392896.0,3544186880.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
,,45.0,1536997654528.0,1.0,65536000.0,4026531840.0,512.0,224.0,0.03291327290025947,1537063190528.0,4026531840.0,gernet,87.0,21142920.0,0.0,,,41.0,0.0,,,,,,
20.0,9934848.0,20.0,1813561344.0,1.0,25600.0,1914699776.0,1.0,224.0,0.0009249040002032416,1824033792.0,1914699776.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,512000.0,1.0,0.0,,
20.0,19869696.0,20.0,3627122688.0,1.0,51200.0,1939865600.0,2.0,224.0,0.0009233770000719232,3648067584.0,1939865600.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,1024000.0,1.0,0.0,,
20.0,39739392.0,20.0,7254245376.0,1.0,102400.0,1960837120.0,4.0,224.0,0.0008903420002752681,7296135168.0,1960837120.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,2048000.0,1.0,0.0,,
20.0,79478784.0,20.0,14508490752.0,1.0,204800.0,2002780160.0,8.0,224.0,0.0008726010000827955,14592270336.0,2002780160.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,4096000.0,1.0,0.0,,
20.0,158957568.0,20.0,29016981504.0,1.0,409600.0,2046820352.0,16.0,224.0,0.0010593158000119726,29184540672.0,2046820352.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,8192000.0,1.0,0.0,,
20.0,317915136.0,20.0,58033963008.0,1.0,819200.0,2107637760.0,32.0,224.0,0.0018081079000694445,58369081344.0,2107637760.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,16384000.0,1.0,0.0,,
20.0,635830272.0,20.0,116067926016.0,1.0,1638400.0,2231369728.0,64.0,224.0,0.002836540800126386,116738162688.0,2231369728.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,32768000.0,1.0,0.0,,
20.0,953745408.0,20.0,174101889024.0,1.0,2457600.0,2342518784.0,96.0,224.0,0.004218722299992804,175107244032.0,2342518784.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,49152000.0,1.0,0.0,,
20.0,1271660544.0,20.0,232135852032.0,1.0,3276800.0,2464153600.0,128.0,224.0,0.005161632200179157,233476325376.0,2464153600.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,65536000.0,1.0,0.0,,
20.0,1907490816.0,20.0,348203778048.0,1.0,4915200.0,2678063104.0,192.0,224.0,0.007997939899723859,350214488064.0,2678063104.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,98304000.0,1.0,0.0,,
20.0,2543321088.0,20.0,464271704064.0,1.0,6553600.0,2856321024.0,256.0,224.0,0.009929252800066023,466952650752.0,2856321024.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,131072000.0,1.0,0.0,,
20.0,3814981632.0,20.0,696407556096.0,1.0,9830400.0,3206545408.0,384.0,224.0,0.015033067100011975,700428976128.0,3206545408.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,196608000.0,1.0,0.0,,
20.0,5086642176.0,20.0,928543408128.0,1.0,13107200.0,3674210304.0,512.0,224.0,0.01986913000000641,933905301504.0,3674210304.0,resnet18,52.0,11689512.0,0.0,,,9.0,0.0,1.0,262144000.0,1.0,0.0,,
,,5.0,655566528.0,1.0,18432.0,2254438400.0,1.0,224.0,0.0011929393000173149,714206912.0,2254438400.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,58621952.0,3.0,0.0,2.0,0.0
,,5.0,1311133056.0,1.0,36864.0,2485125120.0,2.0,224.0,0.0010945775000436695,1428413824.0,2485125120.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,117243904.0,3.0,0.0,2.0,0.0
,,5.0,2622266112.0,1.0,73728.0,2489319424.0,4.0,224.0,0.0011069034000684042,2856827648.0,2489319424.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,234487808.0,3.0,0.0,2.0,0.0
,,5.0,5244532224.0,1.0,147456.0,2720006144.0,8.0,224.0,0.0011524024001118962,5713655296.0,2720006144.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,468975616.0,3.0,0.0,2.0,0.0
,,5.0,10489064448.0,1.0,294912.0,2877292544.0,16.0,224.0,0.0011413463998906082,11427310592.0,2877292544.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,937951232.0,3.0,0.0,2.0,0.0
,,5.0,20978128896.0,1.0,589824.0,3156213760.0,32.0,224.0,0.0012242683002114062,22854621184.0,3156213760.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,1875902464.0,3.0,0.0,2.0,0.0
,,5.0,41956257792.0,1.0,1179648.0,3407872000.0,64.0,224.0,0.0014881979001074796,45709242368.0,3407872000.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,3751804928.0,3.0,0.0,2.0,0.0
,,5.0,62934386688.0,1.0,1769472.0,3433037824.0,96.0,224.0,0.0020750300001964204,68563863552.0,3433037824.0,alexnet,21.0,61100840.0,0.0,,,7.0,0.0,3.0,5627707392.0,3.0,0.0,2.0,0.0
