latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_macs,total_params,trainable_params,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.dropout.Dropout'>_macs
0.001962050050497,1352400896.0,1352400896.0,1824033792.0,1813561344.0,9934848.0,0.0,0.0,25600.0,512000.0,11689512.0,0.0,resnet18,1.0,224.0,1.0,0.0,0.0,0.0,,relu,
0.0020553648471832,1400635392.0,1400635392.0,5359432192.0,5329649664.0,29196288.0,0.0,0.0,74240.0,512000.0,11689512.0,0.0,resnet18,1.0,384.0,1.0,0.0,0.0,0.0,,relu,
0.0020111504942178,1400635392.0,1400635392.0,9527480832.0,9474932736.0,51904512.0,0.0,0.0,131584.0,512000.0,11689512.0,0.0,resnet18,1.0,512.0,1.0,0.0,0.0,0.0,,relu,
0.0020849850028753,1400635392.0,1400635392.0,3648067584.0,3627122688.0,19869696.0,0.0,0.0,51200.0,1024000.0,11689512.0,0.0,resnet18,2.0,224.0,1.0,0.0,0.0,0.0,,relu,
0.002091734483838,1419509760.0,1419509760.0,10718864384.0,10659299328.0,58392576.0,0.0,0.0,148480.0,1024000.0,11689512.0,0.0,resnet18,2.0,384.0,1.0,0.0,0.0,0.0,,relu,
0.0020023692399263,1486618624.0,1486618624.0,19054961664.0,18949865472.0,103809024.0,0.0,0.0,263168.0,1024000.0,11689512.0,0.0,resnet18,2.0,512.0,1.0,0.0,0.0,0.0,,relu,
0.0020703006535768,1486618624.0,1486618624.0,7296135168.0,7254245376.0,39739392.0,0.0,0.0,102400.0,2048000.0,11689512.0,0.0,resnet18,4.0,224.0,1.0,0.0,0.0,0.0,,relu,
0.0020140539854764,1562116096.0,1562116096.0,21437728768.0,21318598656.0,116785152.0,0.0,0.0,296960.0,2048000.0,11689512.0,0.0,resnet18,4.0,384.0,1.0,0.0,0.0,0.0,,relu,
0.0020076896995306,1696333824.0,1696333824.0,38109923328.0,37899730944.0,207618048.0,0.0,0.0,526336.0,2048000.0,11689512.0,0.0,resnet18,4.0,512.0,1.0,0.0,0.0,0.0,,relu,
0.0021416202187538,1696333824.0,1696333824.0,14592270336.0,14508490752.0,79478784.0,0.0,0.0,204800.0,4096000.0,11689512.0,0.0,resnet18,8.0,224.0,1.0,0.0,0.0,0.0,,relu,
0.0021702896803617,1847328768.0,1847328768.0,42875457536.0,42637197312.0,233570304.0,0.0,0.0,593920.0,4096000.0,11689512.0,0.0,resnet18,8.0,384.0,1.0,0.0,0.0,0.0,,relu,
0.0021685764193534,2115764224.0,2115764224.0,76219846656.0,75799461888.0,415236096.0,0.0,0.0,1052672.0,4096000.0,11689512.0,0.0,resnet18,8.0,512.0,1.0,0.0,0.0,0.0,,relu,
