device,model,accelerator,requires_grad,use_torchscript,num_threads,batch_size,img_size,avg_memory,max_memory,latency,macs,total_params,trainable_params
rpi4_cpu,vgg16,0.0,0.0,0.0,1.0,1.0,512.0,1058.6638712849651,1765.61328125,28.31162169570016,80372853248.0,138357544.0,0.0
rpi4_cpu,densenet,0.0,0.0,0.0,1.0,1.0,224.0,406.2904947916667,408.734375,2.899753387500823,7787012832.0,28681000.0,0.0
rpi4_cpu,densenet,0.0,0.0,0.0,1.0,1.0,384.0,435.28837025316454,491.38671875,7.893360116399708,22880001792.0,28681000.0,0.0
rpi4_cpu,densenet,0.0,0.0,0.0,1.0,1.0,448.0,503.28226412259613,612.33984375,10.676446845999454,31141427328.0,28681000.0,0.0
rpi4_cpu,densenet,0.0,0.0,0.0,1.0,1.0,512.0,481.20037930253625,583.40234375,13.442065212099989,40673841408.0,28681000.0,0.0
rpi4_cpu,inception,0.0,0.0,0.0,1.0,1.0,224.0,366.8370863970589,369.875,1.876288543800183,2847271040.0,27161264.0,0.0
rpi4_cpu,inception,0.0,0.0,0.0,1.0,1.0,384.0,390.7501220703125,416.4609375,5.108211195799231,9475898240.0,27161264.0,0.0
rpi4_cpu,inception,0.0,0.0,0.0,1.0,1.0,448.0,414.2166015625,463.83984375,6.326378978700086,13215394176.0,27161264.0,0.0
rpi4_cpu,inception,0.0,0.0,0.0,1.0,1.0,512.0,419.2173713235294,496.14453125,7.767344325999147,17576630144.0,27161264.0,0.0
rpi4_cpu,googlenet,0.0,0.0,0.0,1.0,1.0,224.0,278.23106971153845,283.07421875,0.7353160963000847,1504879712.0,6624904.0,0.0
rpi4_cpu,googlenet,0.0,0.0,0.0,1.0,1.0,384.0,325.2443953804348,331.1875,1.8200950087993988,4420516352.0,6624904.0,0.0
rpi4_cpu,googlenet,0.0,0.0,0.0,1.0,1.0,448.0,341.9766971982759,368.8203125,2.338877956299984,6016443776.0,6624904.0,0.0
rpi4_cpu,googlenet,0.0,0.0,0.0,1.0,1.0,512.0,349.89366319444446,386.921875,3.017353910599195,7857898496.0,6624904.0,0.0
rpi4_cpu,shufflenet,0.0,0.0,0.0,1.0,1.0,224.0,239.1071428571429,243.41796875,0.1100411006991635,148808392.0,2278604.0,0.0
rpi4_cpu,shufflenet,0.0,0.0,0.0,1.0,1.0,384.0,251.68229166666663,253.4375,0.2690503920995979,435329152.0,2278604.0,0.0
rpi4_cpu,shufflenet,0.0,0.0,0.0,1.0,1.0,448.0,257.79799107142856,258.6796875,0.3429542654994293,592161568.0,2278604.0,0.0
rpi4_cpu,shufflenet,0.0,0.0,0.0,1.0,1.0,512.0,265.828125,268.19921875,0.4710256245991331,773122048.0,2278604.0,0.0
rpi4_cpu,mobilenet_v2,0.0,0.0,0.0,1.0,1.0,224.0,252.8844866071429,260.578125,0.2533389015996363,314130496.0,3504872.0,0.0
rpi4_cpu,mobilenet_v2,0.0,0.0,0.0,1.0,1.0,384.0,283.6910807291667,306.8125,0.6867696287008584,920677376.0,3504872.0,0.0
rpi4_cpu,mobilenet_v2,0.0,0.0,0.0,1.0,1.0,448.0,329.44140625,355.39453125,0.895195948300534,1252681984.0,3504872.0,0.0
rpi4_cpu,mobilenet_v2,0.0,0.0,0.0,1.0,1.0,512.0,410.4029296875,431.32421875,1.212719687499339,1635764224.0,3504872.0,0.0
rpi4_cpu,resnext50_32x4d,0.0,0.0,0.0,1.0,1.0,224.0,348.2166341145833,352.6953125,1.2623617887002183,4259383296.0,25028904.0,0.0
