<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.activation.ReLU6'>_calls,<class 'torch.nn.modules.activation.ReLU6'>_macs,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
64.0,64152023040.0,,,,,,,4643094528.0,128.0,224.0,7.20098614692688e-07,68632702976.0,4643094528.0,efficientnet_lite,172.0,5416680.0,0.0,64.0,4472487936.0,1.0,8192000.0,43.0,0.0,,,,,,
45.0,3001948544.0,,,,,,,1803550720.0,1.0,224.0,7.24010169506073e-07,3002076544.0,1803550720.0,gernet,87.0,21142920.0,0.0,,,1.0,128000.0,,,41.0,0.0,,,,
45.0,6003897088.0,,,,,,,1900019712.0,2.0,224.0,8.840113878250122e-07,6004153088.0,1900019712.0,gernet,87.0,21142920.0,0.0,,,1.0,256000.0,,,41.0,0.0,,,,
45.0,12007794176.0,,,,,,,1996488704.0,4.0,224.0,7.899478077888489e-07,12008306176.0,1996488704.0,gernet,87.0,21142920.0,0.0,,,1.0,512000.0,,,41.0,0.0,,,,
45.0,24015588352.0,,,,,,,2051014656.0,8.0,224.0,7.219612598419191e-07,24016612352.0,2051014656.0,gernet,87.0,21142920.0,0.0,,,1.0,1024000.0,,,41.0,0.0,,,,
45.0,48031176704.0,,,,,,,2225078272.0,16.0,224.0,7.310882210731506e-07,48033224704.0,2225078272.0,gernet,87.0,21142920.0,0.0,,,1.0,2048000.0,,,41.0,0.0,,,,
45.0,96062353408.0,,,,,,,2560622592.0,32.0,224.0,7.051974534988405e-07,96066449408.0,2560622592.0,gernet,87.0,21142920.0,0.0,,,1.0,4096000.0,,,41.0,0.0,,,,
45.0,192124706816.0,,,,,,,3347054592.0,64.0,224.0,7.068738341331481e-07,192132898816.0,3347054592.0,gernet,87.0,21142920.0,0.0,,,1.0,8192000.0,,,41.0,0.0,,,,
45.0,384249413632.0,,,,,,,4355784704.0,128.0,224.0,7.331371307373047e-07,384265797632.0,4355784704.0,gernet,87.0,21142920.0,0.0,,,1.0,16384000.0,,,41.0,0.0,,,,
20.0,1813561344.0,,,1.0,512000.0,,,1761607680.0,1.0,224.0,7.160007953643798e-07,1824033792.0,1761607680.0,resnet18,52.0,11689512.0,0.0,20.0,9934848.0,1.0,25600.0,,,9.0,0.0,1.0,0.0,,
20.0,3627122688.0,,,1.0,1024000.0,,,1803550720.0,2.0,224.0,8.512288331985474e-07,3648067584.0,1803550720.0,resnet18,52.0,11689512.0,0.0,20.0,19869696.0,1.0,51200.0,,,9.0,0.0,1.0,0.0,,
20.0,7254245376.0,,,1.0,2048000.0,,,1874853888.0,4.0,224.0,6.988644599914551e-07,7296135168.0,1874853888.0,resnet18,52.0,11689512.0,0.0,20.0,39739392.0,1.0,102400.0,,,9.0,0.0,1.0,0.0,,
20.0,14508490752.0,,,1.0,4096000.0,,,1954545664.0,8.0,224.0,7.269904017448427e-07,14592270336.0,1954545664.0,resnet18,52.0,11689512.0,0.0,20.0,79478784.0,1.0,204800.0,,,9.0,0.0,1.0,0.0,,
20.0,29016981504.0,,,1.0,8192000.0,,,2059403264.0,16.0,224.0,7.189810276031494e-07,29184540672.0,2059403264.0,resnet18,52.0,11689512.0,0.0,20.0,158957568.0,1.0,409600.0,,,9.0,0.0,1.0,0.0,,
20.0,58033963008.0,,,1.0,16384000.0,,,2264924160.0,32.0,224.0,7.480382919311524e-07,58369081344.0,2264924160.0,resnet18,52.0,11689512.0,0.0,20.0,317915136.0,1.0,819200.0,,,9.0,0.0,1.0,0.0,,
20.0,116067926016.0,,,1.0,32768000.0,,,2680160256.0,64.0,224.0,7.448717951774597e-07,116738162688.0,2680160256.0,resnet18,52.0,11689512.0,0.0,20.0,635830272.0,1.0,1638400.0,,,9.0,0.0,1.0,0.0,,
20.0,232135852032.0,,,1.0,65536000.0,,,3506438144.0,128.0,224.0,7.370486855506897e-07,233476325376.0,3506438144.0,resnet18,52.0,11689512.0,0.0,20.0,1271660544.0,1.0,3276800.0,,,9.0,0.0,1.0,0.0,,
5.0,655566528.0,2.0,0.0,3.0,58621952.0,,,1935671296.0,1.0,224.0,6.990507245063782e-07,714206912.0,1935671296.0,alexnet,21.0,61100840.0,0.0,,,1.0,18432.0,,,7.0,0.0,3.0,0.0,,
5.0,1311133056.0,2.0,0.0,3.0,117243904.0,,,2170552320.0,2.0,224.0,7.260590791702271e-07,1428413824.0,2170552320.0,alexnet,21.0,61100840.0,0.0,,,1.0,36864.0,,,7.0,0.0,3.0,0.0,,
5.0,2622266112.0,2.0,0.0,3.0,234487808.0,,,2191523840.0,4.0,224.0,7.180497050285339e-07,2856827648.0,2191523840.0,alexnet,21.0,61100840.0,0.0,,,1.0,73728.0,,,7.0,0.0,3.0,0.0,,
5.0,5244532224.0,2.0,0.0,3.0,468975616.0,,,2462056448.0,8.0,224.0,7.320195436477661e-07,5713655296.0,2462056448.0,alexnet,21.0,61100840.0,0.0,,,1.0,147456.0,,,7.0,0.0,3.0,0.0,,
5.0,10489064448.0,2.0,0.0,3.0,937951232.0,,,2747269120.0,16.0,224.0,7.459893822669983e-07,11427310592.0,2747269120.0,alexnet,21.0,61100840.0,0.0,,,1.0,294912.0,,,7.0,0.0,3.0,0.0,,
5.0,20978128896.0,2.0,0.0,3.0,1875902464.0,,,3107979264.0,32.0,224.0,7.372349500656128e-07,22854621184.0,3107979264.0,alexnet,21.0,61100840.0,0.0,,,1.0,589824.0,,,7.0,0.0,3.0,0.0,,
5.0,41956257792.0,2.0,0.0,3.0,3751804928.0,,,3451912192.0,64.0,224.0,7.27921724319458e-07,45709242368.0,3451912192.0,alexnet,21.0,61100840.0,0.0,,,1.0,1179648.0,,,7.0,0.0,3.0,0.0,,
5.0,83912515584.0,2.0,0.0,3.0,7503609856.0,,,3653238784.0,128.0,224.0,7.040798664093019e-07,91418484736.0,3653238784.0,alexnet,21.0,61100840.0,0.0,,,1.0,2359296.0,,,7.0,0.0,3.0,0.0,,
