5_pct,95_pct,accelerator,batch_size,device,max,mean,median,min,model,std
0.016080617904663086,0.017606019973754883,1.0,1.0,jetson_gpu,0.018362045288085938,0.0166239337165757,0.016509294509887695,0.01543569564819336,resnet18,0.0004814440040495705
0.00612330436706543,0.008436441421508789,1.0,1.0,jetson_gpu,0.010419368743896484,0.007070420992256391,0.006995439529418945,0.005408048629760742,alexnet,0.0007025668305795955
0.015543937683105469,0.016412973403930664,1.0,1.0,jetson_gpu,0.017650604248046875,0.01587341799594388,0.015775442123413086,0.015235424041748047,squeezenet,0.00037408142309899314
0.011916160583496094,0.013271570205688477,1.0,1.0,jetson_gpu,0.016227006912231445,0.012692574227210318,0.012678861618041992,0.011546611785888672,vgg16,0.0005325129779492636
0.12362098693847655,0.13653349876403809,1.0,1.0,jetson_gpu,0.15644407272338867,0.13112175818717126,0.13450336456298828,0.12310194969177245,densenet,0.006199047507225408
0.07004666328430176,0.07431316375732422,1.0,1.0,jetson_gpu,0.07508373260498047,0.0733280866452963,0.07369637489318848,0.0696561336517334,inception,0.001241479452591318
0.043379783630371094,0.04656195640563965,1.0,1.0,jetson_gpu,0.049073219299316406,0.04478748245994643,0.04483175277709961,0.0424957275390625,googlenet,0.0013228975750533749
0.039496183395385735,0.045825958251953125,1.0,1.0,jetson_gpu,0.04685711860656738,0.04091055794517592,0.04013371467590332,0.03929400444030762,shufflenet,0.0016990459380123238
0.03169560432434082,0.0362086296081543,1.0,1.0,jetson_gpu,0.04264187812805177,0.032867778645883694,0.03216075897216797,0.03155183792114258,mobilenet_v2,0.0017122024130825743
0.03955411911010742,0.043120145797729485,1.0,1.0,jetson_gpu,0.04440569877624512,0.04114650735760679,0.04040241241455078,0.039452791213989265,resnext50_32x4d,0.0014732266585962652
0.037825584411621094,0.0404207706451416,1.0,1.0,jetson_gpu,0.044692039489746094,0.03865425657517839,0.03814506530761719,0.03771209716796875,wide_resnet50_2,0.001206854007043643
0.030228853225708008,0.03267216682434082,1.0,1.0,jetson_gpu,0.034879207611083984,0.03084023164050414,0.03057098388671875,0.029745101928710938,mnasnet,0.000916028667292866
