<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
15.0,0.0,13.0,3928737447936.0,2.0,0.0,1.0,12845056.0,5.0,0.0,15929966592.0,256.0,224.0,0.351816044934094,3960400510976.0,15929966592.0,vgg16,39.0,138357544.0,0.0,3.0,31650217984.0,,,,
15.0,0.0,13.0,5893106171904.0,2.0,0.0,1.0,19267584.0,5.0,0.0,20451426304.0,384.0,224.0,0.5188546655699611,5940600766464.0,20451426304.0,vgg16,39.0,138357544.0,0.0,3.0,47475326976.0,,,,
160.0,0.0,160.0,7725699072.0,,,,,1.0,0.0,1553989632.0,1.0,224.0,0.008033662289381027,7845841056.0,1553989632.0,densenet,486.0,28681000.0,0.0,1.0,2208000.0,161.0,117656448.0,3.0,277536.0
160.0,0.0,160.0,15451398144.0,,,,,1.0,0.0,1671430144.0,2.0,224.0,0.011051500402390956,15691682112.0,1671430144.0,densenet,486.0,28681000.0,0.0,1.0,4416000.0,161.0,235312896.0,3.0,555072.0
160.0,0.0,160.0,30902796288.0,,,,,1.0,0.0,1824522240.0,4.0,224.0,0.014463158696889878,31383364224.0,1824522240.0,densenet,486.0,28681000.0,0.0,1.0,8832000.0,161.0,470625792.0,3.0,1110144.0
160.0,0.0,160.0,61805592576.0,,,,,1.0,0.0,2004877312.0,8.0,224.0,0.020691423304378988,62766728448.0,2004877312.0,densenet,486.0,28681000.0,0.0,1.0,17664000.0,161.0,941251584.0,3.0,2220288.0
160.0,0.0,160.0,123611185152.0,,,,,1.0,0.0,2231369728.0,16.0,224.0,0.034043009579181674,125533456896.0,2231369728.0,densenet,486.0,28681000.0,0.0,1.0,35328000.0,161.0,1882503168.0,3.0,4440576.0
160.0,0.0,160.0,247222370304.0,,,,,1.0,0.0,2592079872.0,32.0,224.0,0.06119556557387114,251066913792.0,2592079872.0,densenet,486.0,28681000.0,0.0,1.0,70656000.0,161.0,3765006336.0,3.0,8881152.0
160.0,0.0,160.0,494444740608.0,,,,,1.0,0.0,3170893824.0,64.0,224.0,0.11557721924036744,502133827584.0,3170893824.0,densenet,486.0,28681000.0,0.0,1.0,141312000.0,161.0,7530012672.0,3.0,17762304.0
160.0,0.0,160.0,741667110912.0,,,,,1.0,0.0,3747610624.0,96.0,224.0,0.16856967248022556,753200741376.0,3747610624.0,densenet,486.0,28681000.0,0.0,1.0,211968000.0,161.0,11295019008.0,3.0,26643456.0
160.0,0.0,160.0,988889481216.0,,,,,1.0,0.0,4311744512.0,128.0,224.0,0.2233193092048168,1004267655168.0,4311744512.0,densenet,486.0,28681000.0,0.0,1.0,282624000.0,161.0,15060025344.0,3.0,35524608.0
160.0,0.0,160.0,1483334221824.0,,,,,1.0,0.0,5379194880.0,192.0,224.0,0.3308125646784902,1506401482752.0,5379194880.0,densenet,486.0,28681000.0,0.0,1.0,423936000.0,161.0,22590038016.0,3.0,53286912.0
160.0,0.0,160.0,1977778962432.0,,,,,1.0,0.0,6467616768.0,256.0,224.0,0.4362897185608745,2008535310336.0,6467616768.0,densenet,486.0,28681000.0,0.0,1.0,565248000.0,161.0,30120050688.0,3.0,71049216.0
160.0,0.0,160.0,2966668443648.0,,,,,1.0,0.0,8369733632.0,384.0,224.0,0.6504902824759483,3012802965504.0,8369733632.0,densenet,486.0,28681000.0,0.0,1.0,847872000.0,161.0,45180076032.0,3.0,106573824.0
160.0,0.0,160.0,3955557924864.0,,,,,1.0,0.0,10494148608.0,512.0,224.0,0.8612132096663118,4017070620672.0,10494148608.0,densenet,486.0,28681000.0,0.0,1.0,1130496000.0,161.0,60240101376.0,3.0,142098432.0
,,96.0,2835873120.0,1.0,0.0,1.0,53248.0,2.0,0.0,1480589312.0,1.0,224.0,0.004711904376745224,2856567712.0,1480589312.0,inception,198.0,27161264.0,0.0,2.0,2048000.0,96.0,18593344.0,,
,,96.0,5671746240.0,1.0,0.0,1.0,106496.0,2.0,0.0,1606418432.0,2.0,224.0,0.004323966801166534,5713135424.0,1606418432.0,inception,198.0,27161264.0,0.0,2.0,4096000.0,96.0,37186688.0,,
,,96.0,11343492480.0,1.0,0.0,1.0,212992.0,2.0,0.0,1717567488.0,4.0,224.0,0.00429471991956234,11426270848.0,1717567488.0,inception,198.0,27161264.0,0.0,2.0,8192000.0,96.0,74373376.0,,
,,96.0,22686984960.0,1.0,0.0,1.0,425984.0,2.0,0.0,1820327936.0,8.0,224.0,0.00568455271422863,22852541696.0,1820327936.0,inception,198.0,27161264.0,0.0,2.0,16384000.0,96.0,148746752.0,,
,,96.0,45373969920.0,1.0,0.0,1.0,851968.0,2.0,0.0,1988100096.0,16.0,224.0,0.009339440613985062,45705083392.0,1988100096.0,inception,198.0,27161264.0,0.0,2.0,32768000.0,96.0,297493504.0,,
,,96.0,90747939840.0,1.0,0.0,1.0,1703936.0,2.0,0.0,2204106752.0,32.0,224.0,0.016782185062766075,91410166784.0,2204106752.0,inception,198.0,27161264.0,0.0,2.0,65536000.0,96.0,594987008.0,,
,,96.0,181495879680.0,1.0,0.0,1.0,3407872.0,2.0,0.0,2531262464.0,64.0,224.0,0.031105441227555274,182820333568.0,2531262464.0,inception,198.0,27161264.0,0.0,2.0,131072000.0,96.0,1189974016.0,,
,,96.0,272243819520.0,1.0,0.0,1.0,5111808.0,2.0,0.0,2808086528.0,96.0,224.0,0.04601081889122725,274230500352.0,2808086528.0,inception,198.0,27161264.0,0.0,2.0,196608000.0,96.0,1784961024.0,,
,,96.0,362991759360.0,1.0,0.0,1.0,6815744.0,2.0,0.0,3112173568.0,128.0,224.0,0.060412362590432166,365640667136.0,3112173568.0,inception,198.0,27161264.0,0.0,2.0,262144000.0,96.0,2379948032.0,,
,,96.0,544487639040.0,1.0,0.0,1.0,10223616.0,2.0,0.0,3638558720.0,192.0,224.0,0.08907989934086799,548461000704.0,3638558720.0,inception,198.0,27161264.0,0.0,2.0,393216000.0,96.0,3569922048.0,,
,,96.0,725983518720.0,1.0,0.0,1.0,13631488.0,2.0,0.0,4196401152.0,256.0,224.0,0.1185938099399209,731281334272.0,4196401152.0,inception,198.0,27161264.0,0.0,2.0,524288000.0,96.0,4759896064.0,,
,,96.0,1088975278080.0,1.0,0.0,1.0,20447232.0,2.0,0.0,5066719232.0,384.0,224.0,0.17689255755394698,1096922001408.0,5066719232.0,inception,198.0,27161264.0,0.0,2.0,786432000.0,96.0,7139844096.0,,
,,96.0,1451967037440.0,1.0,0.0,1.0,27262976.0,2.0,0.0,6155141120.0,512.0,224.0,0.23426124397665266,1462562668544.0,6155141120.0,inception,198.0,27161264.0,0.0,2.0,1048576000.0,96.0,9519792128.0,,
,,59.0,1497352192.0,3.0,0.0,1.0,51200.0,13.0,0.0,1331691520.0,1.0,224.0,0.0008361050859093666,1511332032.0,1331691520.0,googlenet,140.0,13004888.0,0.0,5.0,1024000.0,59.0,12904640.0,,
,,59.0,2994704384.0,3.0,0.0,1.0,102400.0,13.0,0.0,1402994688.0,2.0,224.0,0.0011852724477648734,3022664064.0,1402994688.0,googlenet,140.0,13004888.0,0.0,5.0,2048000.0,59.0,25809280.0,,
