device,model,accelerator,requires_grad,batch_size,sequence_length,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_cpu,funnel_transformer,0.0,0.0,1.0,16.0,4115.6875,4115.33203125,0.0,130973184.0,1033371648.0,0.0913329021481331
herron_cpu,funnel_transformer,0.0,0.0,1.0,32.0,4123.4453125,4123.3955078125,0.0,130973184.0,2066743296.0,0.1034248606476467
herron_cpu,funnel_transformer,0.0,0.0,1.0,64.0,4134.4453125,4134.4453125,0.0,130973184.0,4133486592.0,0.1265248203009832
herron_cpu,funnel_transformer,0.0,0.0,1.0,128.0,4156.34765625,4154.98046875,0.0,130973184.0,8266973184.0,0.1901869364490266
herron_cpu,funnel_transformer,0.0,0.0,1.0,256.0,4187.43359375,4187.123883928572,0.0,130973184.0,16533946368.0,0.3372330859012436
herron_cpu,funnel_transformer,0.0,0.0,1.0,512.0,4295.15625,4241.51640625,0.0,130973184.0,33067892736.0,0.7383395234006457
herron_cpu,albert,0.0,0.0,1.0,1.0,1198.08984375,1198.08984375,0.0,11683584.0,85622784.0,0.0218025057460181
herron_cpu,albert,0.0,0.0,1.0,2.0,3650.0,3650.0,0.0,11683584.0,170655744.0,0.0249690955970436
herron_cpu,albert,0.0,0.0,1.0,4.0,3650.75390625,3650.752511160714,0.0,11683584.0,340721664.0,0.0468229784513823
herron_cpu,albert,0.0,0.0,1.0,8.0,3651.44140625,3651.44140625,0.0,11683584.0,680853504.0,0.0670953614462632
herron_cpu,albert,0.0,0.0,1.0,16.0,3652.671875,3652.54375,0.0,11683584.0,1361117184.0,0.0549487261509057
herron_cpu,albert,0.0,0.0,1.0,32.0,3654.96875,3654.53046875,0.0,11683584.0,2721644544.0,0.0708637435978744
herron_cpu,albert,0.0,0.0,1.0,64.0,3658.80078125,3658.554129464286,0.0,11683584.0,5442699264.0,0.1061586109979543
herron_cpu,albert,0.0,0.0,1.0,128.0,3672.8125,3671.397321428572,0.0,11683584.0,10884808704.0,0.1770272371533792
herron_cpu,albert,0.0,0.0,1.0,256.0,3697.07421875,3696.780859375,0.0,11683584.0,21769027584.0,0.3261835453507956
herron_cpu,albert,0.0,0.0,1.0,512.0,3780.40625,3780.20166015625,0.0,11683584.0,43537465344.0,0.7051493967010174
herron_cpu,longformer,0.0,0.0,1.0,1.0,2376.08984375,2341.736793154762,0.0,148659456.0,43487133696.0,0.862635513546411
herron_cpu,longformer,0.0,0.0,1.0,2.0,4325.5859375,4311.5178865131575,0.0,148659456.0,43487133696.0,0.8515527216484771
herron_cpu,longformer,0.0,0.0,1.0,4.0,4333.6640625,4333.00625,0.0,148659456.0,43487133696.0,0.8459217802505009
herron_cpu,longformer,0.0,0.0,1.0,8.0,4335.1875,4312.8203125,0.0,148659456.0,43487133696.0,0.8570846489979885
herron_cpu,longformer,0.0,0.0,1.0,16.0,4323.1875,4314.688244047619,0.0,148659456.0,43487133696.0,0.8472143204999156
herron_cpu,longformer,0.0,0.0,1.0,32.0,4311.1640625,4311.1640625,0.0,148659456.0,43487133696.0,0.8466770052036736
herron_cpu,longformer,0.0,0.0,1.0,64.0,4323.22265625,4323.180715460527,0.0,148659456.0,43487133696.0,0.8532705524994526
herron_cpu,longformer,0.0,0.0,1.0,128.0,4335.28515625,4335.151932565789,0.0,148659456.0,43487133696.0,0.8485315252968576
herron_cpu,longformer,0.0,0.0,1.0,256.0,4328.0859375,4325.0,0.0,148659456.0,43487133696.0,0.8615197740960866
herron_cpu,longformer,0.0,0.0,1.0,512.0,4335.40625,4335.259114583333,0.0,148659456.0,43487133696.0,0.8572735705995
herron_cpu,mobile_bert,0.0,0.0,1.0,1.0,1348.0078125,1348.0078125,0.0,24581888.0,20250624.0,0.0182803226984106
herron_cpu,mobile_bert,0.0,0.0,1.0,2.0,3846.8828125,3846.8821614583335,0.0,24581888.0,40501248.0,0.0205505212012212
herron_cpu,mobile_bert,0.0,0.0,1.0,4.0,3787.6328125,3787.6328125,0.0,24581888.0,81002496.0,0.0222990330017637
herron_cpu,mobile_bert,0.0,0.0,1.0,8.0,3788.359375,3788.2766927083335,0.0,24581888.0,162004992.0,0.023515475646127
herron_cpu,mobile_bert,0.0,0.0,1.0,16.0,3789.15234375,3789.1119791666665,0.0,24581888.0,324009984.0,0.0303664390521589
herron_cpu,mobile_bert,0.0,0.0,1.0,32.0,3789.26171875,3789.2467447916665,0.0,24581888.0,648019968.0,0.0347376326506491
herron_cpu,mobile_bert,0.0,0.0,1.0,64.0,3789.40625,3789.40625,0.0,24581888.0,1296039936.0,0.0437942257500253
herron_cpu,mobile_bert,0.0,0.0,1.0,128.0,3789.8125,3789.74267578125,0.0,24581888.0,2592079872.0,0.061784618650563
herron_cpu,mobile_bert,0.0,0.0,1.0,256.0,3790.83984375,3790.780894886364,0.0,24581888.0,5184159744.0,0.107605428044917
herron_cpu,mobile_bert,0.0,0.0,1.0,512.0,3793.15234375,3793.15234375,0.0,24581888.0,10368319488.0,0.2350349225511308
herron_cpu,squeeze_bert,0.0,0.0,1.0,1.0,1411.01953125,1411.002170138889,0.0,51094272.0,27214848.0,0.01575749219628051
herron_cpu,squeeze_bert,0.0,0.0,1.0,2.0,3909.94921875,3909.94921875,0.0,51094272.0,53839872.0,0.021056468051392586
herron_cpu,squeeze_bert,0.0,0.0,1.0,4.0,3912.98046875,3912.9615234375,0.0,51094272.0,107089920.0,0.021888325602049008
herron_cpu,squeeze_bert,0.0,0.0,1.0,8.0,3913.06640625,3913.06640625,0.0,51094272.0,213590016.0,0.022413291147677226
herron_cpu,squeeze_bert,0.0,0.0,1.0,16.0,3915.5625,3914.9375,0.0,51094272.0,426590208.0,0.023396297049475833
herron_cpu,squeeze_bert,0.0,0.0,1.0,32.0,3918.8671875,3918.21953125,0.0,51094272.0,852590592.0,0.0278881159494631
herron_cpu,squeeze_bert,0.0,0.0,1.0,64.0,3921.84375,3921.275,0.0,51094272.0,1704591360.0,0.045267405000049624
herron_cpu,squeeze_bert,0.0,0.0,1.0,128.0,3930.2421875,3929.5993303571427,0.0,51094272.0,3408592896.0,0.07461113780154846
herron_cpu,squeeze_bert,0.0,0.0,1.0,256.0,3942.64453125,3942.0390625,0.0,51094272.0,6816595968.0,0.16358353615505622
herron_cpu,squeeze_bert,0.0,0.0,1.0,512.0,3898.13671875,3898.13671875,0.0,51094272.0,13632602112.0,0.4127307849994395
