5_pct,95_pct,accelerator,batch_size,device,max,mean,median,min,model,sequence_length,std
0.027444589138031,0.02912832498550415,0.0,1.0,laptop_cpu,0.03391528129577637,0.02823409795761108,0.02819514274597168,0.02355384826660156,bert,1.0,0.0009019063025404023
0.030030369758605964,0.03191807270050049,0.0,1.0,laptop_cpu,0.033596277236938484,0.030589275360107426,0.030350685119628906,0.02985429763793945,bert,2.0,0.000633151965958437
0.030928766727447512,0.03385279178619385,0.0,1.0,laptop_cpu,0.03680562973022461,0.031562507152557366,0.03125143051147461,0.030890464782714844,bert,4.0,0.0010404079054974257
0.0327386736869812,0.03676248788833618,0.0,1.0,laptop_cpu,0.04059004783630371,0.03418076276779175,0.033679962158203125,0.03244495391845703,bert,8.0,0.0014949658953843548
0.034859383106231684,0.03848880529403687,0.0,1.0,laptop_cpu,0.04541587829589844,0.03617342472076416,0.03560829162597656,0.03456449508666992,bert,16.0,0.0017560456919607488
0.03989795446395874,0.04592338800430297,0.0,1.0,laptop_cpu,0.0605921745300293,0.041389012336730965,0.04039406776428224,0.03941774368286133,bert,32.0,0.003034204223344465
0.06871533393859862,0.07648879289627075,0.0,1.0,laptop_cpu,0.10431027412414552,0.07252515554428099,0.07200932502746582,0.06764650344848633,bert,64.0,0.003974915722048814
0.1240551710128784,0.15212057828903194,0.0,1.0,laptop_cpu,0.17795324325561526,0.1348958158493042,0.12712156772613525,0.12301301956176758,bert,128.0,0.012017063586488885
0.26513381004333497,0.3730954051017761,0.0,1.0,laptop_cpu,0.3843686580657959,0.29031524419784543,0.2730177640914917,0.2641134262084961,bert,256.0,0.035265946651546705
0.5959226489067078,0.8465239763259889,0.0,1.0,laptop_cpu,0.8651168346405029,0.6362567830085755,0.6057482957839966,0.5932633876800537,bert,512.0,0.07518028305656631
0.02678900957107544,0.028965914249420164,0.0,1.0,laptop_cpu,0.03247189521789552,0.02749059200286865,0.027252912521362305,0.026353120803833008,roberta,1.0,0.0010142854838530988
0.030097150802612306,0.032998955249786376,0.0,1.0,laptop_cpu,0.03669548034667969,0.030996835231781008,0.030485033988952637,0.03002691268920898,roberta,2.0,0.0012189730305713245
0.03144299983978272,0.04644707441329956,0.0,1.0,laptop_cpu,0.05036234855651856,0.03713518142700195,0.03584027290344238,0.03105902671813965,roberta,4.0,0.00445342987583321
0.03351063728332518,0.04142026901245117,0.0,1.0,laptop_cpu,0.048206090927124016,0.034749164581298835,0.03376317024230957,0.033406734466552734,roberta,8.0,0.002743245137854528
0.03503040075302124,0.03747365474700928,0.0,1.0,laptop_cpu,0.04199337959289552,0.03598814725875855,0.035460710525512695,0.03352642059326172,roberta,16.0,0.0011845792165686279
0.043502056598663325,0.04833413362503052,0.0,1.0,laptop_cpu,0.07657194137573242,0.045154316425323485,0.04439210891723633,0.04125118255615234,roberta,32.0,0.004196943597190643
0.07723653316497803,0.08422349691390991,0.0,1.0,laptop_cpu,0.0895698070526123,0.07932663202285767,0.07810330390930176,0.07701539993286133,roberta,64.0,0.0026033688553092275
0.13764560222625732,0.14592477083206176,0.0,1.0,laptop_cpu,0.1663353443145752,0.14038477182388304,0.1387646198272705,0.13740205764770508,roberta,128.0,0.0044261382933906855
0.25401562452316284,0.26436518430709843,0.0,1.0,laptop_cpu,0.323486328125,0.2590080881118774,0.25794661045074463,0.2524223327636719,roberta,256.0,0.007384797136838079
0.5593063712120057,0.8353702068328858,0.0,1.0,laptop_cpu,0.9861514568328856,0.6082637357711792,0.5695358514785767,0.556713342666626,roberta,512.0,0.08600443763003437
0.03336576223373413,0.03502154350280762,0.0,1.0,laptop_cpu,0.03767848014831543,0.03391611337661743,0.03364813327789306,0.033316850662231445,deberta,1.0,0.0007653610232950857
0.04122220277786255,0.042547214031219485,0.0,1.0,laptop_cpu,0.04655313491821289,0.04162708520889282,0.04141902923583984,0.04115080833435058,deberta,2.0,0.0007020972479839612
0.042582213878631585,0.04392255544662475,0.0,1.0,laptop_cpu,0.04850292205810547,0.04299476623535156,0.0427706241607666,0.042525053024291985,deberta,4.0,0.0007584937666123068
0.04369022846221924,0.045489180088043216,0.0,1.0,laptop_cpu,0.04958820343017578,0.04437372446060181,0.04403984546661377,0.04358959197998047,deberta,8.0,0.0008163540948395689
0.04724715948104859,0.050835275650024415,0.0,1.0,laptop_cpu,0.05742454528808594,0.04847109079360962,0.048005104064941406,0.04712080955505371,deberta,16.0,0.0015427898948918756
0.0664851188659668,0.0869636058807373,0.0,1.0,laptop_cpu,0.10351681709289552,0.07037386178970338,0.06813311576843263,0.06617379188537598,deberta,32.0,0.007464814576901938
0.11527012586593627,0.14741396903991694,0.0,1.0,laptop_cpu,0.1994330883026123,0.12302998304367065,0.11898910999298094,0.1149752140045166,deberta,64.0,0.013911023746927813
0.20153560638427734,0.33494322299957274,0.0,1.0,laptop_cpu,0.4123790264129639,0.22885579347610474,0.20694804191589355,0.20079803466796875,deberta,128.0,0.04555002712138954
0.4173318028450013,0.5203943133354186,0.0,1.0,laptop_cpu,0.7665650844573975,0.4483721685409546,0.4336915016174317,0.4135887622833252,deberta,256.0,0.054699636979966174
1.0594805955886841,1.2051448702812193,0.0,1.0,laptop_cpu,1.2980449199676514,1.1238103127479553,1.1236083507537842,1.0487391948699951,deberta,512.0,0.0458044513810544
0.013528215885162351,0.01417000293731689,0.0,1.0,laptop_cpu,0.014454841613769531,0.013717927932739259,0.013663768768310549,0.01349186897277832,distilbert,1.0,0.000185968379842514
