device,model,accelerator,batch_size,sequence_length,median,mean,std,min,max,5_pct,95_pct
herron_gpu,bert,1.0,1.0,1.0,0.0054740905761718,0.0055183506011962,0.000402889405835,0.0052385330200195,0.0092589855194091,0.0052998781204223,0.0056519746780395
herron_gpu,bert,1.0,1.0,2.0,0.0058741569519042,0.0058592534065246,8.072216877903943e-05,0.0057034492492675,0.0060346126556396,0.0057229042053222,0.0059869647026062
herron_gpu,bert,1.0,1.0,4.0,0.006096601486205999,0.006101849079132,9.24665356207312e-05,0.0058634281158447,0.0065078735351562,0.0059728860855102,0.0062401056289672
herron_gpu,bert,1.0,1.0,8.0,0.0061835050582885,0.0062126874923706,0.0003214271683497,0.0059692859649658,0.0092725753784179,0.0060245871543884,0.0063175678253173
herron_gpu,bert,1.0,1.0,16.0,0.0062102079391479,0.0062146615982055,7.154012675052644e-05,0.0059993267059326,0.006354808807373,0.0060957789421081,0.0063203454017639
herron_gpu,bert,1.0,1.0,32.0,0.0066980123519897,0.0067068457603454,0.0001062223797994,0.0064597129821777,0.0070340633392333,0.0065163731575012,0.0068714618682861
herron_gpu,bert,1.0,1.0,64.0,0.0067521333694458,0.0067811036109924,0.0003150040863514,0.0065271854400634,0.0097594261169433,0.0065999269485473,0.0069047212600708
herron_gpu,bert,1.0,1.0,128.0,0.0067216157913208,0.0067329931259155,6.983193149200129e-05,0.0065712928771972,0.007073163986205998,0.0066510438919067,0.0068281650543212
herron_gpu,bert,1.0,1.0,256.0,0.0067046880722045,0.0068233609199523,0.0007017651875327,0.0065116882324218,0.0117974281311035,0.0065415501594543,0.0069669485092163
herron_gpu,bert,1.0,1.0,512.0,0.0066243410110473,0.0066349053382873,0.0001471144979269,0.0063886642456054,0.0077407360076904,0.0064664483070373,0.0067716479301452
herron_gpu,roberta,1.0,1.0,1.0,0.0055731534957885,0.0057248187065124,0.0004582614634073,0.0053551197052001,0.0072362422943115,0.005401337146758999,0.0068115472793579
herron_gpu,roberta,1.0,1.0,2.0,0.0060185194015502,0.0060122823715209,6.784339834484094e-05,0.0057883262634277,0.0061368942260742,0.0058812499046325,0.0061046361923217
herron_gpu,roberta,1.0,1.0,4.0,0.0061651468276977,0.006182324886322,0.0002451553977681,0.0059626102447509,0.0080842971801757,0.0059898972511291,0.0063780665397644
herron_gpu,roberta,1.0,1.0,8.0,0.0062923431396484,0.0062971973419189,7.640007594477337e-05,0.0061049461364746,0.006462812423705999,0.0061505079269409,0.0064157247543334
herron_gpu,roberta,1.0,1.0,16.0,0.0062836408615112,0.0062890028953552,0.000176339201938,0.0060594081878662,0.0076849460601806,0.0061014175415039,0.0064042329788208
herron_gpu,roberta,1.0,1.0,32.0,0.0067552328109741,0.0067647504806518,9.128717175915088e-05,0.0065279006958007,0.0069942474365234,0.0066050887107849,0.0069376707077026
herron_gpu,roberta,1.0,1.0,64.0,0.006843090057373,0.0068567085266113,0.0002357044473366,0.0066287517547607,0.0090572834014892,0.0066812634468078,0.0069685816764831
herron_gpu,roberta,1.0,1.0,128.0,0.0067919492721557,0.0068342423439025,0.0004539038780683,0.006545066833495999,0.0112597942352294,0.0066315650939941,0.0069255948066711
herron_gpu,roberta,1.0,1.0,256.0,0.0067797899246215,0.0067726874351501,0.0001001932813383,0.0065500736236572,0.0069663524627685,0.0066141605377197,0.0069267868995666
herron_gpu,roberta,1.0,1.0,512.0,0.0067096948623657,0.0067156481742858,0.0001213130168709,0.0065085887908935,0.0074141025543212,0.006532597541809001,0.0068910717964172
herron_gpu,deberta,1.0,1.0,1.0,0.0104831457138061,0.01072927236557,0.000945465864623,0.0101783275604248,0.0146236419677734,0.0102729439735412,0.014124310016632
herron_gpu,deberta,1.0,1.0,2.0,0.0113173723220825,0.0114151144027709,0.0006426051388099999,0.0109682083129882,0.0169258117675781,0.01106778383255,0.0116328001022338
herron_gpu,deberta,1.0,1.0,4.0,0.0113853216171264,0.0114277982711792,0.0004518822311751,0.0109684467315673,0.0155155658721923,0.0110586047172546,0.0116755485534667
herron_gpu,deberta,1.0,1.0,8.0,0.0114563703536987,0.0114921045303344,0.0004657635667231,0.011115550994873,0.0154294967651367,0.0111642718315124,0.0117272734642028
herron_gpu,deberta,1.0,1.0,16.0,0.0116997957229614,0.0117077374458312,0.0003970768703198,0.011348009109497,0.0153408050537109,0.0113879561424255,0.01190185546875
herron_gpu,deberta,1.0,1.0,32.0,0.0119843482971191,0.0120136165618896,0.000417892360877,0.0116746425628662,0.0157625675201416,0.0117336630821228,0.0122610926628112
herron_gpu,deberta,1.0,1.0,64.0,0.0117789506912231,0.0118594908714294,0.0003218354859608,0.011608600616454998,0.0146012306213378,0.0116636872291564,0.0121978521347045
herron_gpu,deberta,1.0,1.0,128.0,0.0120425224304199,0.0120696425437927,0.0003942954025206,0.0117149353027343,0.0156521797180175,0.0117733240127563,0.0122839570045471
herron_gpu,deberta,1.0,1.0,256.0,0.0121581554412841,0.0121928930282592,0.0004151752412921,0.0118384361267089,0.0161075592041015,0.0119350671768188,0.0123621582984924
herron_gpu,deberta,1.0,1.0,512.0,0.0118719339370727,0.0119186520576477,0.00044322250782,0.0115318298339843,0.0160622596740722,0.0116189241409301,0.0121013760566711
herron_gpu,distilbert,1.0,1.0,1.0,0.0028599500656127,0.0030492138862609,0.0002936287006101,0.0027124881744384,0.0034911632537841,0.0027537703514099,0.0034374356269836
herron_gpu,distilbert,1.0,1.0,2.0,0.0030496120452880005,0.0030525827407836,4.787598731891833e-05,0.0029265880584716,0.0031514167785644,0.002957010269165,0.0031200885772705
herron_gpu,distilbert,1.0,1.0,4.0,0.0031843185424804,0.0032177424430847,0.0002964975552739,0.003058910369873,0.0061137676239013,0.0031060576438903,0.0032679080963134
herron_gpu,distilbert,1.0,1.0,8.0,0.0032225847244262,0.0032240295410156,5.474161519777166e-05,0.0031061172485351,0.0033631324768066,0.0031288743019104,0.0033146142959594
herron_gpu,distilbert,1.0,1.0,16.0,0.0032157897949218,0.0032148528099059997,5.1243804492948716e-05,0.003091812133789,0.0033290386199951,0.0031215667724609,0.0033000946044921
