<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
56.0,998502400.0,56.0,18417150976.0,,,1.0,131072000.0,,,1.0,0.0,2218786816.0,128.0,224.0,0.010279512700071792,19546725376.0,2218786816.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,1497753600.0,56.0,27625726464.0,,,1.0,196608000.0,,,1.0,0.0,2453667840.0,192.0,224.0,0.010050274199602426,29320088064.0,2453667840.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,1997004800.0,56.0,36834301952.0,,,1.0,262144000.0,,,1.0,0.0,2766143488.0,256.0,224.0,0.012791121699410723,39093450752.0,2766143488.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,2995507200.0,56.0,55251452928.0,,,1.0,393216000.0,,,1.0,0.0,3231711232.0,384.0,224.0,0.0187339850999706,58640176128.0,3231711232.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
56.0,3994009600.0,56.0,73668603904.0,,,1.0,524288000.0,,,1.0,0.0,3848273920.0,512.0,224.0,0.024246811199554942,78186901504.0,3848273920.0,shufflenet,151.0,2278604.0,0.0,37.0,0.0,,,,,,
52.0,26712448.0,52.0,299494272.0,1.0,0.0,1.0,1280000.0,,,,,1709178880.0,1.0,224.0,0.00614628690018435,327486720.0,1709178880.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,53424896.0,52.0,598988544.0,1.0,0.0,1.0,2560000.0,,,,,1713373184.0,2.0,224.0,0.0064199492997431655,654973440.0,1713373184.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,106849792.0,52.0,1197977088.0,1.0,0.0,1.0,5120000.0,,,,,1738539008.0,4.0,224.0,0.0065223622004850785,1309946880.0,1738539008.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,213699584.0,52.0,2395954176.0,1.0,0.0,1.0,10240000.0,,,,,1784676352.0,8.0,224.0,0.008782130699546541,2619893760.0,1784676352.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,427399168.0,52.0,4791908352.0,1.0,0.0,1.0,20480000.0,,,,,1866465280.0,16.0,224.0,0.008185552899522008,5239787520.0,1866465280.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,854798336.0,52.0,9583816704.0,1.0,0.0,1.0,40960000.0,,,,,2048917504.0,32.0,224.0,0.007374753399926703,10479575040.0,2048917504.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,1709596672.0,52.0,19167633408.0,1.0,0.0,1.0,81920000.0,,,,,2411724800.0,64.0,224.0,0.007489503300166689,20959150080.0,2411724800.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
52.0,2564395008.0,52.0,28751450112.0,1.0,0.0,1.0,122880000.0,,,,,2885681152.0,96.0,224.0,0.00900284820017987,31438725120.0,2885681152.0,mobilenet_v2,141.0,3504872.0,0.0,35.0,0.0,,,,,,
