longformer,jetson_gpu,6.561223032,1.029751115,1.037358043,1.035996804,1.02793514,1.030680616,1.031265674,1.03030257,1.029703326,1.023684576
ibert,jetson_gpu,1.739314899,0.07821888685,0.07792761087,0.07782867432,0.07715671301,0.07691622734,0.0895246911,0.08421466351,0.08142034292,0.08100645065
bert,rpi4,0.2474523354,0.4396227217,0.8289686942,1.586455224,3.073303249,6.080232301,12.32174055,25.239283,53.2570044,115.4667205
roberta,rpi4,0.2461885166,0.4462947702,0.8401381898,1.603903971,3.08568085,6.086892598,12.33101948,25.2495859,53.17866295,115.4919587
distilbert,rpi4,0.1227776623,0.2206659007,0.412679317,0.7908161712,1.536184416,3.039140041,6.159107628,12.60156018,26.45818789,57.3302646
deberta,rpi4,0.3287715196609497, 0.5929048442840577, 1.1192482495307923, 2.135565609931946, 4.129069447517395, 8.202281193733215, 16.702541289329528, 34.99677196741104, 76.76954197168351, 177.25534697532655
squeeze_bert,rpi4,0.117733314037323, 0.4541558909416199, 0.6162557339668274, 0.7879123163223266, 1.158989462852478, 2.5281891059875488, 4.5561816072463985, 8.710952215194702, 18.42743953227997, 51.90329628705978
reformer,rpi4,0.025687789916992186, 0.0315712308883667, 0.04226710081100464, 0.0630845808982849, 0.10535033226013184, 0.18903905868530274, 0.3619936728477478, 0.7585702085494995, 1.4853362441062927, 2.9868712520599363
mobile_bert,rpi4,0.13885547637939452, 0.18644562721252442, 0.2795865964889526, 0.4691240525245666, 0.844000289440155, 1.5883922028541564, 3.108460693359375, 6.217104034423828, 12.935699412822723, 29.07454295873642
longformer,rpi4,119.5752712059021,119.60168397188187,119.55856169700623
ibert,rpi4,0.25543986320495604, 0.4520997500419617, 0.8327926516532898, 1.6229054093360902, 3.0917184853553774, 6.102277135848999, 12.314056131839752, 25.27095776081085, 53.08783545970917, 115.50668803215027
