accelerator,act_fn,avg_memory,batch_size,bidirectional,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript,seq_len
0.0,relu,273.5,1.0,0.0,cpu,0.0,16.0,0.00017062209999494372,4480.0,273.5,rnn,0.0,544.0,0.0,0.0,8.0
0.0,relu,273.5,1.0,0.0,cpu,0.0,16.0,0.00023145000004660688,8960.0,273.5,rnn,0.0,544.0,0.0,0.0,16.0
0.0,relu,273.5,1.0,0.0,cpu,0.0,16.0,0.0004231918999721529,17920.0,273.5,rnn,0.0,544.0,0.0,0.0,32.0
0.0,relu,273.5,1.0,0.0,cpu,0.0,16.0,0.0007006232000094315,35840.0,273.5,rnn,0.0,544.0,0.0,0.0,64.0
0.0,relu,273.525,1.0,0.0,cpu,0.0,16.0,0.0012193673999718157,71680.0,273.53125,rnn,0.0,544.0,0.0,0.0,128.0
0.0,relu,273.53125,1.0,0.0,cpu,0.0,32.0,9.048040001289337e-05,2144.0,273.53125,rnn,0.0,2112.0,0.0,0.0,1.0
0.0,relu,273.5390625,1.0,0.0,cpu,0.0,32.0,0.0001247456999408314,4288.0,273.5390625,rnn,0.0,2112.0,0.0,0.0,2.0
0.0,relu,273.5390625,1.0,0.0,cpu,0.0,32.0,0.0001370268000755459,8576.0,273.5390625,rnn,0.0,2112.0,0.0,0.0,4.0
0.0,relu,273.5390625,1.0,0.0,cpu,0.0,32.0,0.00018792869996104856,17152.0,273.5390625,rnn,0.0,2112.0,0.0,0.0,8.0
0.0,relu,273.5390625,1.0,0.0,cpu,0.0,32.0,0.0003293588999440544,34304.0,273.5390625,rnn,0.0,2112.0,0.0,0.0,16.0
0.0,relu,273.5390625,1.0,0.0,cpu,0.0,32.0,0.00039687059997959293,68608.0,273.5390625,rnn,0.0,2112.0,0.0,0.0,32.0
0.0,relu,273.6796875,1.0,0.0,cpu,0.0,32.0,0.0009940972000549663,137216.0,273.6796875,rnn,0.0,2112.0,0.0,0.0,64.0
0.0,relu,273.70703125,1.0,0.0,cpu,0.0,32.0,0.0013677609999831475,274432.0,273.70703125,rnn,0.0,2112.0,0.0,0.0,128.0
0.0,relu,273.70703125,1.0,0.0,cpu,0.0,64.0,8.053849996940699e-05,8384.0,273.70703125,rnn,0.0,8320.0,0.0,0.0,1.0
0.0,relu,273.76171875,1.0,0.0,cpu,0.0,64.0,0.00010635160006131628,16768.0,273.76171875,rnn,0.0,8320.0,0.0,0.0,2.0
0.0,relu,273.765625,1.0,0.0,cpu,0.0,64.0,0.0001744943000630883,33536.0,273.765625,rnn,0.0,8320.0,0.0,0.0,4.0
0.0,relu,273.765625,1.0,0.0,cpu,0.0,64.0,0.00026879280003413444,67072.0,273.765625,rnn,0.0,8320.0,0.0,0.0,8.0
0.0,relu,273.89453125,1.0,0.0,cpu,0.0,64.0,0.0002523348999602604,134144.0,273.89453125,rnn,0.0,8320.0,0.0,0.0,16.0
0.0,relu,273.9453125,1.0,0.0,cpu,0.0,64.0,0.0006062360999749217,268288.0,273.9453125,rnn,0.0,8320.0,0.0,0.0,32.0
0.0,relu,274.041015625,1.0,0.0,cpu,0.0,64.0,0.0006162917999972706,536576.0,274.04296875,rnn,0.0,8320.0,0.0,0.0,64.0
