model,batch_size,hidden_dim,bidirectional,device,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params,seq_len
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.002459707949310541,35840.0,544.0,0.0,64.0
rnn,1.0,16.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.004820737894624472,71680.0,544.0,0.0,128.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002473281696438789,2144.0,2112.0,0.0,1.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.000257121492177248,4288.0,2112.0,0.0,2.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00029900288209319117,8576.0,2112.0,0.0,4.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0003727546893060207,17152.0,2112.0,0.0,8.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0007430975325405598,34304.0,2112.0,0.0,16.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0012599850073456765,68608.0,2112.0,0.0,32.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0025050950236618517,137216.0,2112.0,0.0,64.0
rnn,1.0,32.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.004818408843129873,274432.0,2112.0,0.0,128.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00024665575474500654,8384.0,8320.0,0.0,1.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00025348179042339325,16768.0,8320.0,0.0,2.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00030231298878788946,33536.0,8320.0,0.0,4.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00037346715107560157,67072.0,8320.0,0.0,8.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0007457193918526172,134144.0,8320.0,0.0,16.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0010693206451833249,268288.0,8320.0,0.0,32.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.002496982365846634,536576.0,8320.0,0.0,64.0
rnn,1.0,64.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.004816478211432695,1073152.0,8320.0,0.0,128.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.00024500731378793714,131840.0,131584.0,0.0,1.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15593111552.0,15593111552.0,0.0002585696056485176,263680.0,131584.0,0.0,2.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15591014400.0,15591014400.0,0.0002900215797126293,527360.0,131584.0,0.0,4.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15593111552.0,15593111552.0,0.00033149924129247663,1054720.0,131584.0,0.0,8.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15593111552.0,15593111552.0,0.00042731259018182757,2109440.0,131584.0,0.0,16.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15593111552.0,15593111552.0,0.0008496319875121117,4218880.0,131584.0,0.0,32.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15595208704.0,15595208704.0,0.0016941487789154052,8437760.0,131584.0,0.0,64.0
rnn,1.0,256.0,False,cuda,True,False,False,0.0,relu,15595208704.0,15595208704.0,0.0034017933532595633,16875520.0,131584.0,0.0,128.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.00024793678894639013,525824.0,525312.0,0.0,1.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.0002558202482759953,1051648.0,525312.0,0.0,2.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.00029474757611751555,2103296.0,525312.0,0.0,4.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.00034429142251610754,4206592.0,525312.0,0.0,8.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.0006584935821592808,8413184.0,525312.0,0.0,16.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.0008221943862736225,16826368.0,525312.0,0.0,32.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15618277376.0,15618277376.0,0.0017700071446597576,33652736.0,525312.0,0.0,64.0
rnn,1.0,512.0,False,cuda,True,False,False,0.0,relu,15616180224.0,15616180224.0,0.0029947108589112757,67305472.0,525312.0,0.0,128.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15632957440.0,15632957440.0,0.00026644552126526834,2100224.0,2099200.0,0.0,1.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15632957440.0,15632957440.0,0.00034749777987599375,4200448.0,2099200.0,0.0,2.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15653928960.0,15653928960.0,0.0003489653579890728,8400896.0,2099200.0,0.0,4.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15653928960.0,15653928960.0,0.00040721725672483445,16801792.0,2099200.0,0.0,8.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15674900480.0,15674900480.0,0.0007468371652066708,33603584.0,2099200.0,0.0,16.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15674900480.0,15674900480.0,0.001203952357172966,67207168.0,2099200.0,0.0,32.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.0020699058659374714,134414336.0,2099200.0,0.0,64.0
rnn,1.0,1024.0,False,cuda,True,False,False,0.0,relu,15695872000.0,15695872000.0,0.003846977837383747,268828672.0,2099200.0,0.0,128.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15800729600.0,15800729600.0,0.00030312053859233857,8394752.0,8392704.0,0.0,1.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15836381184.0,15836381184.0,0.00035300273448228835,16789504.0,8392704.0,0.0,2.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15872032768.0,15872032768.0,0.0008064420893788337,33579008.0,8392704.0,0.0,4.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15907684352.0,15907684352.0,0.0012010104022920133,67158016.0,8392704.0,0.0,8.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15838478336.0,15838478336.0,0.0020317967981100084,134316032.0,8392704.0,0.0,16.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15731523584.0,15731523584.0,0.003407513815909624,268632064.0,8392704.0,0.0,32.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15767175168.0,15767175168.0,0.006485507450997829,537264128.0,8392704.0,0.0,64.0
rnn,1.0,2048.0,False,cuda,True,False,False,0.0,relu,15804923904.0,15804923904.0,0.012614891491830349,1074528256.0,8392704.0,0.0,128.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,15964307456.0,15964307456.0,0.0003773670643568039,18883584.0,18880512.0,0.0,1.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16041902080.0,16041902080.0,0.0007096287794411182,37767168.0,18880512.0,0.0,2.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16119496704.0,16119496704.0,0.0016371143981814384,75534336.0,18880512.0,0.0,4.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16197091328.0,16197091328.0,0.00221586711704731,151068672.0,18880512.0,0.0,8.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16274685952.0,16274685952.0,0.0035008163191378116,302137344.0,18880512.0,0.0,16.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16352280576.0,16352280576.0,0.006201227288693189,604274688.0,18880512.0,0.0,32.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16429875200.0,16429875200.0,0.011815165635198355,1208549376.0,18880512.0,0.0,64.0
rnn,1.0,3072.0,False,cuda,True,False,False,0.0,relu,16509566976.0,16509566976.0,0.022868941724300384,2417098752.0,18880512.0,0.0,128.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16761225216.0,16761225216.0,0.0007289056666195393,33566720.0,33562624.0,0.0,1.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16627007488.0,16627007488.0,0.00086118895560503,67133440.0,33562624.0,0.0,2.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16134176768.0,16134176768.0,0.002543168142437935,134266880.0,33562624.0,0.0,4.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16270491648.0,16270491648.0,0.0035538929514586926,268533760.0,33562624.0,0.0,8.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16406806528.0,16406806528.0,0.005735993012785911,537067520.0,33562624.0,0.0,16.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16543121408.0,16543121408.0,0.010096272267401219,1074135040.0,33562624.0,0.0,32.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16683630592.0,16683630592.0,0.019238784816116093,2148270080.0,33562624.0,0.0,64.0
rnn,1.0,4096.0,False,cuda,True,False,False,0.0,relu,16817848320.0,16817848320.0,0.037254167906939986,4296540160.0,33562624.0,0.0,128.0
