latency,avg_memory,max_memory,model,batch_size,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn
0.0185754392296075,2740715520.0,2740715520.0,squeezenet,128.0,224.0,True,False,True,False,,relu
0.000762466341257,1870397440.0,1870397440.0,vgg16,1.0,224.0,True,False,True,False,,relu
0.00092234313488,2386296832.0,2386296832.0,vgg16,2.0,224.0,True,False,True,False,,relu
0.0009183451533317,2491154432.0,2491154432.0,vgg16,4.0,224.0,True,False,True,False,,relu
0.0009385455399751,3439067136.0,3439067136.0,vgg16,8.0,224.0,True,False,True,False,,relu
0.0009318824857473,3923509248.0,3923509248.0,vgg16,16.0,224.0,True,False,True,False,,relu
0.000949728116393,5504761856.0,5504761856.0,vgg16,32.0,224.0,True,False,True,False,,relu
0.0009306974709033,8770027520.0,8770027520.0,vgg16,64.0,224.0,True,False,True,False,,relu
0.000935123860836,13991936000.0,13991936000.0,vgg16,128.0,224.0,True,False,True,False,,relu
0.010079788416624,1400635392.0,1400635392.0,densenet,1.0,224.0,True,False,True,False,,relu
0.0120604157447814,1536950272.0,1536950272.0,densenet,2.0,224.0,True,False,True,False,,relu
0.0147282745689153,1727791104.0,1727791104.0,densenet,4.0,224.0,True,False,True,False,,relu
0.0233343794941902,1973157888.0,1973157888.0,densenet,8.0,224.0,True,False,True,False,,relu
0.0379022389650344,1746665472.0,1746665472.0,densenet,16.0,224.0,True,False,True,False,,relu
0.0655469819903373,2346450944.0,2346450944.0,densenet,32.0,224.0,True,False,True,False,,relu
0.1274839613586664,2872836096.0,2872836096.0,densenet,64.0,224.0,True,False,True,False,,relu
0.2553538233041763,4330356736.0,4330356736.0,densenet,128.0,224.0,True,False,True,False,,relu
0.0055290270596742,1411121152.0,1411121152.0,inception,1.0,224.0,True,False,True,False,,relu
0.0053522255271673,1490812928.0,1490812928.0,inception,2.0,224.0,True,False,True,False,,relu
0.0061835650354623,1528561664.0,1528561664.0,inception,4.0,224.0,True,False,True,False,,relu
0.0090586777776479,1685848064.0,1685848064.0,inception,8.0,224.0,True,False,True,False,,relu
0.0130225371569395,1989935104.0,1989935104.0,inception,16.0,224.0,True,False,True,False,,relu
0.020371076464653,2384199680.0,2384199680.0,inception,32.0,224.0,True,False,True,False,,relu
0.0362963408231735,3028025344.0,3028025344.0,inception,64.0,224.0,True,False,True,False,,relu
0.0642208579927682,3680239616.0,3680239616.0,inception,128.0,224.0,True,False,True,False,,relu
0.002735773473978,1333526528.0,1333526528.0,googlenet,1.0,224.0,True,False,True,False,,relu
0.0026924788951873,1362886656.0,1362886656.0,googlenet,2.0,224.0,True,False,True,False,,relu
0.0032037198543548,1398538240.0,1398538240.0,googlenet,4.0,224.0,True,False,True,False,,relu
0.0032777417451143,1484521472.0,1484521472.0,googlenet,8.0,224.0,True,False,True,False,,relu
0.0044200249016284,1721499648.0,1721499648.0,googlenet,16.0,224.0,True,False,True,False,,relu
0.0082918357104063,2002518016.0,2002518016.0,googlenet,32.0,224.0,True,False,True,False,,relu
0.0152951549738645,2554068992.0,2554068992.0,googlenet,64.0,224.0,True,False,True,False,,relu
0.0280982542783021,3644588032.0,3644588032.0,googlenet,128.0,224.0,True,False,True,False,,relu
0.0031212408095598,1279000576.0,1279000576.0,shufflenet,1.0,224.0,True,False,True,False,,relu
0.0033054202795028,1281097728.0,1281097728.0,shufflenet,2.0,224.0,True,False,True,False,,relu
0.003316706046462,1304166400.0,1304166400.0,shufflenet,4.0,224.0,True,False,True,False,,relu
0.003302676230669,1331429376.0,1331429376.0,shufflenet,8.0,224.0,True,False,True,False,,relu
0.0035416804254055,1354498048.0,1354498048.0,shufflenet,16.0,224.0,True,False,True,False,,relu
0.0034471649676561,1438384128.0,1438384128.0,shufflenet,32.0,224.0,True,False,True,False,,relu
0.0042498629540205,1560018944.0,1560018944.0,shufflenet,64.0,224.0,True,False,True,False,,relu
0.008582416921854,1748762624.0,1748762624.0,shufflenet,128.0,224.0,True,False,True,False,,relu
0.002012313529849,1283194880.0,1283194880.0,mobilenet_v2,1.0,224.0,True,False,True,False,,relu
0.0020093474537134,1306263552.0,1306263552.0,mobilenet_v2,2.0,224.0,True,False,True,False,,relu
0.0021827198565006,1331429376.0,1331429376.0,mobilenet_v2,4.0,224.0,True,False,True,False,,relu
