<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
25.0,0.0,109.0,43487133696.0,25.0,39321600.0,1799094272.0,1.0,128.0,0.01922653960064053,43526455296.0,1799094272.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,86974267392.0,25.0,78643200.0,2520514560.0,2.0,128.0,0.027384719997644424,87052910592.0,2520514560.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,173948534784.0,25.0,157286400.0,3317432320.0,4.0,128.0,0.050346064660698166,174105821184.0,3317432320.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,347897069568.0,25.0,314572800.0,3676045312.0,8.0,128.0,0.0970725042745471,348211642368.0,3676045312.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,695794139136.0,25.0,629145600.0,4791730176.0,16.0,128.0,0.1884438931941986,696423284736.0,4791730176.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,1391588278272.0,25.0,1258291200.0,7014711296.0,32.0,128.0,0.3718683506362141,1392846569472.0,7014711296.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,2783176556544.0,25.0,2516582400.0,11456479232.0,64.0,128.0,0.741142101213336,2785693138944.0,11456479232.0,longformer,159.0,148659456.0,0.0,,,,
25.0,0.0,109.0,5566353113088.0,25.0,5033164800.0,20333723648.0,128.0,128.0,1.5165538652800024,5571386277888.0,20333723648.0,longformer,159.0,148659456.0,0.0,,,,
49.0,0.0,361.0,2592079872.0,,,1167851520.0,1.0,128.0,0.024499315302819014,2592079872.0,1167851520.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,5184159744.0,,,1264320512.0,2.0,128.0,0.026839975267648697,5184159744.0,1264320512.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,10368319488.0,,,1266417664.0,4.0,128.0,0.026665483135730028,10368319488.0,1266417664.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,20736638976.0,,,1287389184.0,8.0,128.0,0.02663594437763095,20736638976.0,1287389184.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,41473277952.0,,,1348206592.0,16.0,128.0,0.0264483530074358,41473277952.0,1348206592.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,82946555904.0,,,1411121152.0,32.0,128.0,0.025814907252788545,82946555904.0,1411121152.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,165893111808.0,,,1698430976.0,64.0,128.0,0.04830342046916485,165893111808.0,1698430976.0,mobile_bert,410.0,24581888.0,0.0,,,,
49.0,0.0,361.0,331786223616.0,,,2203844608.0,128.0,128.0,0.09032518975436687,331786223616.0,2203844608.0,mobile_bert,410.0,24581888.0,0.0,,,,
37.0,0.0,1.0,589824.0,1.0,393216.0,1916534784.0,1.0,128.0,0.0166290738619864,3405428736.0,1916534784.0,squeeze_bert,123.0,51094272.0,0.0,12.0,7059456.0,72.0,3397386240.0
37.0,0.0,1.0,1179648.0,1.0,786432.0,2143027200.0,2.0,128.0,0.016453784611076116,6810857472.0,2143027200.0,squeeze_bert,123.0,51094272.0,0.0,12.0,14118912.0,72.0,6794772480.0
37.0,0.0,1.0,2359296.0,1.0,1572864.0,2382102528.0,4.0,128.0,0.01652692575007677,13621714944.0,2382102528.0,squeeze_bert,123.0,51094272.0,0.0,12.0,28237824.0,72.0,13589544960.0
37.0,0.0,1.0,4718592.0,1.0,3145728.0,2382102528.0,8.0,128.0,0.016480642184615136,27243429888.0,2382102528.0,squeeze_bert,123.0,51094272.0,0.0,12.0,56475648.0,72.0,27179089920.0
37.0,0.0,1.0,9437184.0,1.0,6291456.0,2505834496.0,16.0,128.0,0.04873511167243123,54486859776.0,2505834496.0,squeeze_bert,123.0,51094272.0,0.0,12.0,112951296.0,72.0,54358179840.0
37.0,0.0,1.0,18874368.0,1.0,12582912.0,2885419008.0,32.0,128.0,0.10613859053701162,108973719552.0,2885419008.0,squeeze_bert,123.0,51094272.0,0.0,12.0,225902592.0,72.0,108716359680.0
37.0,0.0,1.0,37748736.0,1.0,25165824.0,3571187712.0,64.0,128.0,0.2079626669175923,217947439104.0,3571187712.0,squeeze_bert,123.0,51094272.0,0.0,12.0,451805184.0,72.0,217432719360.0
37.0,0.0,1.0,75497472.0,1.0,50331648.0,4359716864.0,128.0,128.0,0.4114630722440779,435894878208.0,4359716864.0,squeeze_bert,123.0,51094272.0,0.0,12.0,903610368.0,72.0,434865438720.0
