accelerator,avg_memory,batch_size,device,macs,max_memory,mean,model,requires_grad,sequence_length,total_params,trainable_params
1,1902.24609375,1,jetson_gpu,10884808704,1902.24609375,0.153873004299976,albert,0,128,11683584,0
1,1902.2578125,1,jetson_gpu,21769027584,1902.2578125,0.322866608750019,albert,0,256,11683584,0
1,1902.2734375,1,jetson_gpu,43537465344,1902.2734375,0.715464090800015,albert,0,512,11683584,0
1.0,2044.290072737069,1.0,jetson_gpu,516685824.0,2142.01171875,0.14070722885001033,funnel_transformer,0.0,8.0,130973184.0,0.0
1.0,2121.19189453125,1.0,jetson_gpu,1033371648.0,2121.1953125,0.12430024884999966,funnel_transformer,0.0,16.0,130973184.0,0.0
1.0,2121.4574908088234,1.0,jetson_gpu,2066743296.0,2121.4609375,0.13380740294999213,funnel_transformer,0.0,32.0,130973184.0,0.0
1.0,2121.625732421875,1.0,jetson_gpu,4133486592.0,2121.62890625,0.13440205705001065,funnel_transformer,0.0,64.0,130973184.0,0.0
1.0,2121.8209635416665,1.0,jetson_gpu,8266973184.0,2121.82421875,0.1726587536499892,funnel_transformer,0.0,128.0,130973184.0,0.0
1.0,2113.0618489583335,1.0,jetson_gpu,16533946368.0,2121.99609375,0.3518838676499854,funnel_transformer,0.0,256.0,130973184.0,0.0
1.0,2036.529622395833,1.0,jetson_gpu,33067892736.0,2106.7421875,0.7945165259499845,funnel_transformer,0.0,512.0,130973184.0,0.0
1.0,1946.3984375,1.0,jetson_gpu,20250624.0,2040.34375,0.2473471694499949,mobile_bert,0.0,1.0,24581888.0,0.0
1.0,2042.4203125,1.0,jetson_gpu,40501248.0,2042.4609375,0.2359371495999767,mobile_bert,0.0,2.0,24581888.0,0.0
1.0,2042.73828125,1.0,jetson_gpu,81002496.0,2042.73828125,0.2436055716999817,mobile_bert,0.0,4.0,24581888.0,0.0
1.0,2043.1078125,1.0,jetson_gpu,162004992.0,2043.1328125,0.2228463574499983,mobile_bert,0.0,8.0,24581888.0,0.0
1.0,2043.31640625,1.0,jetson_gpu,324009984.0,2043.31640625,0.2291570088999833,mobile_bert,0.0,16.0,24581888.0,0.0
1.0,2043.53359375,1.0,jetson_gpu,648019968.0,2043.55859375,0.274675132450011,mobile_bert,0.0,32.0,24581888.0,0.0
1.0,2043.6625,1.0,jetson_gpu,1296039936.0,2043.6875,0.2682026014000257,mobile_bert,0.0,64.0,24581888.0,0.0
1.0,2043.6875,1.0,jetson_gpu,2592079872.0,2043.6875,0.22519987884998044,mobile_bert,0.0,128.0,24581888.0,0.0
1.0,2043.73828125,1.0,jetson_gpu,5184159744.0,2043.73828125,0.2259665189000316,mobile_bert,0.0,256.0,24581888.0,0.0
1.0,2043.89453125,1.0,jetson_gpu,10368319488.0,2043.89453125,0.31411117160000684,mobile_bert,0.0,512.0,24581888.0,0.0
1.0,2154.2357954545455,1.0,jetson_gpu,27214848.0,2325.484375,0.08414849595001214,squeeze_bert,0.0,1.0,51094272.0,0.0
1.0,2183.0177156690147,1.0,jetson_gpu,27214848.0,2359.421875,0.07812218899998698,squeeze_bert,0.0,1.0,51094272.0,0.0
1.0,2157.6500558035714,1.0,jetson_gpu,27214848.0,2404.04296875,0.07176399049999986,squeeze_bert,0.0,1.0,51094272.0,0.0
1.0,2403.659375,1.0,jetson_gpu,53839872.0,2404.12109375,0.21900141705000067,squeeze_bert,0.0,2.0,51094272.0,0.0
1.0,2404.2109375,1.0,jetson_gpu,107089920.0,2404.2109375,0.21938012800000023,squeeze_bert,0.0,4.0,51094272.0,0.0
1.0,2404.31640625,1.0,jetson_gpu,213590016.0,2404.31640625,0.2209919832499992,squeeze_bert,0.0,8.0,51094272.0,0.0
1.0,2404.36328125,1.0,jetson_gpu,426590208.0,2404.36328125,0.2243321081500028,squeeze_bert,0.0,16.0,51094272.0,0.0
1.0,2404.48046875,1.0,jetson_gpu,852590592.0,2404.48046875,0.2306306740999986,squeeze_bert,0.0,32.0,51094272.0,0.0
1.0,2404.5234375,1.0,jetson_gpu,1704591360.0,2404.5234375,0.3071900492499992,squeeze_bert,0.0,64.0,51094272.0,0.0
1.0,2397.59765625,1.0,jetson_gpu,3408592896.0,2397.59765625,0.4724739477000014,squeeze_bert,0.0,128.0,51094272.0,0.0
1.0,2388.24609375,1.0,jetson_gpu,6816595968.0,2397.69921875,0.8142988916500002,squeeze_bert,0.0,256.0,51094272.0,0.0
1.0,2350.3014322916665,1.0,jetson_gpu,13632602112.0,2383.57421875,3.1224675265000004,squeeze_bert,0.0,512.0,51094272.0,0.0
