device,model,accelerator,requires_grad,use_torchscript,batch_size,sequence_length,avg_memory,max_memory,latency,macs,total_params,trainable_params
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,1.0,747.51025390625,747.546875,0.12141477080003824,42467328.0,66362880.0,0.0
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,2.0,751.0323350694445,751.03515625,0.1297144896001555,84934656.0,66362880.0,0.0
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,4.0,751.1392578125,751.140625,0.14665035890066064,169869312.0,66362880.0,0.0
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,8.0,751.2109375,751.2265625,0.1904479247998097,339738624.0,66362880.0,0.0
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,16.0,751.62890625,751.76171875,0.20914178590028315,679477248.0,66362880.0,0.0
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,32.0,496.89765625,497.1171875,0.24794294249877566,1358954496.0,66362880.0,0.0
rpi4_cpu,distilbert,0.0,0.0,0.0,1.0,64.0,498.6471354166667,499.60546875,0.4028463677997934,2717908992.0,66362880.0,0.0
