device,model,accelerator,requires_grad,batch_size,img_size,max_memory,avg_memory,trainable_params,total_params,macs,mean
herron_gpu,googlenet,1.0,0.0,1.0,224.0,2517368832.0,2517368832.0,0.0,6624904.0,1504879712.0,0.0067906423006206
herron_gpu,googlenet,1.0,0.0,1.0,384.0,2517368832.0,2517368832.0,0.0,6624904.0,4420516352.0,0.0066315654548816
herron_gpu,googlenet,1.0,0.0,1.0,448.0,2532048896.0,2532048896.0,0.0,6624904.0,6016443776.0,0.0069332526472862
herron_gpu,googlenet,1.0,0.0,1.0,512.0,3100377088.0,3100377088.0,0.0,6624904.0,7857898496.0,0.0068895955977495
herron_gpu,shufflenet,1.0,0.0,1.0,224.0,2483814400.0,2483814400.0,0.0,2278604.0,148808392.0,0.0052635642467066
herron_gpu,shufflenet,1.0,0.0,1.0,384.0,2483814400.0,2483814400.0,0.0,2278604.0,435329152.0,0.0052450481511186
herron_gpu,shufflenet,1.0,0.0,1.0,448.0,2485911552.0,2485911552.0,0.0,2278604.0,592161568.0,0.0052188652509357
herron_gpu,shufflenet,1.0,0.0,1.0,512.0,2506883072.0,2506883072.0,0.0,2278604.0,773122048.0,0.0054273431014735
herron_gpu,mobilenet_v2,1.0,0.0,1.0,224.0,2488008704.0,2488008704.0,0.0,3504872.0,314130496.0,0.0043181946966797
herron_gpu,mobilenet_v2,1.0,0.0,1.0,384.0,2523660288.0,2523660288.0,0.0,3504872.0,920677376.0,0.004541349603096
herron_gpu,mobilenet_v2,1.0,0.0,1.0,448.0,2567700480.0,2567700480.0,0.0,3504872.0,1252681984.0,0.0042667986475862
herron_gpu,mobilenet_v2,1.0,0.0,1.0,512.0,2618032128.0,2618032128.0,0.0,3504872.0,1635764224.0,0.003895364201162
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,224.0,2594963456.0,2594963456.0,0.0,25028904.0,4259383296.0,0.0050212720001582
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,384.0,2655780864.0,2655780864.0,0.0,25028904.0,12513396736.0,0.0092521545535419
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,448.0,2655780864.0,2655780864.0,0.0,25028904.0,17031383040.0,0.0081368538492824
herron_gpu,resnext50_32x4d,1.0,0.0,1.0,512.0,2655780864.0,2655780864.0,0.0,25028904.0,22244444160.0,0.0125132163986563
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,224.0,2982936576.0,2982936576.0,0.0,68883240.0,11426924544.0,0.0067059068998787
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,384.0,2985033728.0,2985033728.0,0.0,68883240.0,33577191424.0,0.0088109853037167
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,448.0,2985033728.0,2985033728.0,0.0,68883240.0,45701548032.0,0.0109954254992771
herron_gpu,wide_resnet50_2,1.0,0.0,1.0,512.0,2985033728.0,2985033728.0,0.0,68883240.0,59691190272.0,0.011960563994944
herron_gpu,mnasnet,1.0,0.0,1.0,224.0,2492203008.0,2492203008.0,0.0,4383312.0,325329152.0,0.004442995699355379
herron_gpu,mnasnet,1.0,0.0,1.0,384.0,2513174528.0,2513174528.0,0.0,4383312.0,953587712.0,0.004265127750113606
herron_gpu,mnasnet,1.0,0.0,1.0,448.0,2513174528.0,2513174528.0,0.0,4383312.0,1297476608.0,0.004246243851957843
herron_gpu,mnasnet,1.0,0.0,1.0,512.0,2525757440.0,2525757440.0,0.0,4383312.0,1694271488.0,0.004066769999917596
