<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
35.0,0.0,52.0,5128790016.0,52.0,57502900224.0,1.0,245760000.0,,,6595543040.0,192.0,224.0,0.0471820991486311,62877450240.0,6595543040.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,6838386688.0,52.0,76670533632.0,1.0,327680000.0,,,9061793792.0,256.0,224.0,0.06173538658767939,83836600320.0,9061793792.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,10257580032.0,52.0,115005800448.0,1.0,491520000.0,,,12761169920.0,384.0,224.0,0.09266215600073338,125754900480.0,12761169920.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
35.0,0.0,52.0,13676773376.0,52.0,153341067264.0,1.0,655360000.0,,,17693671424.0,512.0,224.0,0.12231968082487585,167673200640.0,17693671424.0,mobilenet_v2,141.0,3504872.0,0.0,1.0,0.0,,,,,,,,
17.0,0.0,53.0,57602048.0,53.0,4228431872.0,1.0,2048000.0,1.0,0.0,1233125376.0,1.0,224.0,0.0062029967084527024,4288184320.0,1233125376.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,102400.0,,,,,,
17.0,0.0,53.0,115204096.0,53.0,8456863744.0,1.0,4096000.0,1.0,0.0,1344274432.0,2.0,224.0,0.006878680735826493,8576368640.0,1344274432.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,204800.0,,,,,,
17.0,0.0,53.0,230408192.0,53.0,16913727488.0,1.0,8192000.0,1.0,0.0,1459617792.0,4.0,224.0,0.007292334735393523,17152737280.0,1459617792.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,409600.0,,,,,,
17.0,0.0,53.0,460816384.0,53.0,33827454976.0,1.0,16384000.0,1.0,0.0,1612709888.0,8.0,224.0,0.011651482433080671,34305474560.0,1612709888.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,819200.0,,,,,,
17.0,0.0,53.0,921632768.0,53.0,67654909952.0,1.0,32768000.0,1.0,0.0,1832910848.0,16.0,224.0,0.019740669056773186,68610949120.0,1832910848.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,1638400.0,,,,,,
17.0,0.0,53.0,1843265536.0,53.0,135309819904.0,1.0,65536000.0,1.0,0.0,2149580800.0,32.0,224.0,0.035171167179942134,137221898240.0,2149580800.0,resnext50_32x4d,126.0,25028904.0,0.0,,,1.0,3276800.0,,,,,,
