<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.normalization.LayerNorm'>_calls,<class 'torch.nn.modules.normalization.LayerNorm'>_macs,<class 'torch.nn.modules.activation.Softmax'>_calls,<class 'torch.nn.modules.activation.Softmax'>_macs,<class 'torch.nn.modules.conv.Conv1d'>_calls,<class 'torch.nn.modules.conv.Conv1d'>_macs
17.0,0.0,53.0,7373062144.0,53.0,541239279616.0,,,1.0,262144000.0,6564085760.0,128.0,224.0,0.07631472930006566,548887592960.0,6564085760.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,13107200.0,1.0,0.0,,,,,,
17.0,0.0,53.0,11059593216.0,53.0,811858919424.0,,,1.0,393216000.0,9032433664.0,192.0,224.0,0.11719299350006622,823331389440.0,9032433664.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,19660800.0,1.0,0.0,,,,,,
17.0,0.0,53.0,14746124288.0,53.0,1082478559232.0,,,1.0,524288000.0,12324962304.0,256.0,224.0,0.15578550040008848,1097775185920.0,12324962304.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,26214400.0,1.0,0.0,,,,,,
17.0,0.0,53.0,22119186432.0,53.0,1623717838848.0,,,1.0,786432000.0,17265852416.0,384.0,224.0,0.2382853124996473,1646662778880.0,17265852416.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,39321600.0,1.0,0.0,,,,,,
17.0,0.0,53.0,29492248576.0,53.0,2164957118464.0,,,1.0,1048576000.0,23855104000.0,512.0,224.0,0.3217755556004704,2195550371840.0,23855104000.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,52428800.0,1.0,0.0,,,,,,
17.0,0.0,53.0,57602048.0,53.0,11395973120.0,,,1.0,2048000.0,2046820352.0,1.0,224.0,0.0066190698998980215,11455725568.0,2046820352.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,102400.0,1.0,0.0,,,,,,
17.0,0.0,53.0,115204096.0,53.0,22791946240.0,,,1.0,4096000.0,2336227328.0,2.0,224.0,0.007377134499984094,22911451136.0,2336227328.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,204800.0,1.0,0.0,,,,,,
17.0,0.0,53.0,230408192.0,53.0,45583892480.0,,,1.0,8192000.0,2688548864.0,4.0,224.0,0.0083059916003549,45822902272.0,2688548864.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,409600.0,1.0,0.0,,,,,,
17.0,0.0,53.0,460816384.0,53.0,91167784960.0,,,1.0,16384000.0,3032481792.0,8.0,224.0,0.011018388299999059,91645804544.0,3032481792.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,819200.0,1.0,0.0,,,,,,
17.0,0.0,53.0,921632768.0,53.0,182335569920.0,,,1.0,32768000.0,3464495104.0,16.0,224.0,0.019475295500160427,183291609088.0,3464495104.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,1638400.0,1.0,0.0,,,,,,
