device,model,accelerator,requires_grad,use_torchscript,num_threads,batch_size,img_size,avg_memory,max_memory,latency
herron_cpu,shufflenet,0.0,0.0,1.0,1.0,1.0,448.0,3801.73828125,3801.73828125,0.032344969647238
herron_cpu,shufflenet,0.0,0.0,1.0,1.0,1.0,512.0,3859.2890625,3859.2890625,0.0480754208518192
herron_cpu,mobilenet_v2,0.0,0.0,1.0,1.0,1.0,224.0,1179.01953125,1179.01953125,0.0129606252477969
herron_cpu,mobilenet_v2,0.0,0.0,1.0,1.0,1.0,384.0,3734.68701171875,3734.6875,0.0374378280015662
herron_cpu,mobilenet_v2,0.0,0.0,1.0,1.0,1.0,448.0,3853.171875,3853.171875,0.0530142453499138
herron_cpu,mobilenet_v2,0.0,0.0,1.0,1.0,1.0,512.0,3955.4609375,3955.4609375,0.0720289791526738
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,1.0,1.0,224.0,1397.1519097222222,1397.6171875,0.0788392013986594
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,1.0,1.0,384.0,4079.941706730769,4079.98046875,0.2126453814504202
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,1.0,1.0,448.0,4367.93603515625,4367.94921875,0.2900552659004461
herron_cpu,resnext50_32x4d,0.0,0.0,1.0,1.0,1.0,512.0,4762.7921875,4773.16015625,0.3862181235512253
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,1.0,1.0,224.0,1582.930752840909,1601.6328125,0.2228208670509048
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,1.0,1.0,384.0,4158.6015625,4160.1640625,0.5051870454044547
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,1.0,1.0,448.0,4457.7796875,4458.96484375,0.6688784321537241
herron_cpu,wide_resnet50_2,0.0,0.0,1.0,1.0,1.0,512.0,4691.884765625,4693.6015625,0.8552546586026437
herron_cpu,mnasnet,0.0,0.0,1.0,1.0,1.0,224.0,1168.73828125,1168.73828125,0.012312830198789015
herron_cpu,mnasnet,0.0,0.0,1.0,1.0,1.0,384.0,3741.94873046875,3741.94921875,0.03796048504882492
herron_cpu,mnasnet,0.0,0.0,1.0,1.0,1.0,448.0,3812.01171875,3812.01171875,0.04836331740370951
herron_cpu,mnasnet,0.0,0.0,1.0,1.0,1.0,512.0,3883.140625,3883.140625,0.07305849294643849
