latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn,<class 'torch.nn.modules.conv.Conv2d'>_macs,img_size,in_channel,kernel_size,out_channel,stride
3.837309777736664e-05,1272709120.0,1272709120.0,1.0,1.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001622304320335,1272709120.0,1272709120.0,2.0,2.0,0.0,4.0,0.0,feedforward,2.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002042807638645,1272709120.0,1272709120.0,4.0,4.0,0.0,8.0,0.0,feedforward,4.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002702984958887,1272709120.0,1272709120.0,8.0,8.0,0.0,16.0,0.0,feedforward,8.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004320114850997,1272709120.0,1272709120.0,16.0,16.0,0.0,32.0,0.0,feedforward,16.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,,relu,,,,,,
4.208385944366455e-05,1272709120.0,1272709120.0,4.0,4.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
7.753595709800721e-05,1272709120.0,1272709120.0,8.0,8.0,0.0,12.0,0.0,feedforward,2.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001383773982524,1272709120.0,1272709120.0,16.0,16.0,0.0,24.0,0.0,feedforward,4.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002669960260391,1272709120.0,1272709120.0,32.0,32.0,0.0,48.0,0.0,feedforward,8.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004985492676496,1272709120.0,1272709120.0,64.0,64.0,0.0,96.0,0.0,feedforward,16.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,,relu,,,,,,
4.153363406658173e-05,1272709120.0,1272709120.0,16.0,16.0,0.0,20.0,0.0,feedforward,1.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
7.418543100357056e-05,1272709120.0,1272709120.0,32.0,32.0,0.0,40.0,0.0,feedforward,2.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001372665166854,1272709120.0,1272709120.0,64.0,64.0,0.0,80.0,0.0,feedforward,4.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002508111298084,1272709120.0,1272709120.0,128.0,128.0,0.0,160.0,0.0,feedforward,8.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0011251185089349,1272709120.0,1272709120.0,256.0,256.0,0.0,320.0,0.0,feedforward,16.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,,relu,,,,,,
4.255920648574829e-05,1272709120.0,1272709120.0,64.0,64.0,0.0,72.0,0.0,feedforward,1.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,,relu,,,,,,
7.63971358537674e-05,1272709120.0,1272709120.0,128.0,128.0,0.0,144.0,0.0,feedforward,2.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001390051096677,1272709120.0,1272709120.0,256.0,256.0,0.0,288.0,0.0,feedforward,4.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002495143562555,1272709120.0,1272709120.0,512.0,512.0,0.0,576.0,0.0,feedforward,8.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0005139980465173,1272709120.0,1272709120.0,1024.0,1024.0,0.0,1152.0,0.0,feedforward,16.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,,relu,,,,,,
4.225447773933411e-05,1272709120.0,1272709120.0,256.0,256.0,0.0,272.0,0.0,feedforward,1.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,,relu,,,,,,
7.678568363189697e-05,1272709120.0,1272709120.0,512.0,512.0,0.0,544.0,0.0,feedforward,2.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001407086849212,1272709120.0,1272709120.0,1024.0,1024.0,0.0,1088.0,0.0,feedforward,4.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002564527094364,1272709120.0,1272709120.0,2048.0,2048.0,0.0,2176.0,0.0,feedforward,8.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0005041938275098,1272709120.0,1272709120.0,4096.0,4096.0,0.0,4352.0,0.0,feedforward,16.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.680959343910217e-05,1272709120.0,1272709120.0,1024.0,1024.0,0.0,1056.0,0.0,feedforward,1.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.701052188873291e-05,1272709120.0,1272709120.0,2048.0,2048.0,0.0,2112.0,0.0,feedforward,2.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001279883086681,1272709120.0,1272709120.0,4096.0,4096.0,0.0,4224.0,0.0,feedforward,4.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002366129308938,1272709120.0,1272709120.0,8192.0,8192.0,0.0,8448.0,0.0,feedforward,8.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0004347000271081,1272709120.0,1272709120.0,16384.0,16384.0,0.0,16896.0,0.0,feedforward,16.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.680847585201264e-05,1272709120.0,1272709120.0,4096.0,4096.0,0.0,4160.0,0.0,feedforward,1.0,bsh,"(1, 1, 64)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.633810698986053e-05,1272709120.0,1272709120.0,8192.0,8192.0,0.0,8320.0,0.0,feedforward,2.0,bsh,"(1, 1, 64)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.000122157856822,1272709120.0,1272709120.0,16384.0,16384.0,0.0,16640.0,0.0,feedforward,4.0,bsh,"(1, 1, 64)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002337887883186,1272709120.0,1272709120.0,32768.0,32768.0,0.0,33280.0,0.0,feedforward,8.0,bsh,"(1, 1, 64)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.000443835183978,1272709120.0,1272709120.0,65536.0,65536.0,0.0,66560.0,0.0,feedforward,16.0,bsh,"(1, 1, 64)",1.0,0.0,0.0,0.0,,relu,,,,,,
3.739185631275177e-05,1272709120.0,1272709120.0,65536.0,65536.0,0.0,65792.0,0.0,feedforward,1.0,bsh,"(1, 1, 256)",1.0,0.0,0.0,0.0,,relu,,,,,,
6.724968552589417e-05,1272709120.0,1272709120.0,131072.0,131072.0,0.0,131584.0,0.0,feedforward,2.0,bsh,"(1, 1, 256)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0001224111765623,1272709120.0,1272709120.0,262144.0,262144.0,0.0,263168.0,0.0,feedforward,4.0,bsh,"(1, 1, 256)",1.0,0.0,0.0,0.0,,relu,,,,,,
0.0002371445298194,1274806272.0,1274806272.0,524288.0,524288.0,0.0,526336.0,0.0,feedforward,8.0,bsh,"(1, 1, 256)",1.0,0.0,0.0,0.0,,relu,,,,,,
