latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.activation.ReLU'>_macs,total_params,trainable_params,model,num_layers,input_format,input_size,batch_size,accelerator,requires_grad,use_torchscript,use_dquant,dropout,act_fn
1.9503384828567504e-05,3591.1640625,3591.1640625,1.0,1.0,0.0,2.0,0.0,feedforward,1.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,0.0,,relu
4.8782676458358765e-05,3592.95703125,3592.95703125,2.0,2.0,0.0,4.0,0.0,feedforward,2.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,0.0,,relu
7.799752056598663e-05,3593.01171875,3593.01171875,4.0,4.0,0.0,8.0,0.0,feedforward,4.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,0.0,,relu
0.00014013871550559996,3593.015625,3593.015625,8.0,8.0,0.0,16.0,0.0,feedforward,8.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,0.0,,relu
0.00022561699151992797,3593.015625,3593.015625,16.0,16.0,0.0,32.0,0.0,feedforward,16.0,bsh,"(1, 1, 1)",1.0,0.0,0.0,0.0,0.0,,relu
2.8260797262191772e-05,3593.078125,3593.078125,4.0,4.0,0.0,6.0,0.0,feedforward,1.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,0.0,,relu
5.705952644348144e-05,3593.078125,3593.078125,8.0,8.0,0.0,12.0,0.0,feedforward,2.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,0.0,,relu
7.93788582086563e-05,3593.078125,3593.078125,16.0,16.0,0.0,24.0,0.0,feedforward,4.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,0.0,,relu
0.00011865682899951935,3593.078125,3593.078125,32.0,32.0,0.0,48.0,0.0,feedforward,8.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,0.0,,relu
0.00024106092751026155,3593.0859375,3593.0859375,64.0,64.0,0.0,96.0,0.0,feedforward,16.0,bsh,"(1, 1, 2)",1.0,0.0,0.0,0.0,0.0,,relu
2.0172074437141417e-05,3593.08984375,3593.08984375,16.0,16.0,0.0,20.0,0.0,feedforward,1.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,0.0,,relu
4.1915476322174074e-05,3593.08984375,3593.08984375,32.0,32.0,0.0,40.0,0.0,feedforward,2.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,0.0,,relu
6.266832351684571e-05,3593.09375,3593.09375,64.0,64.0,0.0,80.0,0.0,feedforward,4.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,0.0,,relu
0.000119028240442276,3593.09765625,3593.09765625,128.0,128.0,0.0,160.0,0.0,feedforward,8.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,0.0,,relu
0.00022918619215488433,3593.1015625,3593.1015625,256.0,256.0,0.0,320.0,0.0,feedforward,16.0,bsh,"(1, 1, 4)",1.0,0.0,0.0,0.0,0.0,,relu
2.7802214026451112e-05,3593.10546875,3593.10546875,64.0,64.0,0.0,72.0,0.0,feedforward,1.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,0.0,,relu
4.687011241912842e-05,3593.10546875,3593.10546875,128.0,128.0,0.0,144.0,0.0,feedforward,2.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,0.0,,relu
0.00010466426610946655,3593.109375,3593.109375,256.0,256.0,0.0,288.0,0.0,feedforward,4.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,0.0,,relu
0.00016250014305114747,3593.11328125,3593.11328125,512.0,512.0,0.0,576.0,0.0,feedforward,8.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,0.0,,relu
0.00030748657882213594,3593.1171875,3593.1171875,1024.0,1024.0,0.0,1152.0,0.0,feedforward,16.0,bsh,"(1, 1, 8)",1.0,0.0,0.0,0.0,0.0,,relu
2.242252230644226e-05,3593.14453125,3593.14453125,256.0,256.0,0.0,272.0,0.0,feedforward,1.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,0.0,,relu
3.757961094379425e-05,3593.14453125,3593.14453125,512.0,512.0,0.0,544.0,0.0,feedforward,2.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,0.0,,relu
7.405579090118408e-05,3593.14453125,3593.14453125,1024.0,1024.0,0.0,1088.0,0.0,feedforward,4.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,0.0,,relu
0.00012815296649932862,3593.14453125,3593.14453125,2048.0,2048.0,0.0,2176.0,0.0,feedforward,8.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,0.0,,relu
0.00023021847009658815,3593.14453125,3593.14453125,4096.0,4096.0,0.0,4352.0,0.0,feedforward,16.0,bsh,"(1, 1, 16)",1.0,0.0,0.0,0.0,0.0,,relu
2.078115940093994e-05,3593.16015625,3593.16015625,1024.0,1024.0,0.0,1056.0,0.0,feedforward,1.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,0.0,,relu
6.474219262599945e-05,3593.16015625,3593.16015625,2048.0,2048.0,0.0,2112.0,0.0,feedforward,2.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,0.0,,relu
9.868070483207703e-05,3593.16015625,3593.16015625,4096.0,4096.0,0.0,4224.0,0.0,feedforward,4.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,0.0,,relu
0.00012002214789390564,3593.16015625,3593.16015625,8192.0,8192.0,0.0,8448.0,0.0,feedforward,8.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,0.0,,relu
0.00035089142620563506,3593.16015625,3593.16015625,16384.0,16384.0,0.0,16896.0,0.0,feedforward,16.0,bsh,"(1, 1, 32)",1.0,0.0,0.0,0.0,0.0,,relu
2.4928152561187745e-05,3593.16015625,3593.16015625,4096.0,4096.0,0.0,4160.0,0.0,feedforward,1.0,bsh,"(1, 1, 64)",1.0,0.0,0.0,0.0,0.0,,relu
