device,model,accelerator,batch_size,median,mean,std,min,max,5_pct,95_pct
herron_gpu,resnet18,1.0,1.0,0.0024166107177734,0.0028476408212491,0.0007281167827002,0.0023815631866455,0.008080244064331,0.002387523651123,0.0035881996154785
herron_gpu,alexnet,1.0,1.0,0.0010833740234375,0.0010244043746797,0.0001311867970301,0.0008149147033691,0.001410961151123,0.0008199214935302,0.00115966796875
herron_gpu,squeezenet,1.0,1.0,0.0034599304199218,0.0034658082640997,5.048921722673682e-05,0.0034263134002685,0.0039393901824951,0.0034377574920654,0.003493309020996
herron_gpu,vgg16,1.0,1.0,0.0011234283447265,0.0011244174277428,1.1970087525828542e-05,0.0011026859283447,0.0011897087097167,0.0011079311370849,0.0011396408081054
herron_gpu,densenet,1.0,1.0,0.021536111831665,0.0215948949946035,0.0002218285795725,0.0213732719421386,0.0225462913513183,0.0214066505432128,0.0221838951110839
herron_gpu,inception,1.0,1.0,0.0135498046875,0.0135760071254012,0.0001019489858225,0.013432502746582,0.0139398574829101,0.0134599208831787,0.0137891769409179
herron_gpu,googlenet,1.0,1.0,0.0102417469024658,0.009694493643128,0.0012070364661067,0.0076904296875,0.0117683410644531,0.0077457427978515,0.0110867023468017
herron_gpu,shufflenet,1.0,1.0,0.0059161186218261,0.006431511133024,0.0006352384962373,0.0058319568634033,0.0082836151123046,0.0058429241180419,0.0070629119873046
herron_gpu,mobilenet_v2,1.0,1.0,0.0047519207000732,0.0047679301535729,5.30025551939812e-05,0.0047190189361572,0.0050864219665527,0.0047316551208496,0.0048372745513916
herron_gpu,mobilenet_v3_large,1.0,1.0,0.0059828758239746,0.0061154790443949,0.0003731996856308,0.0059375762939453,0.0072965621948242,0.0059494972229003,0.0072369575500488
herron_gpu,mobilenet_v3_small,1.0,1.0,0.0042903423309326,0.0047687351113498,0.0019051722150629,0.0042378902435302,0.0179898738861084,0.0042450428009033,0.0070700645446777
herron_gpu,resnext50_32x4d,1.0,1.0,0.0052893161773681,0.0053548482385012,0.0002553270856132,0.0052545070648193,0.0067973136901855,0.0052626132965087,0.0056648254394531
herron_gpu,wide_resnet50_2,1.0,1.0,0.0071339607238769,0.007147475044326,5.2164466143712745e-05,0.0070867538452148,0.0074596405029296,0.0070955753326416,0.0072278976440429
herron_gpu,mnasnet,1.0,1.0,0.005955696105957031,0.0057437939218955465,0.0004454817633295989,0.004952907562255859,0.0064716339111328125,0.004967212677001953,0.00610661506652832
