<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
9.0,0.0,20.0,928543408128.0,1.0,13107200.0,3068133376.0,512.0,224.0,0.02665605861693621,933905301504.0,3068133376.0,resnet18,52.0,11689512.0,0.0,20.0,5086642176.0,1.0,262144000.0,1.0,0.0,,,,
7.0,0.0,5.0,655566528.0,1.0,18432.0,1658847232.0,1.0,224.0,0.0011517424136400225,714206912.0,1658847232.0,alexnet,21.0,61100840.0,0.0,,,3.0,58621952.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,1311133056.0,1.0,36864.0,1889533952.0,2.0,224.0,0.0011541569605469705,1428413824.0,1889533952.0,alexnet,21.0,61100840.0,0.0,,,3.0,117243904.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,2622266112.0,1.0,73728.0,1893728256.0,4.0,224.0,0.0011542055755853653,2856827648.0,1893728256.0,alexnet,21.0,61100840.0,0.0,,,3.0,234487808.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,5244532224.0,1.0,147456.0,2124414976.0,8.0,224.0,0.001154317520558834,5713655296.0,2124414976.0,alexnet,21.0,61100840.0,0.0,,,3.0,468975616.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,10489064448.0,1.0,294912.0,2281701376.0,16.0,224.0,0.0012597637251019476,11427310592.0,2281701376.0,alexnet,21.0,61100840.0,0.0,,,3.0,937951232.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,20978128896.0,1.0,589824.0,2560622592.0,32.0,224.0,0.0012011680752038955,22854621184.0,2560622592.0,alexnet,21.0,61100840.0,0.0,,,3.0,1875902464.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,41956257792.0,1.0,1179648.0,2812280832.0,64.0,224.0,0.001987214386463165,45709242368.0,2812280832.0,alexnet,21.0,61100840.0,0.0,,,3.0,3751804928.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,62934386688.0,1.0,1769472.0,2837446656.0,96.0,224.0,0.002752101980149746,68563863552.0,2837446656.0,alexnet,21.0,61100840.0,0.0,,,3.0,5627707392.0,3.0,0.0,2.0,0.0,,
7.0,0.0,5.0,83912515584.0,1.0,2359296.0,3091202048.0,128.0,224.0,0.003571808896958828,91418484736.0,3091202048.0,alexnet,21.0,61100840.0,0.0,,,3.0,7503609856.0,3.0,0.0,2.0,0.0,,
