<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs
17.0,0.0,53.0,14746124288.0,53.0,1082478559232.0,,,1.0,524288000.0,3030384640.0,256.0,224.0,0.049992157332599166,1097775185920.0,3030384640.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,26214400.0,1.0,0.0
17.0,0.0,53.0,22119186432.0,53.0,1623717838848.0,,,1.0,786432000.0,3611295744.0,384.0,224.0,0.07506545092910527,1646662778880.0,3611295744.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,39321600.0,1.0,0.0
17.0,0.0,53.0,29492248576.0,53.0,2164957118464.0,,,1.0,1048576000.0,4299161600.0,512.0,224.0,0.0994017019867897,2195550371840.0,4299161600.0,resnext50_32x4d,126.0,25028904.0,0.0,1.0,52428800.0,1.0,0.0
17.0,0.0,53.0,57602048.0,53.0,11395973120.0,,,1.0,2048000.0,1572864000.0,1.0,224.0,0.0024346768856048587,11455725568.0,1572864000.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,102400.0,1.0,0.0
17.0,0.0,53.0,115204096.0,53.0,22791946240.0,,,1.0,4096000.0,1776287744.0,2.0,224.0,0.002463362738490105,22911451136.0,1776287744.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,204800.0,1.0,0.0
17.0,0.0,53.0,230408192.0,53.0,45583892480.0,,,1.0,8192000.0,1929379840.0,4.0,224.0,0.002619230374693871,45822902272.0,1929379840.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,409600.0,1.0,0.0
17.0,0.0,53.0,460816384.0,53.0,91167784960.0,,,1.0,16384000.0,2082471936.0,8.0,224.0,0.0037535443902015687,91645804544.0,2082471936.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,819200.0,1.0,0.0
17.0,0.0,53.0,921632768.0,53.0,182335569920.0,,,1.0,32768000.0,2252341248.0,16.0,224.0,0.0063596490770578395,183291609088.0,2252341248.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,1638400.0,1.0,0.0
17.0,0.0,53.0,1843265536.0,53.0,364671139840.0,,,1.0,65536000.0,2474639360.0,32.0,224.0,0.011571453697979451,366583218176.0,2474639360.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,3276800.0,1.0,0.0
17.0,0.0,53.0,3686531072.0,53.0,729342279680.0,,,1.0,131072000.0,2766143488.0,64.0,224.0,0.02172291502356529,733166436352.0,2766143488.0,wide_resnet50_2,126.0,68883240.0,0.0,1.0,6553600.0,1.0,0.0
