<class 'torch.nn.modules.activation.ReLU'>_calls,<class 'torch.nn.modules.activation.ReLU'>_macs,<class 'torch.nn.modules.conv.Conv2d'>_calls,<class 'torch.nn.modules.conv.Conv2d'>_macs,<class 'torch.nn.modules.dropout.Dropout'>_calls,<class 'torch.nn.modules.dropout.Dropout'>_macs,<class 'torch.nn.modules.linear.Linear'>_calls,<class 'torch.nn.modules.linear.Linear'>_macs,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AdaptiveAvgPool2d'>_macs,<class 'torch.nn.modules.pooling.MaxPool2d'>_calls,<class 'torch.nn.modules.pooling.MaxPool2d'>_macs,avg_memory,batch_size,input_size,latency,macs,max_memory,model,total_nn_calls,total_params,trainable_params,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_calls,<class 'torch.nn.modules.batchnorm.BatchNorm2d'>_macs,<class 'torch.nn.modules.pooling.AvgPool2d'>_calls,<class 'torch.nn.modules.pooling.AvgPool2d'>_macs
160.0,0.0,160.0,1977778962432.0,,,1.0,565248000.0,,,1.0,0.0,4496293888.0,256.0,224.0,0.115046106200316,2008535310336.0,4496293888.0,densenet,486.0,28681000.0,0.0,161.0,30120050688.0,3.0,71049216.0
160.0,0.0,160.0,2966668443648.0,,,1.0,847872000.0,,,1.0,0.0,5467275264.0,384.0,224.0,0.16984732280034226,3012802965504.0,5467275264.0,densenet,486.0,28681000.0,0.0,161.0,45180076032.0,3.0,106573824.0
160.0,0.0,160.0,3955557924864.0,,,1.0,1130496000.0,,,1.0,0.0,6442450944.0,512.0,224.0,0.2247551447006117,4017070620672.0,6442450944.0,densenet,486.0,28681000.0,0.0,161.0,60240101376.0,3.0,142098432.0
,,96.0,2835873120.0,1.0,0.0,2.0,2048000.0,1.0,53248.0,2.0,0.0,1979711488.0,1.0,224.0,0.001526443799957633,2856567712.0,1979711488.0,inception,198.0,27161264.0,0.0,96.0,18593344.0,,
,,96.0,5671746240.0,1.0,0.0,2.0,4096000.0,1.0,106496.0,2.0,0.0,2057306112.0,2.0,224.0,0.0015535540005657822,5713135424.0,2057306112.0,inception,198.0,27161264.0,0.0,96.0,37186688.0,,
,,96.0,11343492480.0,1.0,0.0,2.0,8192000.0,1.0,212992.0,2.0,0.0,2132803584.0,4.0,224.0,0.0015271329997631256,11426270848.0,2132803584.0,inception,198.0,27161264.0,0.0,96.0,74373376.0,,
,,96.0,22686984960.0,1.0,0.0,2.0,16384000.0,1.0,425984.0,2.0,0.0,2202009600.0,8.0,224.0,0.0015781319001689554,22852541696.0,2202009600.0,inception,198.0,27161264.0,0.0,96.0,148746752.0,,
,,96.0,45373969920.0,1.0,0.0,2.0,32768000.0,1.0,851968.0,2.0,0.0,2273312768.0,16.0,224.0,0.0017213605002325493,45705083392.0,2273312768.0,inception,198.0,27161264.0,0.0,96.0,297493504.0,,
,,96.0,90747939840.0,1.0,0.0,2.0,65536000.0,1.0,1703936.0,2.0,0.0,2376073216.0,32.0,224.0,0.002912962499976857,91410166784.0,2376073216.0,inception,198.0,27161264.0,0.0,96.0,594987008.0,,
,,96.0,181495879680.0,1.0,0.0,2.0,131072000.0,1.0,3407872.0,2.0,0.0,2541748224.0,64.0,224.0,0.005425439899408957,182820333568.0,2541748224.0,inception,198.0,27161264.0,0.0,96.0,1189974016.0,,
,,96.0,272243819520.0,1.0,0.0,2.0,196608000.0,1.0,5111808.0,2.0,0.0,2690646016.0,96.0,224.0,0.007496701600030064,274230500352.0,2690646016.0,inception,198.0,27161264.0,0.0,96.0,1784961024.0,,
,,96.0,362991759360.0,1.0,0.0,2.0,262144000.0,1.0,6815744.0,2.0,0.0,2854223872.0,128.0,224.0,0.009944474200165131,365640667136.0,2854223872.0,inception,198.0,27161264.0,0.0,96.0,2379948032.0,,
,,96.0,544487639040.0,1.0,0.0,2.0,393216000.0,1.0,10223616.0,2.0,0.0,3126853632.0,192.0,224.0,0.014629195999441437,548461000704.0,3126853632.0,inception,198.0,27161264.0,0.0,96.0,3569922048.0,,
,,96.0,725983518720.0,1.0,0.0,2.0,524288000.0,1.0,13631488.0,2.0,0.0,3420454912.0,256.0,224.0,0.01941214159960509,731281334272.0,3420454912.0,inception,198.0,27161264.0,0.0,96.0,4759896064.0,,
,,96.0,1088975278080.0,1.0,0.0,2.0,786432000.0,1.0,20447232.0,2.0,0.0,3860856832.0,384.0,224.0,0.028142002799722832,1096922001408.0,3860856832.0,inception,198.0,27161264.0,0.0,96.0,7139844096.0,,
,,96.0,1451967037440.0,1.0,0.0,2.0,1048576000.0,1.0,27262976.0,2.0,0.0,4305453056.0,512.0,224.0,0.037528119500348116,1462562668544.0,4305453056.0,inception,198.0,27161264.0,0.0,96.0,9519792128.0,,
,,59.0,1497352192.0,3.0,0.0,5.0,1024000.0,1.0,51200.0,13.0,0.0,1893728256.0,1.0,224.0,0.001305641599901719,1511332032.0,1893728256.0,googlenet,140.0,13004888.0,0.0,59.0,12904640.0,,
,,59.0,2994704384.0,3.0,0.0,5.0,2048000.0,1.0,102400.0,13.0,0.0,1948254208.0,2.0,224.0,0.0013013656003749929,3022664064.0,1948254208.0,googlenet,140.0,13004888.0,0.0,59.0,25809280.0,,
,,59.0,5989408768.0,3.0,0.0,5.0,4096000.0,1.0,204800.0,13.0,0.0,1975517184.0,4.0,224.0,0.0012344938004389405,6045328128.0,1975517184.0,googlenet,140.0,13004888.0,0.0,59.0,51618560.0,,
,,59.0,11978817536.0,3.0,0.0,5.0,8192000.0,1.0,409600.0,13.0,0.0,2017460224.0,8.0,224.0,0.0012471727000956884,12090656256.0,2017460224.0,googlenet,140.0,13004888.0,0.0,59.0,103237120.0,,
,,59.0,23957635072.0,3.0,0.0,5.0,16384000.0,1.0,819200.0,13.0,0.0,2048917504.0,16.0,224.0,0.0013280035003845115,24181312512.0,2048917504.0,googlenet,140.0,13004888.0,0.0,59.0,206474240.0,,
,,59.0,47915270144.0,3.0,0.0,5.0,32768000.0,1.0,1638400.0,13.0,0.0,2105540608.0,32.0,224.0,0.002220443200349109,48362625024.0,2105540608.0,googlenet,140.0,13004888.0,0.0,59.0,412948480.0,,
,,59.0,95830540288.0,3.0,0.0,5.0,65536000.0,1.0,3276800.0,13.0,0.0,2229272576.0,64.0,224.0,0.003513328900589841,96725250048.0,2229272576.0,googlenet,140.0,13004888.0,0.0,59.0,825896960.0,,
,,59.0,143745810432.0,3.0,0.0,5.0,98304000.0,1.0,4915200.0,13.0,0.0,2359296000.0,96.0,224.0,0.005049580899503779,145087875072.0,2359296000.0,googlenet,140.0,13004888.0,0.0,59.0,1238845440.0,,
,,59.0,191661080576.0,3.0,0.0,5.0,131072000.0,1.0,6553600.0,13.0,0.0,2478833664.0,128.0,224.0,0.006567157900281018,193450500096.0,2478833664.0,googlenet,140.0,13004888.0,0.0,59.0,1651793920.0,,
,,59.0,287491620864.0,3.0,0.0,5.0,196608000.0,1.0,9830400.0,13.0,0.0,2690646016.0,192.0,224.0,0.00970424070037552,290175750144.0,2690646016.0,googlenet,140.0,13004888.0,0.0,59.0,2477690880.0,,
,,59.0,383322161152.0,3.0,0.0,5.0,262144000.0,1.0,13107200.0,13.0,0.0,2904555520.0,256.0,224.0,0.01282199870038312,386901000192.0,2904555520.0,googlenet,140.0,13004888.0,0.0,59.0,3303587840.0,,
,,59.0,574983241728.0,3.0,0.0,5.0,393216000.0,1.0,19660800.0,13.0,0.0,3317694464.0,384.0,224.0,0.01895317379967309,580351500288.0,3317694464.0,googlenet,140.0,13004888.0,0.0,59.0,4955381760.0,,
,,59.0,766644322304.0,3.0,0.0,5.0,524288000.0,1.0,26214400.0,13.0,0.0,3850371072.0,512.0,224.0,0.025190557499445286,773802000384.0,3850371072.0,googlenet,140.0,13004888.0,0.0,59.0,6607175680.0,,
35.0,0.0,52.0,299494272.0,1.0,0.0,1.0,1280000.0,,,,,1879048192.0,1.0,224.0,0.0014597952002077365,327486720.0,1879048192.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,26712448.0,,
35.0,0.0,52.0,598988544.0,1.0,0.0,1.0,2560000.0,,,,,1879048192.0,2.0,224.0,0.0011579689002246597,654973440.0,1879048192.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,53424896.0,,
35.0,0.0,52.0,1197977088.0,1.0,0.0,1.0,5120000.0,,,,,1889533952.0,4.0,224.0,0.0011641720004263337,1309946880.0,1889533952.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,106849792.0,,
35.0,0.0,52.0,2395954176.0,1.0,0.0,1.0,10240000.0,,,,,1908408320.0,8.0,224.0,0.001167930999508826,2619893760.0,1908408320.0,mobilenet_v2,141.0,3504872.0,0.0,52.0,213699584.0,,
