accelerator,act_fn,avg_memory,batch_size,device,dropout,hidden_dim,latency,macs,max_memory,model,requires_grad,total_params,trainable_params,use_torchscript
0.0,relu,274.71484375,1.0,cpu,,32.0,0.00019223949639126658,0.0,274.71484375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,64.0,0.00014536399976350367,0.0,274.72265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,128.0,0.0002052062947768718,0.0,274.72265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,256.0,0.00029282380128279326,0.0,274.72265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,16.0,0.00016059340559877456,0.0,274.72265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,32.0,0.00018216430325992405,0.0,274.72265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,64.0,0.0001944895018823445,0.0,274.72265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,128.0,0.0001897311012726277,0.0,274.72265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.72265625,1.0,cpu,,256.0,0.00023117729579098524,0.0,274.72265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,16.0,0.00017504350398667157,0.0,274.7265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,32.0,0.0001661808986682445,0.0,274.7265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,64.0,0.00016939759952947498,0.0,274.7265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,128.0,0.0001928270037751645,0.0,274.7265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,256.0,0.0002713027992285788,0.0,274.7265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,16.0,0.0002295398968271911,0.0,274.7265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,32.0,0.00018761440296657383,0.0,274.7265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,64.0,0.00016773089882917702,0.0,274.7265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,128.0,0.0001978354004677385,0.0,274.7265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,256.0,0.00027516119880601766,0.0,274.7265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,16.0,0.0001619975024368614,0.0,274.7265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,32.0,0.00018708109855651854,0.0,274.7265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,64.0,0.00017906020511873066,0.0,274.7265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,128.0,0.00020114370272494853,0.0,274.7265625,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,256.0,0.0002529983990825713,0.0,274.7265625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,16.0,0.00014744320069439709,0.0,274.7265625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,32.0,0.0001332513988018036,0.0,274.7265625,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.7265625,1.0,cpu,,64.0,0.00017334339790977537,0.0,274.7265625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,128.0,0.0001972186961211264,0.0,274.73046875,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,256.0,0.00028584040119312705,0.0,274.73046875,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,16.0,0.00019866040092892946,0.0,274.73046875,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,32.0,0.00018326439894735813,0.0,274.73046875,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,64.0,0.000181493500713259,0.0,274.73046875,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,128.0,0.00022265230072662234,0.0,274.73046875,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,256.0,0.000286611303454265,0.0,274.73046875,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,16.0,0.0001912520034238696,0.0,274.73046875,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,32.0,0.00016563500394113363,0.0,274.73046875,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,64.0,0.00021443970035761595,0.0,274.73046875,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,128.0,0.0002293814963195473,0.0,274.73046875,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,256.0,0.0003311409032903612,0.0,274.73046875,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,16.0,0.00017798100016079842,0.0,274.73046875,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,32.0,0.0001639600028283894,0.0,274.73046875,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,64.0,0.00020413960446603597,0.0,274.73046875,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,128.0,0.00021280220244079828,0.0,274.73046875,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.73046875,1.0,cpu,,256.0,0.00030066139879636467,0.0,274.73046875,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,16.0,0.0001807060034479946,0.0,274.734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,32.0,0.00018305600387975575,0.0,274.734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,64.0,0.0001828561013098806,0.0,274.734375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,128.0,0.00023730659740976988,0.0,274.734375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,256.0,0.00031596579938195644,0.0,274.734375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,16.0,0.00017015589983202518,0.0,274.734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,32.0,0.00017212670063599945,0.0,274.734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,64.0,0.00018736020429059862,0.0,274.734375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,128.0,0.00023628579801879824,0.0,274.734375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,256.0,0.00032318250159732995,0.0,274.734375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,16.0,0.00020744379726238548,0.0,274.734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,32.0,0.00020723549532704056,0.0,274.734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,64.0,0.0002068063011392951,0.0,274.734375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,128.0,0.00022173139732331037,0.0,274.734375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,256.0,0.0003285034035798162,0.0,274.734375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,16.0,0.00018336439970880746,0.0,274.734375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,32.0,0.00017139349947683513,0.0,274.734375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,64.0,0.0002713276946451515,0.0,274.734375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,128.0,0.00022811490343883635,0.0,274.734375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.734375,1.0,cpu,,256.0,0.00038867059629410505,0.0,274.734375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.73828125,1.0,cpu,,16.0,0.00017523100250400604,0.0,274.73828125,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.73828125,1.0,cpu,,32.0,0.00019671450136229395,0.0,274.73828125,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.73828125,1.0,cpu,,64.0,0.00020766049856320025,0.0,274.73828125,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.73828125,1.0,cpu,,128.0,0.0002568567986600101,0.0,274.73828125,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.73828125,1.0,cpu,,256.0,0.0004799882008228451,0.0,274.73828125,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.73828125,1.0,cpu,,16.0,0.0001727893017232418,0.0,274.73828125,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7421875,1.0,cpu,,32.0,0.00019565619877539575,0.0,274.7421875,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.7421875,1.0,cpu,,64.0,0.0001937061024364084,0.0,274.7421875,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,128.0,0.00022940239869058133,0.0,274.74609375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,256.0,0.00038959559751674535,0.0,274.74609375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,16.0,0.0001769102003891021,0.0,274.74609375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,32.0,0.00020451880409382283,0.0,274.74609375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,64.0,0.00019654369680210948,0.0,274.74609375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,128.0,0.00026352769928053024,0.0,274.74609375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,256.0,0.0003919373033568263,0.0,274.74609375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,16.0,0.00018850610358640553,0.0,274.74609375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,32.0,0.00019482700154185295,0.0,274.74609375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,64.0,0.00021320629748515784,0.0,274.74609375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,128.0,0.00027619869797490537,0.0,274.74609375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,256.0,0.00035341610200703146,0.0,274.74609375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,16.0,0.00016177250072360038,0.0,274.74609375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,32.0,0.00016353499959222972,0.0,274.74609375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,64.0,0.00020734380232170224,0.0,274.74609375,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,128.0,0.00027031939825974407,0.0,274.74609375,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,256.0,0.0005604557984042913,0.0,274.74609375,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,16.0,0.00015739320078864694,0.0,274.74609375,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.74609375,1.0,cpu,,32.0,0.0001647349970880896,0.0,274.74609375,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.75,1.0,cpu,,64.0,0.0002126022009178996,0.0,274.75,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.75,1.0,cpu,,128.0,0.0002978405973408371,0.0,274.75,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,256.0,0.0005649640981573612,0.0,274.75390625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,16.0,0.00018029769998975098,0.0,274.75390625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,32.0,0.0001867894025053829,0.0,274.75390625,mha,0.0,4224.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,64.0,0.0002257314044982195,0.0,274.75390625,mha,0.0,16640.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,128.0,0.0002792279003188014,0.0,274.75390625,mha,0.0,66048.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,256.0,0.00046868809731677176,0.0,274.75390625,mha,0.0,263168.0,0.0,0.0
0.0,relu,274.75390625,1.0,cpu,,16.0,0.00022090220008976757,0.0,274.75390625,mha,0.0,1088.0,0.0,0.0
0.0,relu,274.7578125,1.0,cpu,,32.0,0.0002276148006785661,0.0,274.7578125,mha,0.0,4224.0,0.0,0.0
